date,monthly_return,source
2016-07-01,0.074004,yahoo
2016-08-01,0.020894,yahoo
2016-09-01,-0.071174,yahoo
2016-10-01,-0.129487,yahoo
2016-11-01,0.109073,yahoo
2016-12-01,0.002564,yahoo
2017-01-01,0.116255,yahoo
2017-02-01,0.048465,yahoo
2017-03-01,-0.032893,yahoo
2017-04-01,-0.072881,yahoo
2017-05-01,0.118464,yahoo
2017-06-01,0.030075,yahoo
2017-07-01,-0.007511,yahoo
2017-08-01,-0.144639,yahoo
2017-09-01,0.031153,yahoo
2017-10-01,-0.070091,yahoo
2017-11-01,0.102274,yahoo
2017-12-01,0.082528,yahoo
2018-01-01,0.085493,yahoo
2018-02-01,-0.045249,yahoo
2018-03-01,-0.094052,yahoo
2018-04-01,0.05069,yahoo
2018-05-01,-0.093177,yahoo
2018-06-01,0.038106,yahoo
2018-07-01,-0.040342,yahoo
2018-08-01,0.099475,yahoo
2018-09-01,0.025008,yahoo
2018-10-01,-0.04576,yahoo
2018-11-01,0.010227,yahoo
2018-12-01,-0.163105,yahoo
2019-01-01,0.120565,yahoo
2019-02-01,-0.00084,yahoo
2019-03-01,-0.045378,yahoo
2019-04-01,-0.059859,yahoo
2019-05-01,0.041466,yahoo
2019-06-01,0.095042,yahoo
2019-07-01,0.022167,yahoo
2019-08-01,-0.055995,yahoo
2019-09-01,0.000729,yahoo
2019-10-01,0.037046,yahoo
2019-11-01,0.029632,yahoo
2019-12-01,-0.032875,yahoo
2020-01-01,0.006351,yahoo
2020-02-01,-0.014493,yahoo
2020-03-01,0.049573,yahoo
2020-04-01,0.013107,yahoo
2020-05-01,0.06335,yahoo
2020-06-01,0.056954,yahoo
2020-07-01,-0.005756,yahoo
2020-08-01,-0.03154,yahoo
2020-09-01,-0.001134,yahoo
2020-10-01,-0.00877,yahoo
2020-11-01,0.07328,yahoo
2020-12-01,-0.051886,yahoo
2021-01-01,0.065876,yahoo
2021-02-01,-0.028599,yahoo
2021-03-01,0.166469,yahoo
2021-04-01,0.023122,yahoo
2021-05-01,-0.050166,yahoo
2021-06-01,-0.002179,yahoo
2021-07-01,0.06708,yahoo
2021-08-01,0.000327,yahoo
2021-09-01,-0.022584,yahoo
2021-10-01,0.021515,yahoo
2021-11-01,-0.051385,yahoo
2021-12-01,0.148078,yahoo
2022-01-01,0.024908,yahoo
2022-02-01,0.046476,yahoo
2022-03-01,0.085456,yahoo
2022-04-01,-0.022106,yahoo
2022-05-01,0.023134,yahoo
2022-06-01,-0.085987,yahoo
2022-07-01,0.031453,yahoo
2022-08-01,0.004317,yahoo
2022-09-01,-0.076624,yahoo
2022-10-01,0.161753,yahoo
2022-11-01,0.085676,yahoo
2022-12-01,-0.029176,yahoo
2023-01-01,0.019613,yahoo
2023-02-01,-0.079309,yahoo
2023-03-01,0.029249,yahoo
2023-04-01,0.042096,yahoo
2023-05-01,0.019778,yahoo
2023-06-01,0.130943,yahoo
2023-07-01,-0.028738,yahoo
2023-08-01,-0.058427,yahoo
2023-09-01,0.022673,yahoo
2023-10-01,0.028783,yahoo
2023-11-01,0.098407,yahoo
2023-12-01,0.009884,yahoo
2024-01-01,0.132924,yahoo
2024-02-01,0.012549,yahoo
2024-03-01,0.031367,yahoo
2024-04-01,-0.016215,yahoo
2024-05-01,-0.052207,yahoo
2024-06-01,-0.005605,yahoo
2024-07-01,0.055837,yahoo
2024-08-01,0.007104,yahoo
2024-09-01,-0.060483,yahoo
2024-10-01,0.013329,yahoo
2024-11-01,0.102902,yahoo
2024-12-01,-0.106818,yahoo
2025-01-01,0.131431,yahoo
2025-02-01,-0.002636,yahoo
2025-03-01,0.096829,yahoo
2025-04-01,0.052429,yahoo
2025-05-01,-0.004886,yahoo
2025-06-01,0.029563,yahoo
2025-07-01,-0.045923,yahoo
2025-08-01,0.01933,yahoo
2025-09-01,0.07174,yahoo
2025-10-01,0.080888,yahoo
2025-11-01,0.092123,yahoo
2025-12-01,-0.084515,yahoo
2026-01-01,0.063568,yahoo
2026-02-01,0.035967,yahoo
2026-03-01,-0.155855,yahoo
2026-04-01,-0.019514,yahoo
2026-05-01,-0.125483,yahoo
2026-06-01,0.050564,yahoo
2026-07-01,0.078027,yahoo
