date,monthly_return,source
2016-06-01,0.058425,yahoo
2016-07-01,-0.049209,yahoo
2016-08-01,-0.003127,yahoo
2016-09-01,0.044777,yahoo
2016-10-01,-0.135824,yahoo
2016-11-01,0.021323,yahoo
2016-12-01,-0.013709,yahoo
2017-01-01,0.072205,yahoo
2017-02-01,0.005344,yahoo
2017-03-01,0.019884,yahoo
2017-04-01,0.162484,yahoo
2017-05-01,0.085848,yahoo
2017-06-01,0.007761,yahoo
2017-07-01,0.045334,yahoo
2017-08-01,0.040174,yahoo
2017-09-01,-0.064092,yahoo
2017-10-01,0.102516,yahoo
2017-11-01,0.031175,yahoo
2017-12-01,-0.026298,yahoo
2018-01-01,0.16555,yahoo
2018-02-01,-0.011499,yahoo
2018-03-01,0.060065,yahoo
2018-04-01,0.010974,yahoo
2018-05-01,0.03971,yahoo
2018-06-01,0.082393,yahoo
2018-07-01,0.007804,yahoo
2018-08-01,0.063268,yahoo
2018-09-01,-0.048218,yahoo
2018-10-01,-0.141194,yahoo
2018-11-01,0.022052,yahoo
2018-12-01,-0.086765,yahoo
2019-01-01,0.158297,yahoo
2019-02-01,0.170932,yahoo
2019-03-01,0.01943,yahoo
2019-04-01,0.063955,yahoo
2019-05-01,0.026982,yahoo
2019-06-01,0.08716,yahoo
2019-07-01,0.11071,yahoo
2019-08-01,-0.000861,yahoo
2019-09-01,-0.035243,yahoo
2019-10-01,-0.073635,yahoo
2019-11-01,0.115264,yahoo
2019-12-01,-0.023757,yahoo
2020-01-01,0.091409,yahoo
2020-02-01,0.022359,yahoo
2020-03-01,-0.120403,yahoo
2020-04-01,0.103966,yahoo
2020-05-01,0.013174,yahoo
2020-06-01,0.082019,yahoo
2020-07-01,0.195717,yahoo
2020-08-01,-0.001365,yahoo
2020-09-01,-0.000106,yahoo
2020-10-01,-0.029346,yahoo
2020-11-01,0.105584,yahoo
2020-12-01,0.015057,yahoo
2021-01-01,-0.026583,yahoo
2021-02-01,-0.084416,yahoo
2021-03-01,-0.00227,yahoo
2021-04-01,0.039592,yahoo
2021-05-01,-0.000503,yahoo
2021-06-01,-0.030211,yahoo
2021-07-01,0.072808,yahoo
2021-08-01,-0.046258,yahoo
2021-09-01,0.015577,yahoo
2021-10-01,-0.000116,yahoo
2021-11-01,-0.096339,yahoo
2021-12-01,0.016332,yahoo
2022-01-01,-0.112236,yahoo
2022-02-01,-0.130416,yahoo
2022-03-01,0.091788,yahoo
2022-04-01,-0.044888,yahoo
2022-05-01,-0.042125,yahoo
2022-06-01,-0.008697,yahoo
2022-07-01,0.201622,yahoo
2022-08-01,-0.040639,yahoo
2022-09-01,0.000144,yahoo
2022-10-01,0.187653,yahoo
2022-11-01,-0.020309,yahoo
2022-12-01,-0.046397,yahoo
2023-01-01,0.008023,yahoo
2023-02-01,-0.09294,yahoo
2023-03-01,-0.025616,yahoo
2023-04-01,0.117647,yahoo
2023-05-01,0.031839,yahoo
2023-06-01,0.120907,yahoo
2023-07-01,-0.056517,yahoo
2023-08-01,-0.02358,yahoo
2023-09-01,-0.062203,yahoo
2023-10-01,-0.045259,yahoo
2023-11-01,0.131181,yahoo
2023-12-01,0.052384,yahoo
2024-01-01,-0.044742,yahoo
2024-02-01,0.042525,yahoo
2024-03-01,0.109962,yahoo
2024-04-01,-0.052484,yahoo
2024-05-01,-0.145963,yahoo
2024-06-01,-0.051554,yahoo
2024-07-01,0.052333,yahoo
2024-08-01,-0.009228,yahoo
2024-09-01,-0.024062,yahoo
2024-10-01,-0.035127,yahoo
2024-11-01,0.117461,yahoo
2024-12-01,-0.119867,yahoo
2025-01-01,0.069982,yahoo
2025-02-01,-0.004569,yahoo
2025-03-01,0.039082,yahoo
2025-04-01,-0.063865,yahoo
2025-05-01,-0.008224,yahoo
2025-06-01,0.092985,yahoo
2025-07-01,0.183955,yahoo
2025-08-01,-0.05988,yahoo
2025-09-01,-0.057213,yahoo
2025-10-01,-0.184426,yahoo
2025-11-01,-0.000145,yahoo
2025-12-01,-0.022674,yahoo
2026-01-01,-0.085366,yahoo
2026-02-01,-0.274309,yahoo
2026-03-01,-0.096124,yahoo
2026-04-01,-0.142043,yahoo
2026-05-01,-0.069633,yahoo
2026-06-01,-0.120497,yahoo
2026-07-01,0.036017,yahoo
