date,monthly_return,source
2016-05-01,0.087001,yahoo
2016-06-01,-0.061895,yahoo
2016-07-01,0.062999,yahoo
2016-08-01,0.076518,yahoo
2016-09-01,0.033626,yahoo
2016-10-01,0.062443,yahoo
2016-11-01,-0.00304,yahoo
2016-12-01,-0.026052,yahoo
2017-01-01,-0.036698,yahoo
2017-02-01,0.060861,yahoo
2017-03-01,0.048115,yahoo
2017-04-01,-0.044637,yahoo
2017-05-01,0.118944,yahoo
2017-06-01,-0.028887,yahoo
2017-07-01,-0.009964,yahoo
2017-08-01,0.033812,yahoo
2017-09-01,-0.019615,yahoo
2017-10-01,0.078209,yahoo
2017-11-01,0.029565,yahoo
2017-12-01,0.00839,yahoo
2018-01-01,0.043424,yahoo
2018-02-01,0.044623,yahoo
2018-03-01,0.052445,yahoo
2018-04-01,0.04974,yahoo
2018-05-01,0.112889,yahoo
2018-06-01,-0.001635,yahoo
2018-07-01,-0.075053,yahoo
2018-08-01,0.055205,yahoo
2018-09-01,-0.045443,yahoo
2018-10-01,-0.046175,yahoo
2018-11-01,0.005806,yahoo
2018-12-01,-0.041053,yahoo
2019-01-01,0.122171,yahoo
2019-02-01,0.145938,yahoo
2019-03-01,0.007804,yahoo
2019-04-01,0.04377,yahoo
2019-05-01,-0.009906,yahoo
2019-06-01,0.05459,yahoo
2019-07-01,0.017371,yahoo
2019-08-01,0.032667,yahoo
2019-09-01,0.02039,yahoo
2019-10-01,-0.016869,yahoo
2019-11-01,0.091618,yahoo
2019-12-01,-0.111865,yahoo
2020-01-01,0.102992,yahoo
2020-02-01,-0.01698,yahoo
2020-03-01,-0.064654,yahoo
2020-04-01,0.046528,yahoo
2020-05-01,0.16929,yahoo
2020-06-01,-0.020599,yahoo
2020-07-01,0.033584,yahoo
2020-08-01,-0.046946,yahoo
2020-09-01,-0.020106,yahoo
2020-10-01,-0.05477,yahoo
2020-11-01,0.14993,yahoo
2020-12-01,0.027756,yahoo
2021-01-01,-0.057559,yahoo
2021-02-01,0.057736,yahoo
2021-03-01,0.065132,yahoo
2021-04-01,0.027857,yahoo
2021-05-01,-0.048333,yahoo
2021-06-01,0.09359,yahoo
2021-07-01,0.064461,yahoo
2021-08-01,0.069935,yahoo
2021-09-01,-0.029544,yahoo
2021-10-01,0.048178,yahoo
2021-11-01,-0.000598,yahoo
2021-12-01,0.079703,yahoo
2022-01-01,-0.067147,yahoo
2022-02-01,-0.024295,yahoo
2022-03-01,0.000393,yahoo
2022-04-01,-0.053875,yahoo
2022-05-01,-0.015397,yahoo
2022-06-01,-0.040121,yahoo
2022-07-01,0.139983,yahoo
2022-08-01,-0.092427,yahoo
2022-09-01,-0.027784,yahoo
2022-10-01,0.024869,yahoo
2022-11-01,0.100833,yahoo
2022-12-01,-0.02516,yahoo
2023-01-01,0.112022,yahoo
2023-02-01,-0.001961,yahoo
2023-03-01,0.083008,yahoo
2023-04-01,0.04365,yahoo
2023-05-01,0.043815,yahoo
2023-06-01,-0.0084,yahoo
2023-07-01,0.01501,yahoo
2023-08-01,-0.003769,yahoo
2023-09-01,0.010308,yahoo
2023-10-01,-0.00858,yahoo
2023-11-01,0.146507,yahoo
2023-12-01,0.030738,yahoo
2024-01-01,0.131067,yahoo
2024-02-01,0.016828,yahoo
2024-03-01,-0.020747,yahoo
2024-04-01,-0.042086,yahoo
2024-05-01,0.069631,yahoo
2024-06-01,0.03978,yahoo
2024-07-01,0.10513,yahoo
2024-08-01,0.010192,yahoo
2024-09-01,-0.000157,yahoo
2024-10-01,-0.045673,yahoo
2024-11-01,0.127439,yahoo
2024-12-01,-0.061098,yahoo
2025-01-01,0.069317,yahoo
2025-02-01,0.049221,yahoo
2025-03-01,-0.086145,yahoo
2025-04-01,0.090179,yahoo
2025-05-01,0.001491,yahoo
2025-06-01,0.003505,yahoo
2025-07-01,-0.042642,yahoo
2025-08-01,-0.048102,yahoo
2025-09-01,-0.169737,yahoo
2025-10-01,-0.023002,yahoo
2025-11-01,-0.083669,yahoo
2025-12-01,-0.023904,yahoo
2026-01-01,-0.23882,yahoo
2026-02-01,0.003064,yahoo
2026-03-01,-0.03121,yahoo
2026-04-01,0.013063,yahoo
2026-05-01,0.141049,yahoo
2026-06-01,0.02167,yahoo
