date,monthly_return,source
2016-07-01,0.086273,yahoo
2016-08-01,-0.001765,yahoo
2016-09-01,0.078501,yahoo
2016-10-01,0.000328,yahoo
2016-11-01,0.173714,yahoo
2016-12-01,0.003351,yahoo
2017-01-01,0.291122,yahoo
2017-02-01,0.046777,yahoo
2017-03-01,-0.041392,yahoo
2017-04-01,0.092159,yahoo
2017-05-01,0.0655,yahoo
2017-06-01,0.0072,yahoo
2017-07-01,-0.095674,yahoo
2017-08-01,0.01743,yahoo
2017-09-01,0.080876,yahoo
2017-10-01,-0.070586,yahoo
2017-11-01,0.105493,yahoo
2017-12-01,-0.013274,yahoo
2018-01-01,0.031994,yahoo
2018-02-01,-0.053725,yahoo
2018-03-01,0.037044,yahoo
2018-04-01,0.066056,yahoo
2018-05-01,0.088567,yahoo
2018-06-01,-0.013457,yahoo
2018-07-01,0.108184,yahoo
2018-08-01,0.049236,yahoo
2018-09-01,-0.001483,yahoo
2018-10-01,-0.070088,yahoo
2018-11-01,0.054749,yahoo
2018-12-01,-0.144568,yahoo
2019-01-01,0.05746,yahoo
2019-02-01,0.106088,yahoo
2019-03-01,0.029586,yahoo
2019-04-01,0.064288,yahoo
2019-05-01,-0.0648,yahoo
2019-06-01,0.038942,yahoo
2019-07-01,-0.090087,yahoo
2019-08-01,-0.048011,yahoo
2019-09-01,0.033572,yahoo
2019-10-01,0.014436,yahoo
2019-11-01,0.018073,yahoo
2019-12-01,0.011462,yahoo
2020-01-01,0.055003,yahoo
2020-02-01,-0.077155,yahoo
2020-03-01,-0.186657,yahoo
2020-04-01,0.155846,yahoo
2020-05-01,0.080779,yahoo
2020-06-01,-0.025705,yahoo
2020-07-01,0.022942,yahoo
2020-08-01,0.071769,yahoo
2020-09-01,0.015825,yahoo
2020-10-01,0.016351,yahoo
2020-11-01,0.14074,yahoo
2020-12-01,0.007773,yahoo
2021-01-01,-0.054986,yahoo
2021-02-01,0.067514,yahoo
2021-03-01,0.053195,yahoo
2021-04-01,0.044908,yahoo
2021-05-01,-0.006253,yahoo
2021-06-01,-0.038753,yahoo
2021-07-01,0.007481,yahoo
2021-08-01,0.006497,yahoo
2021-09-01,-0.085767,yahoo
2021-10-01,0.216207,yahoo
2021-11-01,-0.041747,yahoo
2021-12-01,0.084824,yahoo
2022-01-01,-0.089894,yahoo
2022-02-01,-0.009059,yahoo
2022-03-01,0.104394,yahoo
2022-04-01,-0.083044,yahoo
2022-05-01,-0.074257,yahoo
2022-06-01,-0.085876,yahoo
2022-07-01,0.112526,yahoo
2022-08-01,-0.021033,yahoo
2022-09-01,-0.158294,yahoo
2022-10-01,0.090841,yahoo
2022-11-01,0.124914,yahoo
2022-12-01,-0.05231,yahoo
2023-01-01,-0.001937,yahoo
2023-02-01,-0.013907,yahoo
2023-03-01,-0.018039,yahoo
2023-04-01,0.02338,yahoo
2023-05-01,0.000979,yahoo
2023-06-01,0.111836,yahoo
2023-07-01,-0.022874,yahoo
2023-08-01,-0.093637,yahoo
2023-09-01,0.018212,yahoo
2023-10-01,-0.029268,yahoo
2023-11-01,0.082077,yahoo
2023-12-01,0.073375,yahoo
2024-01-01,0.029709,yahoo
2024-02-01,0.062745,yahoo
2024-03-01,-0.022931,yahoo
2024-04-01,-0.103858,yahoo
2024-05-01,0.015954,yahoo
2024-06-01,-0.008889,yahoo
2024-07-01,0.049327,yahoo
2024-08-01,-0.023647,yahoo
2024-09-01,0.007587,yahoo
2024-10-01,-0.025775,yahoo
2024-11-01,0.086504,yahoo
2024-12-01,-0.1171,yahoo
2025-01-01,0.018593,yahoo
2025-02-01,-0.026164,yahoo
2025-03-01,-0.0806,yahoo
2025-04-01,-0.046211,yahoo
2025-05-01,0.125401,yahoo
2025-06-01,0.032922,yahoo
2025-07-01,0.089182,yahoo
2025-08-01,-0.085256,yahoo
2025-09-01,0.092279,yahoo
2025-10-01,0.014362,yahoo
2025-11-01,-0.018323,yahoo
2025-12-01,0.02517,yahoo
2026-01-01,0.041655,yahoo
2026-02-01,0.130561,yahoo
2026-03-01,-0.038416,yahoo
2026-04-01,0.106699,yahoo
2026-05-01,-0.003742,yahoo
2026-06-01,0.050155,yahoo
2026-07-01,0.038292,yahoo
