date,monthly_return,source
2016-07-01,0.060803,yahoo
2016-08-01,-0.040991,yahoo
2016-09-01,0.021855,yahoo
2016-10-01,-0.037693,yahoo
2016-11-01,0.073919,yahoo
2016-12-01,0.050766,yahoo
2017-01-01,0.000218,yahoo
2017-02-01,0.060052,yahoo
2017-03-01,0.007697,yahoo
2017-04-01,0.074549,yahoo
2017-05-01,0.030897,yahoo
2017-06-01,0.021973,yahoo
2017-07-01,-0.025639,yahoo
2017-08-01,0.000369,yahoo
2017-09-01,-0.135764,yahoo
2017-10-01,0.001495,yahoo
2017-11-01,0.049904,yahoo
2017-12-01,0.000305,yahoo
2018-01-01,0.074424,yahoo
2018-02-01,-0.026176,yahoo
2018-03-01,-0.026686,yahoo
2018-04-01,0.008973,yahoo
2018-05-01,0.052668,yahoo
2018-06-01,0.03201,yahoo
2018-07-01,-0.020193,yahoo
2018-08-01,0.02098,yahoo
2018-09-01,-0.018822,yahoo
2018-10-01,-0.127884,yahoo
2018-11-01,-0.058867,yahoo
2018-12-01,-0.05984,yahoo
2019-01-01,0.048997,yahoo
2019-02-01,-0.009159,yahoo
2019-03-01,0.038937,yahoo
2019-04-01,0.071842,yahoo
2019-05-01,-0.004876,yahoo
2019-06-01,0.061516,yahoo
2019-07-01,0.002652,yahoo
2019-08-01,0.002841,yahoo
2019-09-01,0.045521,yahoo
2019-10-01,-0.054004,yahoo
2019-11-01,0.052346,yahoo
2019-12-01,0.002252,yahoo
2020-01-01,0.036333,yahoo
2020-02-01,-0.041655,yahoo
2020-03-01,-0.242881,yahoo
2020-04-01,0.371233,yahoo
2020-05-01,0.074199,yahoo
2020-06-01,-0.036524,yahoo
2020-07-01,0.11504,yahoo
2020-08-01,-0.124577,yahoo
2020-09-01,0.029216,yahoo
2020-10-01,0.066818,yahoo
2020-11-01,0.015065,yahoo
2020-12-01,-0.038797,yahoo
2021-01-01,0.083746,yahoo
2021-02-01,-0.104994,yahoo
2021-03-01,0.110304,yahoo
2021-04-01,0.027583,yahoo
2021-05-01,-0.001592,yahoo
2021-06-01,0.002278,yahoo
2021-07-01,0.074487,yahoo
2021-08-01,0.077786,yahoo
2021-09-01,-0.049205,yahoo
2021-10-01,0.010116,yahoo
2021-11-01,0.012945,yahoo
2021-12-01,0.16364,yahoo
2022-01-01,-0.219583,yahoo
2022-02-01,-0.027774,yahoo
2022-03-01,0.042584,yahoo
2022-04-01,-0.022066,yahoo
2022-05-01,0.053646,yahoo
2022-06-01,-0.057013,yahoo
2022-07-01,0.026997,yahoo
2022-08-01,-0.082449,yahoo
2022-09-01,-0.020908,yahoo
2022-10-01,0.170837,yahoo
2022-11-01,0.056944,yahoo
2022-12-01,0.030363,yahoo
2023-01-01,-0.050882,yahoo
2023-02-01,-0.068157,yahoo
2023-03-01,0.02255,yahoo
2023-04-01,-0.018872,yahoo
2023-05-01,-0.044377,yahoo
2023-06-01,0.059631,yahoo
2023-07-01,-0.038062,yahoo
2023-08-01,-0.027439,yahoo
2023-09-01,-0.073308,yahoo
2023-10-01,0.067619,yahoo
2023-11-01,0.054804,yahoo
2023-12-01,0.004737,yahoo
2024-01-01,-0.068538,yahoo
2024-02-01,-0.027564,yahoo
2024-03-01,0.065818,yahoo
2024-04-01,0.038089,yahoo
2024-05-01,0.027428,yahoo
2024-06-01,-0.035853,yahoo
2024-07-01,0.039597,yahoo
2024-08-01,0.103092,yahoo
2024-09-01,-0.010958,yahoo
2024-10-01,-0.002705,yahoo
2024-11-01,0.050572,yahoo
2024-12-01,-0.072544,yahoo
2025-01-01,0.081135,yahoo
2025-02-01,0.060086,yahoo
2025-03-01,-0.0214,yahoo
2025-04-01,0.05331,yahoo
2025-05-01,-0.027382,yahoo
2025-06-01,0.036287,yahoo
2025-07-01,-0.068029,yahoo
2025-08-01,0.085001,yahoo
2025-09-01,0.049218,yahoo
2025-10-01,-0.076766,yahoo
2025-11-01,0.075192,yahoo
2025-12-01,-0.082725,yahoo
2026-01-01,0.077796,yahoo
2026-02-01,0.133027,yahoo
2026-03-01,-0.075173,yahoo
2026-04-01,-0.009083,yahoo
2026-05-01,0.003605,yahoo
2026-06-01,0.087481,yahoo
2026-07-01,-0.007337,yahoo
