date,monthly_return,source
2016-07-01,0.121175,yahoo
2016-08-01,0.015411,yahoo
2016-09-01,0.015244,yahoo
2016-10-01,0.114521,yahoo
2016-11-01,-0.007091,yahoo
2016-12-01,-0.052368,yahoo
2017-01-01,0.096081,yahoo
2017-02-01,0.087487,yahoo
2017-03-01,-0.029029,yahoo
2017-04-01,-0.015789,yahoo
2017-05-01,0.167209,yahoo
2017-06-01,-0.000897,yahoo
2017-07-01,-0.118328,yahoo
2017-08-01,-0.022735,yahoo
2017-09-01,0.089378,yahoo
2017-10-01,-0.078318,yahoo
2017-11-01,0.017268,yahoo
2017-12-01,0.015041,yahoo
2018-01-01,0.147597,yahoo
2018-02-01,0.02564,yahoo
2018-03-01,0.050133,yahoo
2018-04-01,0.03498,yahoo
2018-05-01,0.040334,yahoo
2018-06-01,0.122038,yahoo
2018-07-01,-0.069143,yahoo
2018-08-01,0.136679,yahoo
2018-09-01,-0.012594,yahoo
2018-10-01,-0.088229,yahoo
2018-11-01,0.031735,yahoo
2018-12-01,-0.105762,yahoo
2019-01-01,0.144119,yahoo
2019-02-01,-0.115568,yahoo
2019-03-01,0.028533,yahoo
2019-04-01,0.048353,yahoo
2019-05-01,0.032966,yahoo
2019-06-01,-0.004365,yahoo
2019-07-01,-0.121281,yahoo
2019-08-01,-0.072343,yahoo
2019-09-01,0.078249,yahoo
2019-10-01,0.110511,yahoo
2019-11-01,0.083499,yahoo
2019-12-01,-0.001767,yahoo
2020-01-01,-0.040949,yahoo
2020-02-01,0.204827,yahoo
2020-03-01,-0.045337,yahoo
2020-04-01,0.116827,yahoo
2020-05-01,0.066063,yahoo
2020-06-01,-0.042505,yahoo
2020-07-01,0.046476,yahoo
2020-08-01,0.05781,yahoo
2020-09-01,0.039906,yahoo
2020-10-01,-0.110421,yahoo
2020-11-01,0.037667,yahoo
2020-12-01,-0.023206,yahoo
2021-01-01,-0.033119,yahoo
2021-02-01,-0.065406,yahoo
2021-03-01,0.061412,yahoo
2021-04-01,0.148318,yahoo
2021-05-01,0.010726,yahoo
2021-06-01,0.092815,yahoo
2021-07-01,0.126476,yahoo
2021-08-01,-0.016366,yahoo
2021-09-01,-0.077251,yahoo
2021-10-01,0.02518,yahoo
2021-11-01,0.071927,yahoo
2021-12-01,0.076678,yahoo
2022-01-01,-0.194354,yahoo
2022-02-01,-0.049357,yahoo
2022-03-01,-0.058305,yahoo
2022-04-01,-0.169554,yahoo
2022-05-01,0.074467,yahoo
2022-06-01,0.073079,yahoo
2022-07-01,0.006158,yahoo
2022-08-01,-0.051644,yahoo
2022-09-01,-0.165815,yahoo
2022-10-01,0.071051,yahoo
2022-11-01,0.170028,yahoo
2022-12-01,-0.108893,yahoo
2023-01-01,0.019053,yahoo
2023-02-01,-0.16711,yahoo
2023-03-01,0.121969,yahoo
2023-04-01,-0.037591,yahoo
2023-05-01,-0.087,yahoo
2023-06-01,0.162636,yahoo
2023-07-01,0.177305,yahoo
2023-08-01,-0.023542,yahoo
2023-09-01,-0.022225,yahoo
2023-10-01,-0.105071,yahoo
2023-11-01,0.159002,yahoo
2023-12-01,0.049225,yahoo
2024-01-01,0.033937,yahoo
2024-02-01,0.051922,yahoo
2024-03-01,0.108241,yahoo
2024-04-01,0.065187,yahoo
2024-05-01,-0.039092,yahoo
2024-06-01,0.015239,yahoo
2024-07-01,-0.169717,yahoo
2024-08-01,-0.0338,yahoo
2024-09-01,0.038459,yahoo
2024-10-01,-0.03815,yahoo
2024-11-01,0.150968,yahoo
2024-12-01,-0.118503,yahoo
2025-01-01,0.069945,yahoo
2025-02-01,0.090377,yahoo
2025-03-01,-0.061792,yahoo
2025-04-01,0.067298,yahoo
2025-05-01,-0.03375,yahoo
2025-06-01,-0.049006,yahoo
2025-07-01,0.027985,yahoo
2025-08-01,-0.0106,yahoo
2025-09-01,-0.058019,yahoo
2025-10-01,-0.077019,yahoo
2025-11-01,0.05313,yahoo
2025-12-01,-0.006696,yahoo
2026-01-01,-0.01557,yahoo
2026-02-01,-0.019058,yahoo
2026-03-01,-0.108618,yahoo
2026-04-01,-0.053987,yahoo
2026-05-01,-0.084969,yahoo
2026-06-01,-0.046816,yahoo
2026-07-01,0.091913,yahoo
