date,monthly_return,source
2020-11-01,0.043478,yahoo
2020-12-01,-0.102083,yahoo
2021-01-01,0.055685,yahoo
2021-02-01,-0.138462,yahoo
2021-03-01,0.114796,yahoo
2021-04-01,-0.038902,yahoo
2021-05-01,0.071429,yahoo
2021-06-01,0.037778,yahoo
2021-07-01,-0.068523,yahoo
2021-08-01,-0.128736,yahoo
2021-09-01,0.023747,yahoo
2021-10-01,0.064433,yahoo
2021-11-01,0.041162,yahoo
2021-12-01,-0.004651,yahoo
2022-01-01,0.042056,yahoo
2022-02-01,0.08296,yahoo
2022-03-01,0.006211,yahoo
2022-04-01,-0.076132,yahoo
2022-05-01,-0.055679,yahoo
2022-06-01,0.018868,yahoo
2022-07-01,-0.030093,yahoo
2022-08-01,-0.045346,yahoo
2022-09-01,0.0225,yahoo
2022-10-01,0.129584,yahoo
2022-11-01,-0.008658,yahoo
2022-12-01,0.067686,yahoo
2023-01-01,-0.08589,yahoo
2023-02-01,0.073826,yahoo
2023-03-01,-0.041667,yahoo
2023-04-01,-0.023913,yahoo
2023-05-01,0.024499,yahoo
2023-06-01,0.021739,yahoo
2023-07-01,-0.053191,yahoo
2023-08-01,0.076405,yahoo
2023-09-01,-0.018789,yahoo
2023-10-01,0.055319,yahoo
2023-11-01,0.0625,yahoo
2023-12-01,0.051233,yahoo
2024-01-01,-0.104693,yahoo
2024-02-01,-0.006048,yahoo
2024-03-01,0.004057,yahoo
2024-04-01,-0.064646,yahoo
2024-05-01,-0.138229,yahoo
2024-06-01,0.0,yahoo
2024-07-01,-0.077694,yahoo
2024-08-01,0.097826,yahoo
2024-09-01,-0.084158,yahoo
2024-10-01,0.013514,yahoo
2024-11-01,-0.008,yahoo
2024-12-01,0.094086,yahoo
2025-01-01,-0.117936,yahoo
2025-02-01,0.002786,yahoo
2025-03-01,0.013889,yahoo
2025-04-01,0.041096,yahoo
2025-05-01,-0.010526,yahoo
2025-06-01,0.103723,yahoo
2025-07-01,0.009639,yahoo
2025-08-01,-0.050119,yahoo
2025-09-01,0.025126,yahoo
2025-10-01,-0.007353,yahoo
2025-11-01,0.004938,yahoo
2025-12-01,0.039312,yahoo
2026-01-01,0.021277,yahoo
2026-02-01,-0.069444,yahoo
2026-03-01,0.024876,yahoo
2026-04-01,0.092233,yahoo
2026-05-01,0.044444,yahoo
2026-06-01,-0.042553,yahoo
2026-07-01,-0.006667,yahoo
