date,monthly_return,source
2016-07-01,-0.020619,yahoo
2016-08-01,0.083109,yahoo
2016-09-01,0.092892,yahoo
2016-10-01,-0.06504,yahoo
2016-11-01,0.13382,yahoo
2016-12-01,-0.013851,yahoo
2017-01-01,0.004748,yahoo
2017-02-01,-0.045186,yahoo
2017-03-01,0.005774,yahoo
2017-04-01,-0.051768,yahoo
2017-05-01,-0.023676,yahoo
2017-06-01,0.002325,yahoo
2017-07-01,0.051038,yahoo
2017-08-01,-0.106685,yahoo
2017-09-01,0.138252,yahoo
2017-10-01,0.032355,yahoo
2017-11-01,0.024532,yahoo
2017-12-01,0.054633,yahoo
2018-01-01,0.065703,yahoo
2018-02-01,-0.118087,yahoo
2018-03-01,0.037961,yahoo
2018-04-01,0.122542,yahoo
2018-05-01,-0.003046,yahoo
2018-06-01,0.056192,yahoo
2018-07-01,0.036245,yahoo
2018-08-01,-0.083062,yahoo
2018-09-01,0.078999,yahoo
2018-10-01,-0.174257,yahoo
2018-11-01,-0.019271,yahoo
2018-12-01,-0.155842,yahoo
2019-01-01,0.137484,yahoo
2019-02-01,-0.052419,yahoo
2019-03-01,0.012553,yahoo
2019-04-01,0.009141,yahoo
2019-05-01,-0.147527,yahoo
2019-06-01,0.137763,yahoo
2019-07-01,-0.078467,yahoo
2019-08-01,-0.135818,yahoo
2019-09-01,0.000404,yahoo
2019-10-01,-0.066155,yahoo
2019-11-01,0.02294,yahoo
2019-12-01,0.181382,yahoo
2020-01-01,-0.129537,yahoo
2020-02-01,-0.132355,yahoo
2020-03-01,-0.432185,yahoo
2020-04-01,0.322661,yahoo
2020-05-01,0.072827,yahoo
2020-06-01,-0.006082,yahoo
2020-07-01,-0.075207,yahoo
2020-08-01,-0.03223,yahoo
2020-09-01,-0.207322,yahoo
2020-10-01,-0.047301,yahoo
2020-11-01,0.369159,yahoo
2020-12-01,0.06378,yahoo
2021-01-01,0.021857,yahoo
2021-02-01,0.266876,yahoo
2021-03-01,0.123451,yahoo
2021-04-01,0.015304,yahoo
2021-05-01,0.090983,yahoo
2021-06-01,0.038586,yahoo
2021-07-01,-0.126798,yahoo
2021-08-01,-0.073291,yahoo
2021-09-01,0.188833,yahoo
2021-10-01,0.151863,yahoo
2021-11-01,-0.059053,yahoo
2021-12-01,0.021035,yahoo
2022-01-01,0.254981,yahoo
2022-02-01,0.030858,yahoo
2022-03-01,0.037504,yahoo
2022-04-01,-0.020716,yahoo
2022-05-01,0.173004,yahoo
2022-06-01,-0.193633,yahoo
2022-07-01,0.007063,yahoo
2022-08-01,0.090631,yahoo
2022-09-01,-0.078895,yahoo
2022-10-01,0.221874,yahoo
2022-11-01,0.039628,yahoo
2022-12-01,-0.087437,yahoo
2023-01-01,0.021078,yahoo
2023-02-01,-0.145406,yahoo
2023-03-01,0.014245,yahoo
2023-04-01,0.042223,yahoo
2023-05-01,-0.10195,yahoo
2023-06-01,0.066642,yahoo
2023-07-01,0.158074,yahoo
2023-08-01,-0.029503,yahoo
2023-09-01,-0.014461,yahoo
2023-10-01,-0.004023,yahoo
2023-11-01,-0.025188,yahoo
2023-12-01,-0.017226,yahoo
2024-01-01,-0.059198,yahoo
2024-02-01,0.005888,yahoo
2024-03-01,0.116897,yahoo
2024-04-01,0.033558,yahoo
2024-05-01,-0.057368,yahoo
2024-06-01,0.010598,yahoo
2024-07-01,0.007389,yahoo
2024-08-01,0.015931,yahoo
2024-09-01,-0.045723,yahoo
2024-10-01,-0.007891,yahoo
2024-11-01,0.092653,yahoo
2024-12-01,-0.080144,yahoo
2025-01-01,0.026187,yahoo
2025-02-01,0.009142,yahoo
2025-03-01,0.010241,yahoo
2025-04-01,-0.13966,yahoo
2025-05-01,-0.015952,yahoo
2025-06-01,0.101686,yahoo
2025-07-01,0.003428,yahoo
2025-08-01,0.039993,yahoo
2025-09-01,-0.101746,yahoo
2025-10-01,-0.056011,yahoo
2025-11-01,0.018991,yahoo
2025-12-01,-0.026333,yahoo
2026-01-01,0.067803,yahoo
2026-02-01,0.106573,yahoo
2026-03-01,0.165135,yahoo
2026-04-01,-0.027668,yahoo
2026-05-01,-0.051149,yahoo
2026-06-01,-0.027365,yahoo
2026-07-01,0.105681,yahoo
