date,monthly_return,source
2016-07-01,0.048696,yahoo
2016-08-01,0.018242,yahoo
2016-09-01,0.021173,yahoo
2016-10-01,0.007177,yahoo
2016-11-01,-0.01247,yahoo
2016-12-01,-0.020645,yahoo
2017-01-01,0.034998,yahoo
2017-02-01,0.013051,yahoo
2017-03-01,0.00527,yahoo
2017-04-01,0.00699,yahoo
2017-05-01,0.027574,yahoo
2017-06-01,0.006756,yahoo
2017-07-01,0.02069,yahoo
2017-08-01,-0.000913,yahoo
2017-09-01,0.018278,yahoo
2017-10-01,0.052773,yahoo
2017-11-01,0.021483,yahoo
2017-12-01,0.000334,yahoo
2018-01-01,0.050225,yahoo
2018-02-01,-0.029711,yahoo
2018-03-01,-0.006386,yahoo
2018-04-01,-0.000659,yahoo
2018-05-01,-0.014842,yahoo
2018-06-01,-0.030633,yahoo
2018-07-01,0.010706,yahoo
2018-08-01,-0.005296,yahoo
2018-09-01,0.034524,yahoo
2018-10-01,-0.08949,yahoo
2018-11-01,0.009117,yahoo
2018-12-01,-0.084026,yahoo
2019-01-01,0.070823,yahoo
2019-02-01,0.001474,yahoo
2019-03-01,0.006623,yahoo
2019-04-01,0.012792,yahoo
2019-05-01,-0.048719,yahoo
2019-06-01,0.035281,yahoo
2019-07-01,-0.004214,yahoo
2019-08-01,-0.007912,yahoo
2019-09-01,0.0523,yahoo
2019-10-01,0.034191,yahoo
2019-11-01,0.012781,yahoo
2019-12-01,-0.003197,yahoo
2020-01-01,-0.025152,yahoo
2020-02-01,-0.082944,yahoo
2020-03-01,-0.067409,yahoo
2020-04-01,0.047985,yahoo
2020-05-01,0.070518,yahoo
2020-06-01,-0.008843,yahoo
2020-07-01,-0.010743,yahoo
2020-08-01,0.067918,yahoo
2020-09-01,0.018097,yahoo
2020-10-01,-0.014051,yahoo
2020-11-01,0.105597,yahoo
2020-12-01,0.049231,yahoo
2021-01-01,-0.008437,yahoo
2021-02-01,0.018361,yahoo
2021-03-01,0.004397,yahoo
2021-04-01,-0.016054,yahoo
2021-05-01,0.017206,yahoo
2021-06-01,-0.015165,yahoo
2021-07-01,-0.006367,yahoo
2021-08-01,0.019222,yahoo
2021-09-01,0.027047,yahoo
2021-10-01,-0.026334,yahoo
2021-11-01,-0.030263,yahoo
2021-12-01,0.009498,yahoo
2022-01-01,-0.043011,yahoo
2022-02-01,-0.01779,yahoo
2022-03-01,-0.021131,yahoo
2022-04-01,-0.080993,yahoo
2022-05-01,0.017308,yahoo
2022-06-01,-0.082812,yahoo
2022-07-01,0.062843,yahoo
2022-08-01,-0.045592,yahoo
2022-09-01,-0.088449,yahoo
2022-10-01,0.023337,yahoo
2022-11-01,0.116223,yahoo
2022-12-01,-0.024373,yahoo
2023-01-01,0.0777,yahoo
2023-02-01,-0.046531,yahoo
2023-03-01,0.04916,yahoo
2023-04-01,0.002556,yahoo
2023-05-01,0.008498,yahoo
2023-06-01,0.043141,yahoo
2023-07-01,0.024556,yahoo
2023-08-01,-0.028067,yahoo
2023-09-01,-0.021901,yahoo
2023-10-01,-0.02206,yahoo
2023-11-01,0.061906,yahoo
2023-12-01,0.024437,yahoo
2024-01-01,0.032273,yahoo
2024-02-01,0.043951,yahoo
2024-03-01,0.032263,yahoo
2024-04-01,-0.057183,yahoo
2024-05-01,0.025271,yahoo
2024-06-01,-0.010584,yahoo
2024-07-01,0.040006,yahoo
2024-08-01,0.01409,yahoo
2024-09-01,-0.005975,yahoo
2024-10-01,-0.048504,yahoo
2024-11-01,0.023799,yahoo
2024-12-01,-0.037165,yahoo
2025-01-01,0.018033,yahoo
2025-02-01,0.002342,yahoo
2025-03-01,0.001314,yahoo
2025-04-01,0.041861,yahoo
2025-05-01,0.037659,yahoo
2025-06-01,0.011468,yahoo
2025-07-01,-0.018007,yahoo
2025-08-01,0.063298,yahoo
2025-09-01,0.024655,yahoo
2025-10-01,0.040394,yahoo
2025-11-01,-0.005273,yahoo
2025-12-01,-0.027346,yahoo
2026-01-01,0.06168,yahoo
2026-02-01,0.077578,yahoo
2026-03-01,-0.08585,yahoo
2026-04-01,0.055187,yahoo
2026-05-01,0.043322,yahoo
2026-06-01,0.003335,yahoo
2026-07-01,-0.011579,yahoo
