date,monthly_return,source
2016-07-01,0.00716,yahoo
2016-08-01,-0.004739,yahoo
2016-09-01,-0.042064,yahoo
2016-10-01,-0.027341,yahoo
2016-11-01,0.018739,yahoo
2016-12-01,0.014214,yahoo
2017-01-01,0.018961,yahoo
2017-02-01,0.013754,yahoo
2017-03-01,-0.071029,yahoo
2017-04-01,-0.014605,yahoo
2017-05-01,-0.030514,yahoo
2017-06-01,0.006295,yahoo
2017-07-01,0.002681,yahoo
2017-08-01,-0.016934,yahoo
2017-09-01,0.085222,yahoo
2017-10-01,0.025063,yahoo
2017-11-01,0.020375,yahoo
2017-12-01,-0.002396,yahoo
2018-01-01,-0.121697,yahoo
2018-02-01,-0.032817,yahoo
2018-03-01,0.044298,yahoo
2018-04-01,0.01444,yahoo
2018-05-01,0.02758,yahoo
2018-06-01,-0.041558,yahoo
2018-07-01,-0.093044,yahoo
2018-08-01,-0.055777,yahoo
2018-09-01,-0.024262,yahoo
2018-10-01,0.032432,yahoo
2018-11-01,-0.01466,yahoo
2018-12-01,-0.187035,yahoo
2019-01-01,0.150327,yahoo
2019-02-01,-0.003409,yahoo
2019-03-01,0.00114,yahoo
2019-04-01,0.190205,yahoo
2019-05-01,-0.088995,yahoo
2019-06-01,0.07458,yahoo
2019-07-01,-0.068426,yahoo
2019-08-01,-0.037775,yahoo
2019-09-01,-0.001091,yahoo
2019-10-01,-0.062227,yahoo
2019-11-01,0.054715,yahoo
2019-12-01,0.02649,yahoo
2020-01-01,-0.051613,yahoo
2020-02-01,-0.210884,yahoo
2020-03-01,-0.306034,yahoo
2020-04-01,0.05383,yahoo
2020-05-01,0.121807,yahoo
2020-06-01,0.064799,yahoo
2020-07-01,0.087171,yahoo
2020-08-01,0.03177,yahoo
2020-09-01,-0.02346,yahoo
2020-10-01,0.160661,yahoo
2020-11-01,0.174644,yahoo
2020-12-01,-0.031938,yahoo
2021-01-01,0.197952,yahoo
2021-02-01,0.111111,yahoo
2021-03-01,0.047009,yahoo
2021-04-01,-0.057959,yahoo
2021-05-01,0.259099,yahoo
2021-06-01,0.022712,yahoo
2021-07-01,-0.061238,yahoo
2021-08-01,-0.06595,yahoo
2021-09-01,0.086723,yahoo
2021-10-01,0.206215,yahoo
2021-11-01,0.123536,yahoo
2021-12-01,0.082335,yahoo
2022-01-01,-0.022629,yahoo
2022-02-01,-0.134975,yahoo
2022-03-01,-0.037016,yahoo
2022-04-01,-0.162626,yahoo
2022-05-01,-0.033898,yahoo
2022-06-01,-0.186404,yahoo
2022-07-01,0.319856,yahoo
2022-08-01,0.03744,yahoo
2022-09-01,-0.265092,yahoo
2022-10-01,0.19375,yahoo
2022-11-01,0.039641,yahoo
2022-12-01,-0.163309,yahoo
2023-01-01,0.161651,yahoo
2023-02-01,-0.106588,yahoo
2023-03-01,0.043911,yahoo
2023-04-01,-0.057143,yahoo
2023-05-01,0.010101,yahoo
2023-06-01,0.260833,yahoo
2023-07-01,-0.1269,yahoo
2023-08-01,-0.081756,yahoo
2023-09-01,0.023908,yahoo
2023-10-01,-0.214976,yahoo
2023-11-01,0.052308,yahoo
2023-12-01,0.188109,yahoo
2024-01-01,-0.038556,yahoo
2024-02-01,0.061433,yahoo
2024-03-01,0.067524,yahoo
2024-04-01,-0.08509,yahoo
2024-05-01,-0.001646,yahoo
2024-06-01,0.0338,yahoo
2024-07-01,-0.137161,yahoo
2024-08-01,0.034196,yahoo
2024-09-01,-0.0563,yahoo
2024-10-01,-0.025568,yahoo
2024-11-01,0.081633,yahoo
2024-12-01,-0.110512,yahoo
2025-01-01,0.018182,yahoo
2025-02-01,-0.052579,yahoo
2025-03-01,0.050262,yahoo
2025-04-01,-0.001994,yahoo
2025-05-01,0.036963,yahoo
2025-06-01,0.045279,yahoo
2025-07-01,0.020276,yahoo
2025-08-01,0.063234,yahoo
2025-09-01,0.016143,yahoo
2025-10-01,0.097826,yahoo
2025-11-01,0.011424,yahoo
2025-12-01,-0.012048,yahoo
2026-01-01,0.057927,yahoo
2026-02-01,0.01513,yahoo
2026-03-01,-0.180979,yahoo
2026-04-01,0.046794,yahoo
2026-05-01,0.443709,yahoo
2026-06-01,-0.202982,yahoo
2026-07-01,0.019065,yahoo
