date,monthly_return,source
2016-07-01,0.084153,yahoo
2016-08-01,-0.005591,yahoo
2016-09-01,0.015563,yahoo
2016-10-01,0.108874,yahoo
2016-11-01,0.018378,yahoo
2016-12-01,0.028206,yahoo
2017-01-01,-0.073867,yahoo
2017-02-01,0.06894,yahoo
2017-03-01,-0.004886,yahoo
2017-04-01,-0.094269,yahoo
2017-05-01,-0.007744,yahoo
2017-06-01,-0.008351,yahoo
2017-07-01,-0.049662,yahoo
2017-08-01,-0.011346,yahoo
2017-09-01,0.009884,yahoo
2017-10-01,0.005889,yahoo
2017-11-01,0.106622,yahoo
2017-12-01,-0.022206,yahoo
2018-01-01,0.101509,yahoo
2018-02-01,0.027536,yahoo
2018-03-01,-0.026326,yahoo
2018-04-01,0.127792,yahoo
2018-05-01,0.061438,yahoo
2018-06-01,-0.003813,yahoo
2018-07-01,-0.006205,yahoo
2018-08-01,0.103513,yahoo
2018-09-01,0.054463,yahoo
2018-10-01,-0.121051,yahoo
2018-11-01,-0.018884,yahoo
2018-12-01,-0.057801,yahoo
2019-01-01,-0.006665,yahoo
2019-02-01,0.044672,yahoo
2019-03-01,-0.066671,yahoo
2019-04-01,-0.000191,yahoo
2019-05-01,-0.15819,yahoo
2019-06-01,0.102589,yahoo
2019-07-01,0.007485,yahoo
2019-08-01,-0.122615,yahoo
2019-09-01,0.09081,yahoo
2019-10-01,0.026065,yahoo
2019-11-01,0.011313,yahoo
2019-12-01,-0.04159,yahoo
2020-01-01,-0.125528,yahoo
2020-02-01,-0.017769,yahoo
2020-03-01,-0.111046,yahoo
2020-04-01,0.306011,yahoo
2020-05-01,0.040643,yahoo
2020-06-01,-0.037538,yahoo
2020-07-01,-0.025667,yahoo
2020-08-01,-0.026269,yahoo
2020-09-01,-0.072244,yahoo
2020-10-01,0.082838,yahoo
2020-11-01,0.224688,yahoo
2020-12-01,0.080646,yahoo
2021-01-01,0.113732,yahoo
2021-02-01,-0.030467,yahoo
2021-03-01,0.098116,yahoo
2021-04-01,-0.104784,yahoo
2021-05-01,-0.007121,yahoo
2021-06-01,0.006633,yahoo
2021-07-01,0.106343,yahoo
2021-08-01,-0.014237,yahoo
2021-09-01,-0.02353,yahoo
2021-10-01,0.06223,yahoo
2021-11-01,0.077812,yahoo
2021-12-01,0.07527,yahoo
2022-01-01,-0.151567,yahoo
2022-02-01,-0.032608,yahoo
2022-03-01,0.040329,yahoo
2022-04-01,-0.198804,yahoo
2022-05-01,-0.026104,yahoo
2022-06-01,-0.061335,yahoo
2022-07-01,0.09357,yahoo
2022-08-01,-0.061544,yahoo
2022-09-01,-0.078505,yahoo
2022-10-01,-0.012575,yahoo
2022-11-01,0.08187,yahoo
2022-12-01,-0.071794,yahoo
2023-01-01,0.028918,yahoo
2023-02-01,-0.031694,yahoo
2023-03-01,0.018954,yahoo
2023-04-01,-0.077768,yahoo
2023-05-01,0.098392,yahoo
2023-06-01,-0.008944,yahoo
2023-07-01,0.081909,yahoo
2023-08-01,0.034252,yahoo
2023-09-01,-0.015398,yahoo
2023-10-01,-0.059265,yahoo
2023-11-01,0.129296,yahoo
2023-12-01,0.045505,yahoo
2024-01-01,0.026372,yahoo
2024-02-01,0.019162,yahoo
2024-03-01,0.012659,yahoo
2024-04-01,-0.128066,yahoo
2024-05-01,0.02214,yahoo
2024-06-01,0.019293,yahoo
2024-07-01,0.182372,yahoo
2024-08-01,-0.002406,yahoo
2024-09-01,0.083928,yahoo
2024-10-01,0.062125,yahoo
2024-11-01,0.070421,yahoo
2024-12-01,0.004474,yahoo
2025-01-01,0.182089,yahoo
2025-02-01,-0.016248,yahoo
2025-03-01,-0.089457,yahoo
2025-04-01,-0.005746,yahoo
2025-05-01,0.077963,yahoo
2025-06-01,0.031327,yahoo
2025-07-01,0.064895,yahoo
2025-08-01,-0.000893,yahoo
2025-09-01,0.032094,yahoo
2025-10-01,-0.217024,yahoo
2025-11-01,-0.05489,yahoo
2025-12-01,0.067319,yahoo
2026-01-01,0.079723,yahoo
2026-02-01,-0.01542,yahoo
2026-03-01,0.066222,yahoo
2026-04-01,0.119483,yahoo
2026-05-01,0.183853,yahoo
2026-06-01,0.084783,yahoo
2026-07-01,-0.016504,yahoo
