date,monthly_return,source
2016-07-01,-0.065097,yahoo
2016-08-01,0.04,yahoo
2016-09-01,-0.07906,yahoo
2016-10-01,0.148492,yahoo
2016-11-01,0.001347,yahoo
2016-12-01,-0.05649,yahoo
2017-01-01,0.077691,yahoo
2017-02-01,-0.01455,yahoo
2017-03-01,0.020805,yahoo
2017-04-01,0.013149,yahoo
2017-05-01,-0.102531,yahoo
2017-06-01,-0.003615,yahoo
2017-07-01,0.086357,yahoo
2017-08-01,-0.022712,yahoo
2017-09-01,-0.038961,yahoo
2017-10-01,-0.086771,yahoo
2017-11-01,-0.057632,yahoo
2017-12-01,-0.03719,yahoo
2018-01-01,-0.043777,yahoo
2018-02-01,-0.057451,yahoo
2018-03-01,0.088571,yahoo
2018-04-01,0.017498,yahoo
2018-05-01,-0.022356,yahoo
2018-06-01,0.014072,yahoo
2018-07-01,0.079792,yahoo
2018-08-01,-0.028916,yahoo
2018-09-01,0.019851,yahoo
2018-10-01,-0.209246,yahoo
2018-11-01,0.001026,yahoo
2018-12-01,0.021516,yahoo
2019-01-01,-0.01003,yahoo
2019-02-01,0.045593,yahoo
2019-03-01,-0.080426,yahoo
2019-04-01,0.022129,yahoo
2019-05-01,-0.093814,yahoo
2019-06-01,-0.073948,yahoo
2019-07-01,-0.115479,yahoo
2019-08-01,0.223611,yahoo
2019-09-01,0.046538,yahoo
2019-10-01,-0.052061,yahoo
2019-11-01,0.051487,yahoo
2019-12-01,-0.026115,yahoo
2020-01-01,-0.072067,yahoo
2020-02-01,-0.117399,yahoo
2020-03-01,-0.371078,yahoo
2020-04-01,0.041215,yahoo
2020-05-01,-0.145833,yahoo
2020-06-01,0.134146,yahoo
2020-07-01,-0.064516,yahoo
2020-08-01,0.055172,yahoo
2020-09-01,-0.021787,yahoo
2020-10-01,0.008909,yahoo
2020-11-01,-0.050773,yahoo
2020-12-01,0.002326,yahoo
2021-01-01,0.287703,yahoo
2021-02-01,0.041441,yahoo
2021-03-01,0.064014,yahoo
2021-04-01,-0.068293,yahoo
2021-05-01,0.057592,yahoo
2021-06-01,-0.052805,yahoo
2021-07-01,-0.038327,yahoo
2021-08-01,0.179348,yahoo
2021-09-01,-0.06298,yahoo
2021-10-01,-0.034426,yahoo
2021-11-01,-0.01528,yahoo
2021-12-01,-0.017241,yahoo
2022-01-01,0.057895,yahoo
2022-02-01,0.374793,yahoo
2022-03-01,-0.034982,yahoo
2022-04-01,0.105,yahoo
2022-05-01,-0.065611,yahoo
2022-06-01,-0.09201,yahoo
2022-07-01,0.08,yahoo
2022-08-01,0.001234,yahoo
2022-09-01,0.023428,yahoo
2022-10-01,-0.048193,yahoo
2022-11-01,0.094937,yahoo
2022-12-01,0.069364,yahoo
2023-01-01,0.074595,yahoo
2023-02-01,0.184105,yahoo
2023-03-01,0.019541,yahoo
2023-04-01,0.009167,yahoo
2023-05-01,-0.083402,yahoo
2023-06-01,-0.045045,yahoo
2023-07-01,0.028302,yahoo
2023-08-01,-0.006422,yahoo
2023-09-01,-0.014774,yahoo
2023-10-01,0.002812,yahoo
2023-11-01,-0.005607,yahoo
2023-12-01,-0.022556,yahoo
2024-01-01,-0.038462,yahoo
2024-02-01,-0.005,yahoo
2024-03-01,-0.005025,yahoo
2024-04-01,-0.070707,yahoo
2024-05-01,0.01087,yahoo
2024-06-01,0.048387,yahoo
2024-07-01,-0.025641,yahoo
2024-08-01,0.052632,yahoo
2024-09-01,-0.155,yahoo
2024-10-01,0.094675,yahoo
2024-11-01,-0.031351,yahoo
2024-12-01,0.199777,yahoo
2025-01-01,-0.027907,yahoo
2025-02-01,-0.023923,yahoo
2025-03-01,-0.020588,yahoo
2025-04-01,-0.008008,yahoo
2025-05-01,-0.083754,yahoo
2025-06-01,-0.001101,yahoo
2025-07-01,-0.015435,yahoo
2025-08-01,-0.031355,yahoo
2025-09-01,-0.028902,yahoo
2025-10-01,0.002381,yahoo
2025-11-01,-0.016627,yahoo
2025-12-01,-0.038647,yahoo
2026-01-01,-0.031407,yahoo
2026-02-01,0.036316,yahoo
2026-03-01,-0.011264,yahoo
2026-04-01,-0.025316,yahoo
2026-05-01,-0.023377,yahoo
2026-06-01,-0.010638,yahoo
2026-07-01,0.002688,yahoo
