date,monthly_return,source
2016-07-01,0.079397,yahoo
2016-08-01,-0.002515,yahoo
2016-09-01,-0.028993,yahoo
2016-10-01,-0.040374,yahoo
2016-11-01,0.044237,yahoo
2016-12-01,-0.02008,yahoo
2017-01-01,0.049974,yahoo
2017-02-01,0.035885,yahoo
2017-03-01,-0.032211,yahoo
2017-04-01,0.057398,yahoo
2017-05-01,0.019955,yahoo
2017-06-01,-0.005473,yahoo
2017-07-01,0.06815,yahoo
2017-08-01,0.018636,yahoo
2017-09-01,0.005058,yahoo
2017-10-01,-0.006746,yahoo
2017-11-01,0.016925,yahoo
2017-12-01,-0.002544,yahoo
2018-01-01,0.087895,yahoo
2018-02-01,-0.050606,yahoo
2018-03-01,-0.009055,yahoo
2018-04-01,-0.013811,yahoo
2018-05-01,0.07634,yahoo
2018-06-01,0.037273,yahoo
2018-07-01,-0.027351,yahoo
2018-08-01,0.04887,yahoo
2018-09-01,0.00832,yahoo
2018-10-01,-0.045567,yahoo
2018-11-01,0.036984,yahoo
2018-12-01,-0.050023,yahoo
2019-01-01,0.019308,yahoo
2019-02-01,0.034631,yahoo
2019-03-01,0.04577,yahoo
2019-04-01,0.025022,yahoo
2019-05-01,0.037695,yahoo
2019-06-01,0.019784,yahoo
2019-07-01,0.086159,yahoo
2019-08-01,0.022289,yahoo
2019-09-01,-0.0254,yahoo
2019-10-01,-0.007532,yahoo
2019-11-01,0.048497,yahoo
2019-12-01,0.006804,yahoo
2020-01-01,0.032856,yahoo
2020-02-01,-0.027426,yahoo
2020-03-01,-0.129402,yahoo
2020-04-01,0.084265,yahoo
2020-05-01,0.05262,yahoo
2020-06-01,-0.034143,yahoo
2020-07-01,0.091133,yahoo
2020-08-01,0.03103,yahoo
2020-09-01,-0.02413,yahoo
2020-10-01,-0.153658,yahoo
2020-11-01,0.191187,yahoo
2020-12-01,-0.04683,yahoo
2021-01-01,-0.127244,yahoo
2021-02-01,0.117771,yahoo
2021-03-01,0.018913,yahoo
2021-04-01,0.087405,yahoo
2021-05-01,-0.025638,yahoo
2021-06-01,-0.049067,yahoo
2021-07-01,0.052093,yahoo
2021-08-01,-0.142771,yahoo
2021-09-01,-0.047664,yahoo
2021-10-01,-0.089908,yahoo
2021-11-01,-0.056348,yahoo
2021-12-01,0.044498,yahoo
2022-01-01,0.098672,yahoo
2022-02-01,-0.205887,yahoo
2022-03-01,0.0545,yahoo
2022-04-01,-0.012647,yahoo
2022-05-01,0.053959,yahoo
2022-06-01,-0.122775,yahoo
2022-07-01,0.114432,yahoo
2022-08-01,-0.105619,yahoo
2022-09-01,-0.172923,yahoo
2022-10-01,0.098187,yahoo
2022-11-01,-0.125437,yahoo
2022-12-01,-0.06517,yahoo
2023-01-01,0.105969,yahoo
2023-02-01,-0.155517,yahoo
2023-03-01,-0.142654,yahoo
2023-04-01,0.080802,yahoo
2023-05-01,-0.070674,yahoo
2023-06-01,0.002382,yahoo
2023-07-01,0.103839,yahoo
2023-08-01,-0.074859,yahoo
2023-09-01,-0.010562,yahoo
2023-10-01,-0.111453,yahoo
2023-11-01,0.194054,yahoo
2023-12-01,0.024386,yahoo
2024-01-01,0.036457,yahoo
2024-02-01,0.111307,yahoo
2024-03-01,0.07212,yahoo
2024-04-01,-0.084389,yahoo
2024-05-01,0.117197,yahoo
2024-06-01,-0.006853,yahoo
2024-07-01,0.019506,yahoo
2024-08-01,0.073148,yahoo
2024-09-01,0.015767,yahoo
2024-10-01,0.071403,yahoo
2024-11-01,-0.04937,yahoo
2024-12-01,-0.053107,yahoo
2025-01-01,0.008667,yahoo
2025-02-01,-0.127041,yahoo
2025-03-01,0.050056,yahoo
2025-04-01,0.05624,yahoo
2025-05-01,0.009255,yahoo
2025-06-01,0.02261,yahoo
2025-07-01,-0.024567,yahoo
2025-08-01,-0.120892,yahoo
2025-09-01,-0.055436,yahoo
2025-10-01,-0.051865,yahoo
2025-11-01,0.051983,yahoo
2025-12-01,0.010491,yahoo
2026-01-01,-0.168673,yahoo
2026-02-01,-0.077647,yahoo
2026-03-01,-0.079474,yahoo
2026-04-01,-0.008101,yahoo
2026-05-01,-0.07608,yahoo
2026-06-01,-0.095604,yahoo
2026-07-01,0.029835,yahoo
