date,monthly_return,source
2016-07-01,0.103934,yahoo
2016-08-01,-0.166721,yahoo
2016-09-01,0.036877,yahoo
2016-10-01,-0.072266,yahoo
2016-11-01,-0.150489,yahoo
2016-12-01,0.004321,yahoo
2017-01-01,0.143881,yahoo
2017-02-01,-0.045132,yahoo
2017-03-01,-0.001751,yahoo
2017-04-01,-0.025427,yahoo
2017-05-01,0.020693,yahoo
2017-06-01,-0.026884,yahoo
2017-07-01,0.035326,yahoo
2017-08-01,0.081365,yahoo
2017-09-01,-0.071197,yahoo
2017-10-01,-0.020906,yahoo
2017-11-01,-0.000445,yahoo
2017-12-01,0.034268,yahoo
2018-01-01,0.021945,yahoo
2018-02-01,-0.101053,yahoo
2018-03-01,0.029508,yahoo
2018-04-01,0.013649,yahoo
2018-05-01,0.002693,yahoo
2018-06-01,-0.001343,yahoo
2018-07-01,-0.046168,yahoo
2018-08-01,-0.12829,yahoo
2018-09-01,-0.001617,yahoo
2018-10-01,0.022138,yahoo
2018-11-01,0.008452,yahoo
2018-12-01,0.104767,yahoo
2019-01-01,0.075865,yahoo
2019-02-01,-0.019833,yahoo
2019-03-01,0.008094,yahoo
2019-04-01,-0.068243,yahoo
2019-05-01,0.033509,yahoo
2019-06-01,0.183881,yahoo
2019-07-01,0.036776,yahoo
2019-08-01,0.126792,yahoo
2019-09-01,-0.105492,yahoo
2019-10-01,0.053912,yahoo
2019-11-01,-0.038011,yahoo
2019-12-01,0.081241,yahoo
2020-01-01,-0.009904,yahoo
2020-02-01,-0.09555,yahoo
2020-03-01,-0.121281,yahoo
2020-04-01,0.400173,yahoo
2020-05-01,0.063856,yahoo
2020-06-01,0.068765,yahoo
2020-07-01,0.170665,yahoo
2020-08-01,-0.015603,yahoo
2020-09-01,-0.073575,yahoo
2020-10-01,-0.042646,yahoo
2020-11-01,-0.074953,yahoo
2020-12-01,0.038639,yahoo
2021-01-01,-0.041921,yahoo
2021-02-01,-0.097943,yahoo
2021-03-01,0.044009,yahoo
2021-04-01,0.057231,yahoo
2021-05-01,0.147264,yahoo
2021-06-01,-0.138001,yahoo
2021-07-01,0.027663,yahoo
2021-08-01,-0.066438,yahoo
2021-09-01,-0.096012,yahoo
2021-10-01,0.076009,yahoo
2021-11-01,0.002838,yahoo
2021-12-01,0.007233,yahoo
2022-01-01,-0.056197,yahoo
2022-02-01,0.137281,yahoo
2022-03-01,0.115474,yahoo
2022-04-01,-0.087614,yahoo
2022-05-01,-0.09317,yahoo
2022-06-01,-0.137094,yahoo
2022-07-01,-0.04054,yahoo
2022-08-01,-0.094024,yahoo
2022-09-01,0.013445,yahoo
2022-10-01,0.001658,yahoo
2022-11-01,0.202401,yahoo
2022-12-01,-0.013425,yahoo
2023-01-01,0.117237,yahoo
2023-02-01,-0.140849,yahoo
2023-03-01,0.175936,yahoo
2023-04-01,0.038022,yahoo
2023-05-01,-0.079512,yahoo
2023-06-01,-0.025882,yahoo
2023-07-01,0.043175,yahoo
2023-08-01,-0.06845,yahoo
2023-09-01,-0.080314,yahoo
2023-10-01,0.040877,yahoo
2023-11-01,0.118172,yahoo
2023-12-01,-0.009898,yahoo
2024-01-01,-0.099,yahoo
2024-02-01,-0.05655,yahoo
2024-03-01,0.199545,yahoo
2024-04-01,0.047755,yahoo
2024-05-01,0.065499,yahoo
2024-06-01,-0.03881,yahoo
2024-07-01,0.11789,yahoo
2024-08-01,0.018191,yahoo
2024-09-01,0.031072,yahoo
2024-10-01,0.013059,yahoo
2024-11-01,-0.066435,yahoo
2024-12-01,-0.099575,yahoo
2025-01-01,0.148924,yahoo
2025-02-01,0.019507,yahoo
2025-03-01,0.157351,yahoo
2025-04-01,0.06613,yahoo
2025-05-01,0.033463,yahoo
2025-06-01,0.027838,yahoo
2025-07-01,-0.008068,yahoo
2025-08-01,0.223277,yahoo
2025-09-01,0.209435,yahoo
2025-10-01,-0.056806,yahoo
2025-11-01,0.15501,yahoo
2025-12-01,0.030518,yahoo
2026-01-01,0.098286,yahoo
2026-02-01,0.229724,yahoo
2026-03-01,-0.207787,yahoo
2026-04-01,-0.037921,yahoo
2026-05-01,0.013592,yahoo
2026-06-01,-0.156889,yahoo
2026-07-01,0.016302,yahoo
