date,monthly_return,source
2016-07-01,0.175352,yahoo
2016-08-01,-0.165968,yahoo
2016-09-01,0.060584,yahoo
2016-10-01,-0.081508,yahoo
2016-11-01,-0.156342,yahoo
2016-12-01,-0.080711,yahoo
2017-01-01,0.197464,yahoo
2017-02-01,-0.022499,yahoo
2017-03-01,-0.025724,yahoo
2017-04-01,-0.104225,yahoo
2017-05-01,-0.024822,yahoo
2017-06-01,0.062043,yahoo
2017-07-01,0.00719,yahoo
2017-08-01,0.073171,yahoo
2017-09-01,-0.069013,yahoo
2017-10-01,-0.047633,yahoo
2017-11-01,-0.010628,yahoo
2017-12-01,0.078357,yahoo
2018-01-01,-0.013185,yahoo
2018-02-01,-0.06829,yahoo
2018-03-01,0.024538,yahoo
2018-04-01,0.011197,yahoo
2018-05-01,0.006767,yahoo
2018-06-01,-0.000917,yahoo
2018-07-01,-0.029969,yahoo
2018-08-01,-0.128625,yahoo
2018-09-01,-0.01013,yahoo
2018-10-01,-0.001462,yahoo
2018-11-01,-0.02672,yahoo
2018-12-01,0.136517,yahoo
2019-01-01,0.090668,yahoo
2019-02-01,-0.016687,yahoo
2019-03-01,-0.020981,yahoo
2019-04-01,-0.075638,yahoo
2019-05-01,0.006819,yahoo
2019-06-01,0.183881,yahoo
2019-07-01,0.073799,yahoo
2019-08-01,0.0935,yahoo
2019-09-01,-0.116687,yahoo
2019-10-01,0.081357,yahoo
2019-11-01,-0.027034,yahoo
2019-12-01,0.107733,yahoo
2020-01-01,-0.017037,yahoo
2020-02-01,-0.132162,yahoo
2020-03-01,-0.220527,yahoo
2020-04-01,0.436299,yahoo
2020-05-01,0.141725,yahoo
2020-06-01,0.075955,yahoo
2020-07-01,0.21904,yahoo
2020-08-01,-0.004136,yahoo
2020-09-01,-0.080246,yahoo
2020-10-01,-0.038837,yahoo
2020-11-01,-0.059763,yahoo
2020-12-01,0.08415,yahoo
2021-01-01,-0.076696,yahoo
2021-02-01,-0.086262,yahoo
2021-03-01,-0.01639,yahoo
2021-04-01,0.05421,yahoo
2021-05-01,0.153003,yahoo
2021-06-01,-0.145494,yahoo
2021-07-01,-0.019679,yahoo
2021-08-01,-0.05935,yahoo
2021-09-01,-0.110647,yahoo
2021-10-01,0.128586,yahoo
2021-11-01,-0.013404,yahoo
2021-12-01,-0.017803,yahoo
2022-01-01,-0.085857,yahoo
2022-02-01,0.125228,yahoo
2022-03-01,0.086715,yahoo
2022-04-01,-0.083636,yahoo
2022-05-01,-0.087078,yahoo
2022-06-01,-0.183882,yahoo
2022-07-01,0.050625,yahoo
2022-08-01,-0.119274,yahoo
2022-09-01,-0.005066,yahoo
2022-10-01,0.001358,yahoo
2022-11-01,0.210847,yahoo
2022-12-01,-0.00196,yahoo
2023-01-01,0.092567,yahoo
2023-02-01,-0.132478,yahoo
2023-03-01,0.168985,yahoo
2023-04-01,0.006329,yahoo
2023-05-01,-0.06566,yahoo
2023-06-01,-0.039849,yahoo
2023-07-01,0.056085,yahoo
2023-08-01,-0.044344,yahoo
2023-09-01,-0.104474,yahoo
2023-10-01,0.03444,yahoo
2023-11-01,0.155669,yahoo
2023-12-01,-0.016091,yahoo
2024-01-01,-0.108415,yahoo
2024-02-01,-0.056805,yahoo
2024-03-01,0.215182,yahoo
2024-04-01,0.044398,yahoo
2024-05-01,0.115423,yahoo
2024-06-01,-0.066696,yahoo
2024-07-01,0.096154,yahoo
2024-08-01,-0.004332,yahoo
2024-09-01,0.061779,yahoo
2024-10-01,0.056751,yahoo
2024-11-01,-0.075611,yahoo
2024-12-01,-0.103398,yahoo
2025-01-01,0.131462,yahoo
2025-02-01,0.005995,yahoo
2025-03-01,0.175504,yahoo
2025-04-01,0.073427,yahoo
2025-05-01,0.063844,yahoo
2025-06-01,0.034752,yahoo
2025-07-01,-0.049859,yahoo
2025-08-01,0.246496,yahoo
2025-09-01,0.237102,yahoo
2025-10-01,-0.054125,yahoo
2025-11-01,0.166649,yahoo
2025-12-01,0.041179,yahoo
2026-01-01,0.090613,yahoo
2026-02-01,0.258683,yahoo
2026-03-01,-0.231449,yahoo
2026-04-01,-0.030823,yahoo
2026-05-01,0.025357,yahoo
2026-06-01,-0.176377,yahoo
2026-07-01,0.023511,yahoo
