date,monthly_return,source
2016-07-01,0.019847,yahoo
2016-08-01,-0.032563,yahoo
2016-09-01,0.006892,yahoo
2016-10-01,-0.029449,yahoo
2016-11-01,-0.083566,yahoo
2016-12-01,-0.01915,yahoo
2017-01-01,0.054192,yahoo
2017-02-01,0.031848,yahoo
2017-03-01,-0.004277,yahoo
2017-04-01,0.017267,yahoo
2017-05-01,-0.001242,yahoo
2017-06-01,-0.021555,yahoo
2017-07-01,0.023132,yahoo
2017-08-01,0.041988,yahoo
2017-09-01,-0.033699,yahoo
2017-10-01,-0.007485,yahoo
2017-11-01,0.003563,yahoo
2017-12-01,0.021057,yahoo
2018-01-01,0.032349,yahoo
2018-02-01,-0.02076,yahoo
2018-03-01,0.00632,yahoo
2018-04-01,-0.00954,yahoo
2018-05-01,-0.011959,yahoo
2018-06-01,-0.036149,yahoo
2018-07-01,-0.022419,yahoo
2018-08-01,-0.021381,yahoo
2018-09-01,-0.006607,yahoo
2018-10-01,0.021195,yahoo
2018-11-01,0.003387,yahoo
2018-12-01,0.04942,yahoo
2019-01-01,0.028866,yahoo
2019-02-01,-0.006092,yahoo
2019-03-01,-0.015969,yahoo
2019-04-01,-0.006639,yahoo
2019-05-01,0.017574,yahoo
2019-06-01,0.080029,yahoo
2019-07-01,7.5e-05,yahoo
2019-08-01,0.079123,yahoo
2019-09-01,-0.033948,yahoo
2019-10-01,0.025635,yahoo
2019-11-01,-0.032086,yahoo
2019-12-01,0.036559,yahoo
2020-01-01,0.044997,yahoo
2020-02-01,-0.006362,yahoo
2020-03-01,-0.002224,yahoo
2020-04-01,0.072611,yahoo
2020-05-01,0.025882,yahoo
2020-06-01,0.027377,yahoo
2020-07-01,0.107905,yahoo
2020-08-01,-0.003236,yahoo
2020-09-01,-0.041714,yahoo
2020-10-01,-0.005194,yahoo
2020-11-01,-0.054086,yahoo
2020-12-01,0.070139,yahoo
2021-01-01,-0.032238,yahoo
2021-02-01,-0.062569,yahoo
2021-03-01,-0.011433,yahoo
2021-04-01,0.035634,yahoo
2021-05-01,0.076784,yahoo
2021-06-01,-0.071477,yahoo
2021-07-01,0.025297,yahoo
2021-08-01,-0.000766,yahoo
2021-09-01,-0.032235,yahoo
2021-10-01,0.014797,yahoo
2021-11-01,-0.006901,yahoo
2021-12-01,0.032991,yahoo
2022-01-01,-0.016788,yahoo
2022-02-01,0.061217,yahoo
2022-03-01,0.012726,yahoo
2022-04-01,-0.020703,yahoo
2022-05-01,-0.032615,yahoo
2022-06-01,-0.01566,yahoo
2022-07-01,-0.025882,yahoo
2022-08-01,-0.029433,yahoo
2022-09-01,-0.028882,yahoo
2022-10-01,-0.017844,yahoo
2022-11-01,0.084919,yahoo
2022-12-01,0.029306,yahoo
2023-01-01,0.057593,yahoo
2023-02-01,-0.053676,yahoo
2023-03-01,0.079161,yahoo
2023-04-01,0.008624,yahoo
2023-05-01,-0.01342,yahoo
2023-06-01,-0.022214,yahoo
2023-07-01,0.022887,yahoo
2023-08-01,-0.012778,yahoo
2023-09-01,-0.047606,yahoo
2023-10-01,0.073724,yahoo
2023-11-01,0.025314,yahoo
2023-12-01,0.012821,yahoo
2024-01-01,-0.014228,yahoo
2024-02-01,0.004564,yahoo
2024-03-01,0.086683,yahoo
2024-04-01,0.029895,yahoo
2024-05-01,0.016189,yahoo
2024-06-01,-0.001347,yahoo
2024-07-01,0.053672,yahoo
2024-08-01,0.020922,yahoo
2024-09-01,0.050889,yahoo
2024-10-01,0.042993,yahoo
2024-11-01,-0.031241,yahoo
2024-12-01,-0.014088,yahoo
2025-01-01,0.067856,yahoo
2025-02-01,0.018216,yahoo
2025-03-01,0.094466,yahoo
2025-04-01,0.054244,yahoo
2025-05-01,-0.00056,yahoo
2025-06-01,0.004051,yahoo
2025-07-01,-0.006135,yahoo
2025-08-01,0.049875,yahoo
2025-09-01,0.117584,yahoo
2025-10-01,0.035587,yahoo
2025-11-01,0.053678,yahoo
2025-12-01,0.021734,yahoo
2026-01-01,0.122732,yahoo
2026-02-01,0.087201,yahoo
2026-03-01,-0.110512,yahoo
2026-04-01,-0.015408,yahoo
2026-05-01,-0.015437,yahoo
2026-06-01,-0.116849,yahoo
2026-07-01,0.008524,yahoo
