date,monthly_return,source
2016-07-01,0.08095,yahoo
2016-08-01,-0.012966,yahoo
2016-09-01,-0.02681,yahoo
2016-10-01,0.049311,yahoo
2016-11-01,0.075873,yahoo
2016-12-01,-0.005856,yahoo
2017-01-01,-0.011782,yahoo
2017-02-01,-0.030303,yahoo
2017-03-01,-0.045082,yahoo
2017-04-01,-0.056599,yahoo
2017-05-01,-0.014785,yahoo
2017-06-01,0.042713,yahoo
2017-07-01,-0.004428,yahoo
2017-08-01,0.122602,yahoo
2017-09-01,0.137444,yahoo
2017-10-01,0.134117,yahoo
2017-11-01,-0.056057,yahoo
2017-12-01,0.007118,yahoo
2018-01-01,-0.011914,yahoo
2018-02-01,-0.090946,yahoo
2018-03-01,0.032149,yahoo
2018-04-01,-0.019604,yahoo
2018-05-01,0.112864,yahoo
2018-06-01,0.032741,yahoo
2018-07-01,0.039049,yahoo
2018-08-01,0.032372,yahoo
2018-09-01,0.01658,yahoo
2018-10-01,-0.100691,yahoo
2018-11-01,0.122019,yahoo
2018-12-01,-0.126845,yahoo
2019-01-01,0.06499,yahoo
2019-02-01,-0.025883,yahoo
2019-03-01,-0.0064,yahoo
2019-04-01,0.073395,yahoo
2019-05-01,0.00291,yahoo
2019-06-01,0.258568,yahoo
2019-07-01,0.041637,yahoo
2019-08-01,0.0787,yahoo
2019-09-01,0.004488,yahoo
2019-10-01,0.232831,yahoo
2019-11-01,0.01988,yahoo
2019-12-01,0.021218,yahoo
2020-01-01,0.029824,yahoo
2020-02-01,-0.005792,yahoo
2020-03-01,-0.095349,yahoo
2020-04-01,0.04583,yahoo
2020-05-01,0.141933,yahoo
2020-06-01,0.095803,yahoo
2020-07-01,0.292381,yahoo
2020-08-01,0.20561,yahoo
2020-09-01,0.019265,yahoo
2020-10-01,0.085261,yahoo
2020-11-01,0.025934,yahoo
2020-12-01,0.054777,yahoo
2021-01-01,0.083593,yahoo
2021-02-01,0.337391,yahoo
2021-03-01,-0.006402,yahoo
2021-04-01,-0.010689,yahoo
2021-05-01,0.014724,yahoo
2021-06-01,0.262929,yahoo
2021-07-01,0.010141,yahoo
2021-08-01,0.042016,yahoo
2021-09-01,-0.064786,yahoo
2021-10-01,0.219957,yahoo
2021-11-01,-0.155087,yahoo
2021-12-01,-0.164562,yahoo
2022-01-01,-0.197602,yahoo
2022-02-01,0.117183,yahoo
2022-03-01,-0.057723,yahoo
2022-04-01,-0.261993,yahoo
2022-05-01,0.126265,yahoo
2022-06-01,-0.147725,yahoo
2022-07-01,0.2741,yahoo
2022-08-01,-0.178494,yahoo
2022-09-01,-0.191779,yahoo
2022-10-01,-0.349332,yahoo
2022-11-01,-0.089639,yahoo
2022-12-01,-0.046058,yahoo
2023-01-01,0.198093,yahoo
2023-02-01,-0.004892,yahoo
2023-03-01,-0.099992,yahoo
2023-04-01,-0.053606,yahoo
2023-05-01,0.065545,yahoo
2023-06-01,0.36917,yahoo
2023-07-01,0.030644,yahoo
2023-08-01,-0.227001,yahoo
2023-09-01,-0.082905,yahoo
2023-10-01,-0.228432,yahoo
2023-11-01,0.39253,yahoo
2023-12-01,0.103955,yahoo
2024-01-01,-0.120474,yahoo
2024-02-01,-0.010205,yahoo
2024-03-01,0.121145,yahoo
2024-04-01,0.07785,yahoo
2024-05-01,0.082745,yahoo
2024-06-01,-0.101827,yahoo
2024-07-01,0.177431,yahoo
2024-08-01,0.00546,yahoo
2024-09-01,0.015013,yahoo
2024-10-01,0.041981,yahoo
2024-11-01,0.136817,yahoo
2024-12-01,-0.176142,yahoo
2025-01-01,-0.036891,yahoo
2025-02-01,-0.088261,yahoo
2025-03-01,-0.069776,yahoo
2025-04-01,-0.096881,yahoo
2025-05-01,0.067757,yahoo
2025-06-01,0.172603,yahoo
2025-07-01,0.359472,yahoo
2025-08-01,-0.048487,yahoo
2025-09-01,-0.096356,yahoo
2025-10-01,0.003704,yahoo
2025-11-01,-0.097548,yahoo
2025-12-01,-0.10064,yahoo
2026-01-01,0.232236,yahoo
2026-02-01,0.341169,yahoo
2026-03-01,-0.133292,yahoo
2026-04-01,0.327139,yahoo
2026-05-01,0.07206,yahoo
2026-06-01,0.053614,yahoo
2026-07-01,-0.194495,yahoo
