date,monthly_return,source
2016-07-01,0.280764,yahoo
2016-08-01,-0.096632,yahoo
2016-09-01,-0.019764,yahoo
2016-10-01,0.005196,yahoo
2016-11-01,0.078577,yahoo
2016-12-01,-0.07036,yahoo
2017-01-01,-0.004125,yahoo
2017-02-01,0.068751,yahoo
2017-03-01,-0.009688,yahoo
2017-04-01,-0.005283,yahoo
2017-05-01,0.023603,yahoo
2017-06-01,-0.019408,yahoo
2017-07-01,-0.016461,yahoo
2017-08-01,0.026101,yahoo
2017-09-01,0.047961,yahoo
2017-10-01,0.048916,yahoo
2017-11-01,0.096626,yahoo
2017-12-01,-0.040432,yahoo
2018-01-01,0.056572,yahoo
2018-02-01,-0.058786,yahoo
2018-03-01,-0.005233,yahoo
2018-04-01,-0.004412,yahoo
2018-05-01,0.024203,yahoo
2018-06-01,0.015144,yahoo
2018-07-01,0.023771,yahoo
2018-08-01,0.091113,yahoo
2018-09-01,0.028031,yahoo
2018-10-01,-0.055532,yahoo
2018-11-01,0.007557,yahoo
2018-12-01,-0.050105,yahoo
2019-01-01,0.092546,yahoo
2019-02-01,0.21379,yahoo
2019-03-01,0.028343,yahoo
2019-04-01,-0.007064,yahoo
2019-05-01,-0.108001,yahoo
2019-06-01,0.04341,yahoo
2019-07-01,-0.015163,yahoo
2019-08-01,0.037918,yahoo
2019-09-01,0.038249,yahoo
2019-10-01,0.106978,yahoo
2019-11-01,0.042027,yahoo
2019-12-01,-0.001331,yahoo
2020-01-01,-0.006253,yahoo
2020-02-01,-0.088293,yahoo
2020-03-01,-0.15194,yahoo
2020-04-01,0.082711,yahoo
2020-05-01,0.111015,yahoo
2020-06-01,0.081291,yahoo
2020-07-01,0.011179,yahoo
2020-08-01,0.050918,yahoo
2020-09-01,-0.084451,yahoo
2020-10-01,0.096563,yahoo
2020-11-01,0.122477,yahoo
2020-12-01,0.024837,yahoo
2021-01-01,-0.040114,yahoo
2021-02-01,0.079749,yahoo
2021-03-01,0.063135,yahoo
2021-04-01,0.04088,yahoo
2021-05-01,0.036433,yahoo
2021-06-01,0.016873,yahoo
2021-07-01,0.086836,yahoo
2021-08-01,0.109606,yahoo
2021-09-01,-0.108754,yahoo
2021-10-01,-0.07629,yahoo
2021-11-01,-0.070056,yahoo
2021-12-01,0.019695,yahoo
2022-01-01,-0.086289,yahoo
2022-02-01,-0.112361,yahoo
2022-03-01,0.073977,yahoo
2022-04-01,-0.074783,yahoo
2022-05-01,-0.037543,yahoo
2022-06-01,-0.069778,yahoo
2022-07-01,-0.006412,yahoo
2022-08-01,-0.093526,yahoo
2022-09-01,-0.09244,yahoo
2022-10-01,0.096252,yahoo
2022-11-01,0.056224,yahoo
2022-12-01,-0.007528,yahoo
2023-01-01,0.071405,yahoo
2023-02-01,-0.007585,yahoo
2023-03-01,0.028432,yahoo
2023-04-01,-0.027249,yahoo
2023-05-01,0.050728,yahoo
2023-06-01,0.011052,yahoo
2023-07-01,0.015342,yahoo
2023-08-01,0.001228,yahoo
2023-09-01,-0.007734,yahoo
2023-10-01,-0.02538,yahoo
2023-11-01,0.192236,yahoo
2023-12-01,0.051538,yahoo
2024-01-01,-0.070406,yahoo
2024-02-01,0.149469,yahoo
2024-03-01,0.083873,yahoo
2024-04-01,-0.029556,yahoo
2024-05-01,0.134146,yahoo
2024-06-01,-0.005676,yahoo
2024-07-01,0.051129,yahoo
2024-08-01,0.070307,yahoo
2024-09-01,-0.039609,yahoo
2024-10-01,0.126797,yahoo
2024-11-01,0.071843,yahoo
2024-12-01,-0.029821,yahoo
2025-01-01,0.046495,yahoo
2025-02-01,0.060598,yahoo
2025-03-01,-0.051544,yahoo
2025-04-01,-0.139364,yahoo
2025-05-01,0.086156,yahoo
2025-06-01,0.028329,yahoo
2025-07-01,0.048103,yahoo
2025-08-01,0.105412,yahoo
2025-09-01,0.018195,yahoo
2025-10-01,-0.131102,yahoo
2025-11-01,-0.087034,yahoo
2025-12-01,0.038552,yahoo
2026-01-01,-0.005965,yahoo
2026-02-01,0.253868,yahoo
2026-03-01,-0.082348,yahoo
2026-04-01,0.082453,yahoo
2026-05-01,-0.068567,yahoo
2026-06-01,0.015475,yahoo
2026-07-01,0.023449,yahoo
