date,monthly_return,source
2018-10-01,-0.18,yahoo
2018-11-01,-0.241925,yahoo
2018-12-01,0.073043,yahoo
2019-01-01,0.294165,yahoo
2019-02-01,0.048215,yahoo
2019-03-01,-0.120072,yahoo
2019-04-01,0.276307,yahoo
2019-05-01,-0.181915,yahoo
2019-06-01,-0.001951,yahoo
2019-07-01,-0.076873,yahoo
2019-08-01,-0.305575,yahoo
2019-09-01,0.012195,yahoo
2019-10-01,-0.046185,yahoo
2019-11-01,0.217895,yahoo
2019-12-01,-0.13656,yahoo
2020-01-01,-0.157157,yahoo
2020-02-01,-0.175772,yahoo
2020-03-01,-0.587896,yahoo
2020-04-01,0.905594,yahoo
2020-05-01,-0.051376,yahoo
2020-06-01,0.071567,yahoo
2020-07-01,0.061372,yahoo
2020-08-01,-0.532313,yahoo
2020-09-01,0.254545,yahoo
2020-10-01,0.086957,yahoo
2020-11-01,0.293333,yahoo
2020-12-01,-0.086598,yahoo
2021-01-01,0.410835,yahoo
2021-02-01,0.0608,yahoo
2021-03-01,-0.217195,yahoo
2021-04-01,0.061657,yahoo
2021-05-01,0.566243,yahoo
2021-06-01,-0.075319,yahoo
2021-07-01,-0.190476,yahoo
2021-08-01,0.080495,yahoo
2021-09-01,0.055874,yahoo
2021-10-01,-0.085482,yahoo
2021-11-01,0.047478,yahoo
2021-12-01,0.137394,yahoo
2022-01-01,-0.128269,yahoo
2022-02-01,0.035714,yahoo
2022-03-01,-0.008276,yahoo
2022-04-01,-0.072323,yahoo
2022-05-01,-0.094453,yahoo
2022-06-01,0.279801,yahoo
2022-07-01,-0.14489,yahoo
2022-08-01,0.04236,yahoo
2022-09-01,-0.179971,yahoo
2022-10-01,0.175221,yahoo
2022-11-01,0.066265,yahoo
2022-12-01,0.076271,yahoo
2023-01-01,0.049869,yahoo
2023-02-01,-0.035,yahoo
2023-03-01,-0.007772,yahoo
2023-04-01,0.078329,yahoo
2023-05-01,0.002421,yahoo
2023-06-01,-0.085749,yahoo
2023-07-01,0.027741,yahoo
2023-08-01,-0.002571,yahoo
2023-09-01,0.015464,yahoo
2023-10-01,-0.104061,yahoo
2023-11-01,0.048159,yahoo
2023-12-01,0.306757,yahoo
2024-01-01,-0.111686,yahoo
2024-02-01,0.119907,yahoo
2024-03-01,0.033264,yahoo
2024-04-01,-0.038229,yahoo
2024-05-01,-0.050209,yahoo
2024-06-01,-0.053965,yahoo
2024-07-01,0.01979,yahoo
2024-08-01,-0.046804,yahoo
2024-09-01,-0.020359,yahoo
2024-10-01,-0.091687,yahoo
2024-11-01,0.141319,yahoo
2024-12-01,0.064859,yahoo
2025-01-01,0.060908,yahoo
2025-02-01,0.008351,yahoo
2025-03-01,-0.13354,yahoo
2025-04-01,0.101553,yahoo
2025-05-01,0.149675,yahoo
2025-06-01,-0.008491,yahoo
2025-07-01,0.240723,yahoo
2025-08-01,-0.003834,yahoo
2025-09-01,0.048499,yahoo
2025-10-01,0.243759,yahoo
2025-11-01,-0.024203,yahoo
2025-12-01,0.054446,yahoo
2026-01-01,0.034997,yahoo
2026-02-01,0.128603,yahoo
2026-03-01,-0.107564,yahoo
2026-04-01,0.409466,yahoo
2026-05-01,0.279188,yahoo
2026-06-01,0.105922,yahoo
2026-07-01,-0.120342,yahoo
