date,monthly_return,source
2016-07-01,0.029294,yahoo
2016-08-01,0.029323,yahoo
2016-09-01,-0.03938,yahoo
2016-10-01,-0.014392,yahoo
2016-11-01,0.109292,yahoo
2016-12-01,0.084962,yahoo
2017-01-01,0.031633,yahoo
2017-02-01,-0.0066,yahoo
2017-03-01,0.022028,yahoo
2017-04-01,0.008724,yahoo
2017-05-01,0.127183,yahoo
2017-06-01,-0.069505,yahoo
2017-07-01,0.010994,yahoo
2017-08-01,0.028786,yahoo
2017-09-01,0.07959,yahoo
2017-10-01,0.040749,yahoo
2017-11-01,0.073049,yahoo
2017-12-01,0.029655,yahoo
2018-01-01,0.072502,yahoo
2018-02-01,-0.056743,yahoo
2018-03-01,-0.025127,yahoo
2018-04-01,0.001016,yahoo
2018-05-01,0.023719,yahoo
2018-06-01,-0.019205,yahoo
2018-07-01,-0.006316,yahoo
2018-08-01,-0.013221,yahoo
2018-09-01,0.040711,yahoo
2018-10-01,-0.118965,yahoo
2018-11-01,0.061402,yahoo
2018-12-01,-0.04951,yahoo
2019-01-01,0.037326,yahoo
2019-02-01,0.115736,yahoo
2019-03-01,0.00012,yahoo
2019-04-01,0.046685,yahoo
2019-05-01,0.028164,yahoo
2019-06-01,0.0928,yahoo
2019-07-01,-0.012175,yahoo
2019-08-01,-0.043294,yahoo
2019-09-01,0.008011,yahoo
2019-10-01,0.041349,yahoo
2019-11-01,0.082921,yahoo
2019-12-01,0.056286,yahoo
2020-01-01,-0.028041,yahoo
2020-02-01,-0.09833,yahoo
2020-03-01,-0.297942,yahoo
2020-04-01,0.109467,yahoo
2020-05-01,0.04755,yahoo
2020-06-01,-0.073887,yahoo
2020-07-01,0.021784,yahoo
2020-08-01,0.203997,yahoo
2020-09-01,-0.055777,yahoo
2020-10-01,0.029184,yahoo
2020-11-01,0.180162,yahoo
2020-12-01,0.073627,yahoo
2021-01-01,-0.088711,yahoo
2021-02-01,0.219844,yahoo
2021-03-01,-0.022316,yahoo
2021-04-01,0.06434,yahoo
2021-05-01,-0.026651,yahoo
2021-06-01,-0.03712,yahoo
2021-07-01,0.089786,yahoo
2021-08-01,-0.050133,yahoo
2021-09-01,0.058065,yahoo
2021-10-01,0.089622,yahoo
2021-11-01,-0.061688,yahoo
2021-12-01,0.154883,yahoo
2022-01-01,-0.069748,yahoo
2022-02-01,0.025842,yahoo
2022-03-01,0.019347,yahoo
2022-04-01,0.023395,yahoo
2022-05-01,-0.092923,yahoo
2022-06-01,-0.20886,yahoo
2022-07-01,0.149228,yahoo
2022-08-01,-0.005544,yahoo
2022-09-01,-0.052921,yahoo
2022-10-01,0.121373,yahoo
2022-11-01,0.054414,yahoo
2022-12-01,-0.114009,yahoo
2023-01-01,0.148227,yahoo
2023-02-01,-0.003998,yahoo
2023-03-01,-0.025189,yahoo
2023-04-01,0.022361,yahoo
2023-05-01,-0.054854,yahoo
2023-06-01,0.069277,yahoo
2023-07-01,0.068293,yahoo
2023-08-01,-0.04399,yahoo
2023-09-01,0.010293,yahoo
2023-10-01,0.008989,yahoo
2023-11-01,0.105524,yahoo
2023-12-01,0.086975,yahoo
2024-01-01,0.048712,yahoo
2024-02-01,0.069962,yahoo
2024-03-01,0.044,yahoo
2024-04-01,-0.075149,yahoo
2024-05-01,0.016829,yahoo
2024-06-01,0.087737,yahoo
2024-07-01,-0.016178,yahoo
2024-08-01,0.023152,yahoo
2024-09-01,0.049445,yahoo
2024-10-01,0.018872,yahoo
2024-11-01,0.079157,yahoo
2024-12-01,-0.024779,yahoo
2025-01-01,0.03605,yahoo
2025-02-01,0.034717,yahoo
2025-03-01,-0.141191,yahoo
2025-04-01,-0.009097,yahoo
2025-05-01,0.101827,yahoo
2025-06-01,0.07205,yahoo
2025-07-01,0.006533,yahoo
2025-08-01,0.029767,yahoo
2025-09-01,-0.060204,yahoo
2025-10-01,-0.009559,yahoo
2025-11-01,0.109239,yahoo
2025-12-01,0.007789,yahoo
2026-01-01,0.039199,yahoo
2026-02-01,0.044454,yahoo
2026-03-01,-0.024697,yahoo
2026-04-01,0.065739,yahoo
2026-05-01,0.011078,yahoo
2026-06-01,0.008545,yahoo
2026-07-01,-0.018852,yahoo
