date,monthly_return,source
2016-07-01,-0.040749,yahoo
2016-08-01,0.0357,yahoo
2016-09-01,-0.010184,yahoo
2016-10-01,-0.030301,yahoo
2016-11-01,0.239667,yahoo
2016-12-01,-0.040491,yahoo
2017-01-01,-0.027104,yahoo
2017-02-01,0.064232,yahoo
2017-03-01,-0.024189,yahoo
2017-04-01,0.076841,yahoo
2017-05-01,0.04631,yahoo
2017-06-01,0.035994,yahoo
2017-07-01,-0.039149,yahoo
2017-08-01,0.114273,yahoo
2017-09-01,-0.054305,yahoo
2017-10-01,0.048106,yahoo
2017-11-01,0.021578,yahoo
2017-12-01,-0.04903,yahoo
2018-01-01,0.136091,yahoo
2018-02-01,-0.035518,yahoo
2018-03-01,-0.011,yahoo
2018-04-01,0.094298,yahoo
2018-05-01,-0.010878,yahoo
2018-06-01,0.022854,yahoo
2018-07-01,0.055606,yahoo
2018-08-01,0.06073,yahoo
2018-09-01,0.015783,yahoo
2018-10-01,-0.053498,yahoo
2018-11-01,0.028276,yahoo
2018-12-01,-0.130482,yahoo
2019-01-01,0.078574,yahoo
2019-02-01,-0.077511,yahoo
2019-03-01,-0.066798,yahoo
2019-04-01,-0.039812,yahoo
2019-05-01,-0.041306,yahoo
2019-06-01,0.083476,yahoo
2019-07-01,0.118545,yahoo
2019-08-01,-0.045628,yahoo
2019-09-01,-0.097242,yahoo
2019-10-01,0.150702,yahoo
2019-11-01,0.159857,yahoo
2019-12-01,0.074114,yahoo
2020-01-01,-0.082615,yahoo
2020-02-01,-0.049251,yahoo
2020-03-01,-0.017705,yahoo
2020-04-01,0.21591,yahoo
2020-05-01,0.075507,yahoo
2020-06-01,-0.055765,yahoo
2020-07-01,0.012121,yahoo
2020-08-01,0.057893,yahoo
2020-09-01,-0.003083,yahoo
2020-10-01,-0.035299,yahoo
2020-11-01,0.003106,yahoo
2020-12-01,0.024343,yahoo
2021-01-01,-0.0662,yahoo
2021-02-01,-0.009031,yahoo
2021-03-01,0.104307,yahoo
2021-04-01,0.061992,yahoo
2021-05-01,-0.016935,yahoo
2021-06-01,0.011469,yahoo
2021-07-01,-0.038083,yahoo
2021-08-01,-0.047997,yahoo
2021-09-01,-0.040131,yahoo
2021-10-01,0.190184,yahoo
2021-11-01,-0.093812,yahoo
2021-12-01,0.105192,yahoo
2022-01-01,-0.153839,yahoo
2022-02-01,0.106548,yahoo
2022-03-01,0.001957,yahoo
2022-04-01,0.021578,yahoo
2022-05-01,0.021752,yahoo
2022-06-01,0.030469,yahoo
2022-07-01,0.02976,yahoo
2022-08-01,-0.000456,yahoo
2022-09-01,0.007078,yahoo
2022-10-01,0.15023,yahoo
2022-11-01,-0.014657,yahoo
2022-12-01,-0.068576,yahoo
2023-01-01,-0.000957,yahoo
2023-02-01,-0.032597,yahoo
2023-03-01,-0.019312,yahoo
2023-04-01,0.092757,yahoo
2023-05-01,-0.05395,yahoo
2023-06-01,-0.109072,yahoo
2023-07-01,0.021694,yahoo
2023-08-01,0.010507,yahoo
2023-09-01,0.053918,yahoo
2023-10-01,0.0764,yahoo
2023-11-01,-0.074147,yahoo
2023-12-01,-0.055789,yahoo
2024-01-01,-0.174199,yahoo
2024-02-01,-0.073375,yahoo
2024-03-01,-0.010276,yahoo
2024-04-01,-0.128721,yahoo
2024-05-01,0.185475,yahoo
2024-06-01,0.043365,yahoo
2024-07-01,-0.032223,yahoo
2024-08-01,-0.019745,yahoo
2024-09-01,-0.106441,yahoo
2024-10-01,-0.185989,yahoo
2024-11-01,0.149517,yahoo
2024-12-01,-0.143971,yahoo
2025-01-01,0.155768,yahoo
2025-02-01,-0.077789,yahoo
2025-03-01,-0.021522,yahoo
2025-04-01,-0.008919,yahoo
2025-05-01,-0.111005,yahoo
2025-06-01,0.048685,yahoo
2025-07-01,0.022047,yahoo
2025-08-01,0.215272,yahoo
2025-09-01,-0.143219,yahoo
2025-10-01,0.069262,yahoo
2025-11-01,-0.116539,yahoo
2025-12-01,0.042153,yahoo
2026-01-01,-0.237887,yahoo
2026-02-01,-0.023873,yahoo
2026-03-01,-0.090007,yahoo
2026-04-01,0.363631,yahoo
2026-05-01,0.291744,yahoo
2026-06-01,0.30057,yahoo
2026-07-01,0.006848,yahoo
