date,monthly_return,source
2024-02-01,0.457613,yahoo
2024-03-01,0.142575,yahoo
2024-04-01,-0.170497,yahoo
2024-05-01,0.148347,yahoo
2024-06-01,-0.114397,yahoo
2024-07-01,0.089045,yahoo
2024-08-01,-0.102474,yahoo
2024-09-01,0.082709,yahoo
2024-10-01,0.101024,yahoo
2024-11-01,0.387883,yahoo
2024-12-01,-0.039123,yahoo
2025-01-01,0.087842,yahoo
2025-02-01,-0.169988,yahoo
2025-03-01,-0.022756,yahoo
2025-04-01,0.143132,yahoo
2025-05-01,0.111194,yahoo
2025-06-01,0.029432,yahoo
2025-07-01,0.083483,yahoo
2025-08-01,-0.073583,yahoo
2025-09-01,0.057943,yahoo
2025-10-01,-0.041538,yahoo
2025-11-01,-0.172552,yahoo
2025-12-01,-0.036857,yahoo
2026-01-01,-0.043505,yahoo
2026-02-01,-0.216888,yahoo
2026-03-01,0.033073,yahoo
2026-04-01,0.127538,yahoo
2026-05-01,-0.039012,yahoo
2026-06-01,-0.200336,yahoo
2026-07-01,0.100931,yahoo
