date,monthly_return,source
2016-05-01,-0.424999,yahoo
2016-06-01,0.043472,yahoo
2016-07-01,0.125002,yahoo
2016-08-01,-0.111113,yahoo
2016-09-01,-0.124993,yahoo
2016-10-01,-0.209529,yahoo
2016-11-01,-0.036151,yahoo
2016-12-01,0.050014,yahoo
2017-01-01,0.071427,yahoo
2017-02-01,0.666663,yahoo
2017-03-01,-0.299997,yahoo
2017-04-01,-0.095246,yahoo
2017-05-01,0.0,yahoo
2017-06-01,-0.284211,yahoo
2017-07-01,-0.264701,yahoo
2017-08-01,0.159996,yahoo
2017-09-01,0.396554,yahoo
2017-10-01,-0.012352,yahoo
2017-11-01,-0.094816,yahoo
2017-12-01,-0.142871,yahoo
2018-01-01,0.050017,yahoo
2018-02-01,-0.095251,yahoo
2018-03-01,-0.105259,yahoo
2018-04-01,0.411769,yahoo
2018-05-01,-0.111116,yahoo
2018-06-01,-0.051152,yahoo
2018-07-01,-0.1,yahoo
2018-08-01,0.03703,yahoo
2018-09-01,0.017864,yahoo
2018-10-01,-0.052632,yahoo
2018-11-01,-0.037051,yahoo
2018-12-01,0.057693,yahoo
2019-01-01,-0.054546,yahoo
2019-02-01,-0.115386,yahoo
2019-03-01,-0.086942,yahoo
2019-04-01,-0.214286,yahoo
2019-05-01,-0.030413,yahoo
2019-06-01,-0.113536,yahoo
2019-07-01,-0.153846,yahoo
2019-08-01,0.272727,yahoo
2019-09-01,-0.178571,yahoo
2019-10-01,0.086957,yahoo
2019-11-01,0.08,yahoo
2019-12-01,-0.074074,yahoo
2020-01-01,-0.08,yahoo
2020-02-01,-0.043478,yahoo
2020-03-01,0.136364,yahoo
2020-04-01,0.08,yahoo
2020-05-01,0.222222,yahoo
2020-06-01,0.212121,yahoo
2020-07-01,0.0,yahoo
2020-08-01,0.2,yahoo
2020-09-01,0.1875,yahoo
2020-10-01,0.087719,yahoo
2020-11-01,-0.032258,yahoo
2020-12-01,0.166667,yahoo
2021-01-01,0.257143,yahoo
2021-02-01,-0.102273,yahoo
2021-03-01,0.025316,yahoo
2021-04-01,-0.08642,yahoo
2021-05-01,-0.013514,yahoo
2021-06-01,-0.082192,yahoo
2021-07-01,-0.134328,yahoo
2021-08-01,0.0,yahoo
2021-09-01,0.0,yahoo
2021-10-01,0.12069,yahoo
2021-11-01,-0.015385,yahoo
2021-12-01,-0.109375,yahoo
2022-01-01,0.087719,yahoo
2022-02-01,-0.064516,yahoo
2022-03-01,0.137931,yahoo
2022-04-01,-0.151515,yahoo
2022-05-01,-0.017857,yahoo
2022-06-01,-0.090909,yahoo
2022-07-01,0.22,yahoo
2022-08-01,0.04918,yahoo
2022-09-01,-0.046875,yahoo
2022-10-01,-0.131148,yahoo
2022-11-01,0.037736,yahoo
2022-12-01,0.090909,yahoo
2023-01-01,-0.15,yahoo
2023-02-01,-0.039216,yahoo
2023-03-01,-0.183673,yahoo
2023-04-01,0.075,yahoo
2023-05-01,0.093023,yahoo
2023-06-01,0.468085,yahoo
2023-07-01,-0.130435,yahoo
2023-08-01,-0.033333,yahoo
2023-09-01,-0.155172,yahoo
2023-10-01,0.22449,yahoo
2023-11-01,0.333333,yahoo
2023-12-01,0.0375,yahoo
2024-01-01,-0.048193,yahoo
2024-02-01,-0.012658,yahoo
2024-03-01,0.051282,yahoo
2024-04-01,-0.036585,yahoo
2024-05-01,0.037975,yahoo
2024-06-01,-0.012195,yahoo
2024-07-01,0.160494,yahoo
2024-08-01,0.031915,yahoo
2024-09-01,0.134021,yahoo
2024-10-01,0.0,yahoo
2024-11-01,-0.445455,yahoo
2024-12-01,0.163934,yahoo
2025-01-01,0.014084,yahoo
2025-02-01,0.083333,yahoo
2025-03-01,0.0,yahoo
2025-04-01,0.0,yahoo
2025-05-01,0.076923,yahoo
2025-06-01,0.059524,yahoo
2025-07-01,-0.533708,yahoo
2025-08-01,0.277108,yahoo
2025-09-01,-0.188679,yahoo
2025-10-01,-0.093023,yahoo
2025-11-01,0.051282,yahoo
2025-12-01,0.02439,yahoo
2026-01-01,-0.023809,yahoo
2026-02-01,-0.219512,yahoo
2026-03-01,-0.0625,yahoo
2026-04-01,-0.133333,yahoo
2026-05-01,-0.153846,yahoo
2026-06-01,0.0,yahoo
2026-07-01,0.045455,yahoo
