date,monthly_return,source
2016-07-01,0.093666,yahoo
2016-08-01,0.04065,yahoo
2016-09-01,0.001391,yahoo
2016-10-01,-0.0762,yahoo
2016-11-01,0.082948,yahoo
2016-12-01,-0.037923,yahoo
2017-01-01,0.00111,yahoo
2017-02-01,0.022516,yahoo
2017-03-01,0.014318,yahoo
2017-04-01,0.120308,yahoo
2017-05-01,0.035414,yahoo
2017-06-01,0.041855,yahoo
2017-07-01,0.031236,yahoo
2017-08-01,0.008924,yahoo
2017-09-01,0.033084,yahoo
2017-10-01,0.055487,yahoo
2017-11-01,0.057406,yahoo
2017-12-01,-0.026555,yahoo
2018-01-01,0.087217,yahoo
2018-02-01,-0.046557,yahoo
2018-03-01,0.04174,yahoo
2018-04-01,-0.062101,yahoo
2018-05-01,0.037558,yahoo
2018-06-01,-0.015864,yahoo
2018-07-01,0.125293,yahoo
2018-08-01,-0.002409,yahoo
2018-09-01,-0.016644,yahoo
2018-10-01,-0.158237,yahoo
2018-11-01,0.083425,yahoo
2018-12-01,-0.081077,yahoo
2019-01-01,0.091874,yahoo
2019-02-01,0.045263,yahoo
2019-03-01,0.053019,yahoo
2019-04-01,0.032424,yahoo
2019-05-01,-0.025214,yahoo
2019-06-01,0.127235,yahoo
2019-07-01,-0.022772,yahoo
2019-08-01,-0.020866,yahoo
2019-09-01,-0.005039,yahoo
2019-10-01,-0.050952,yahoo
2019-11-01,0.046358,yahoo
2019-12-01,0.056901,yahoo
2020-01-01,-0.047384,yahoo
2020-02-01,-0.096735,yahoo
2020-03-01,-0.066824,yahoo
2020-04-01,0.112374,yahoo
2020-05-01,0.037362,yahoo
2020-06-01,-0.008345,yahoo
2020-07-01,0.042901,yahoo
2020-08-01,0.093496,yahoo
2020-09-01,0.012096,yahoo
2020-10-01,-0.065896,yahoo
2020-11-01,0.133576,yahoo
2020-12-01,0.031323,yahoo
2021-01-01,-0.065311,yahoo
2021-02-01,0.04823,yahoo
2021-03-01,0.072501,yahoo
2021-04-01,0.071087,yahoo
2021-05-01,-0.006869,yahoo
2021-06-01,-0.011722,yahoo
2021-07-01,0.030175,yahoo
2021-08-01,-0.011866,yahoo
2021-09-01,-0.076116,yahoo
2021-10-01,0.075477,yahoo
2021-11-01,0.009076,yahoo
2021-12-01,0.052229,yahoo
2022-01-01,-0.088355,yahoo
2022-02-01,-0.109265,yahoo
2022-03-01,-0.000886,yahoo
2022-04-01,-0.009962,yahoo
2022-05-01,0.009114,yahoo
2022-06-01,-0.051788,yahoo
2022-07-01,0.149315,yahoo
2022-08-01,-0.03612,yahoo
2022-09-01,-0.006759,yahoo
2022-10-01,0.112384,yahoo
2022-11-01,0.068283,yahoo
2022-12-01,-0.03857,yahoo
2023-01-01,0.049709,yahoo
2023-02-01,-0.061332,yahoo
2023-03-01,0.026891,yahoo
2023-04-01,-0.106956,yahoo
2023-05-01,-0.034703,yahoo
2023-06-01,0.080839,yahoo
2023-07-01,0.049011,yahoo
2023-08-01,0.002613,yahoo
2023-09-01,-0.081184,yahoo
2023-10-01,-0.079848,yahoo
2023-11-01,0.053654,yahoo
2023-12-01,0.076507,yahoo
2024-01-01,-0.025839,yahoo
2024-02-01,0.115366,yahoo
2024-03-01,0.034421,yahoo
2024-04-01,-0.096549,yahoo
2024-05-01,-0.053615,yahoo
2024-06-01,-0.03566,yahoo
2024-07-01,0.036183,yahoo
2024-08-01,-0.009593,yahoo
2024-09-01,0.038842,yahoo
2024-10-01,0.000653,yahoo
2024-11-01,0.074497,yahoo
2024-12-01,-0.092529,yahoo
2025-01-01,0.071766,yahoo
2025-02-01,-0.133654,yahoo
2025-03-01,-0.068749,yahoo
2025-04-01,-0.03868,yahoo
2025-05-01,0.039892,yahoo
2025-06-01,-0.029517,yahoo
2025-07-01,-0.068691,yahoo
2025-08-01,0.006055,yahoo
2025-09-01,-0.010578,yahoo
2025-10-01,0.053453,yahoo
2025-11-01,0.014406,yahoo
2025-12-01,0.023055,yahoo
2026-01-01,0.115826,yahoo
2026-02-01,0.054999,yahoo
2026-03-01,-0.095097,yahoo
2026-04-01,0.149301,yahoo
2026-05-01,-0.032224,yahoo
2026-06-01,0.07646,yahoo
2026-07-01,-0.01855,yahoo
