date,monthly_return,source
2016-07-01,0.18861,yahoo
2016-08-01,-0.004379,yahoo
2016-09-01,0.048642,yahoo
2016-10-01,-0.114977,yahoo
2016-11-01,0.070951,yahoo
2016-12-01,-0.010152,yahoo
2017-01-01,0.032084,yahoo
2017-02-01,-0.014015,yahoo
2017-03-01,0.040574,yahoo
2017-04-01,0.046566,yahoo
2017-05-01,0.025629,yahoo
2017-06-01,0.0354,yahoo
2017-07-01,0.011732,yahoo
2017-08-01,0.060519,yahoo
2017-09-01,-0.009997,yahoo
2017-10-01,0.137057,yahoo
2017-11-01,-0.056337,yahoo
2017-12-01,-0.04029,yahoo
2018-01-01,0.04382,yahoo
2018-02-01,-0.037773,yahoo
2018-03-01,-0.002237,yahoo
2018-04-01,-0.023953,yahoo
2018-05-01,0.033104,yahoo
2018-06-01,0.008996,yahoo
2018-07-01,0.221599,yahoo
2018-08-01,0.042234,yahoo
2018-09-01,0.020851,yahoo
2018-10-01,-0.05249,yahoo
2018-11-01,0.017408,yahoo
2018-12-01,-0.07116,yahoo
2019-01-01,0.110528,yahoo
2019-02-01,0.085962,yahoo
2019-03-01,0.026767,yahoo
2019-04-01,-0.034411,yahoo
2019-05-01,-0.021958,yahoo
2019-06-01,0.184394,yahoo
2019-07-01,-0.010752,yahoo
2019-08-01,-0.025256,yahoo
2019-09-01,-0.03719,yahoo
2019-10-01,-0.033204,yahoo
2019-11-01,0.010802,yahoo
2019-12-01,0.058433,yahoo
2020-01-01,0.004789,yahoo
2020-02-01,-0.101514,yahoo
2020-03-01,-0.226755,yahoo
2020-04-01,0.321991,yahoo
2020-05-01,0.048601,yahoo
2020-06-01,-0.051097,yahoo
2020-07-01,0.116366,yahoo
2020-08-01,0.033841,yahoo
2020-09-01,-0.037374,yahoo
2020-10-01,-0.023092,yahoo
2020-11-01,0.097409,yahoo
2020-12-01,0.06024,yahoo
2021-01-01,-0.007646,yahoo
2021-02-01,0.084308,yahoo
2021-03-01,0.001815,yahoo
2021-04-01,0.215129,yahoo
2021-05-01,0.023307,yahoo
2021-06-01,0.008994,yahoo
2021-07-01,0.022202,yahoo
2021-08-01,0.048567,yahoo
2021-09-01,-0.077735,yahoo
2021-10-01,0.091342,yahoo
2021-11-01,-0.00876,yahoo
2021-12-01,0.088797,yahoo
2022-01-01,-0.131991,yahoo
2022-02-01,-0.060351,yahoo
2022-03-01,0.004737,yahoo
2022-04-01,-0.057177,yahoo
2022-05-01,-0.012569,yahoo
2022-06-01,0.008084,yahoo
2022-07-01,0.107286,yahoo
2022-08-01,-0.114912,yahoo
2022-09-01,-0.148218,yahoo
2022-10-01,0.157502,yahoo
2022-11-01,0.039825,yahoo
2022-12-01,-0.060224,yahoo
2023-01-01,0.119674,yahoo
2023-02-01,-0.091278,yahoo
2023-03-01,-0.045954,yahoo
2023-04-01,-0.053597,yahoo
2023-05-01,0.046114,yahoo
2023-06-01,0.141486,yahoo
2023-07-01,-0.004494,yahoo
2023-08-01,-0.00505,yahoo
2023-09-01,-0.116247,yahoo
2023-10-01,-0.080915,yahoo
2023-11-01,0.183985,yahoo
2023-12-01,0.08071,yahoo
2024-01-01,-0.100052,yahoo
2024-02-01,0.186957,yahoo
2024-03-01,0.023183,yahoo
2024-04-01,-0.083515,yahoo
2024-05-01,-0.054709,yahoo
2024-06-01,-0.034917,yahoo
2024-07-01,0.164538,yahoo
2024-08-01,0.021606,yahoo
2024-09-01,-0.057961,yahoo
2024-10-01,-0.131451,yahoo
2024-11-01,-0.024196,yahoo
2024-12-01,-0.021559,yahoo
2025-01-01,0.024681,yahoo
2025-02-01,-0.062376,yahoo
2025-03-01,-0.066208,yahoo
2025-04-01,-0.12042,yahoo
2025-05-01,-0.095054,yahoo
2025-06-01,0.122996,yahoo
2025-07-01,0.17939,yahoo
2025-08-01,0.026633,yahoo
2025-09-01,-0.004559,yahoo
2025-10-01,0.139623,yahoo
2025-11-01,0.062598,yahoo
2025-12-01,-0.019999,yahoo
2026-01-01,0.021028,yahoo
2026-02-01,-0.223072,yahoo
2026-03-01,-0.04625,yahoo
2026-04-01,-0.071362,yahoo
2026-05-01,0.150534,yahoo
2026-06-01,0.060425,yahoo
2026-07-01,0.073543,yahoo
