date,monthly_return,source
2017-06-01,-0.057566,yahoo
2017-07-01,0.062471,yahoo
2017-08-01,0.023084,yahoo
2017-09-01,0.171562,yahoo
2017-10-01,0.048328,yahoo
2017-11-01,0.123397,yahoo
2017-12-01,0.046899,yahoo
2018-01-01,0.019157,yahoo
2018-02-01,-0.074321,yahoo
2018-03-01,-0.041549,yahoo
2018-04-01,0.030965,yahoo
2018-05-01,0.039203,yahoo
2018-06-01,-0.105872,yahoo
2018-07-01,-0.02654,yahoo
2018-08-01,-0.022719,yahoo
2018-09-01,0.013591,yahoo
2018-10-01,-0.045166,yahoo
2018-11-01,-0.085366,yahoo
2018-12-01,-0.173737,yahoo
2019-01-01,0.206357,yahoo
2019-02-01,0.088366,yahoo
2019-03-01,0.035754,yahoo
2019-04-01,0.213592,yahoo
2019-05-01,0.006519,yahoo
2019-06-01,0.018546,yahoo
2019-07-01,-0.04711,yahoo
2019-08-01,-0.130118,yahoo
2019-09-01,-0.013598,yahoo
2019-10-01,0.125133,yahoo
2019-11-01,0.06409,yahoo
2019-12-01,0.082964,yahoo
2020-01-01,-0.03735,yahoo
2020-02-01,-0.071368,yahoo
2020-03-01,-0.243672,yahoo
2020-04-01,0.172581,yahoo
2020-05-01,-0.030261,yahoo
2020-06-01,-0.002837,yahoo
2020-07-01,0.1234,yahoo
2020-08-01,0.109845,yahoo
2020-09-01,0.015402,yahoo
2020-10-01,-0.018539,yahoo
2020-11-01,0.267029,yahoo
2020-12-01,0.029139,yahoo
2021-01-01,-0.081651,yahoo
2021-02-01,0.107553,yahoo
2021-03-01,0.061934,yahoo
2021-04-01,0.004064,yahoo
2021-05-01,0.004655,yahoo
2021-06-01,-0.01672,yahoo
2021-07-01,0.001229,yahoo
2021-08-01,0.084919,yahoo
2021-09-01,-0.049227,yahoo
2021-10-01,0.066455,yahoo
2021-11-01,0.085193,yahoo
2021-12-01,0.060507,yahoo
2022-01-01,-0.091482,yahoo
2022-02-01,-0.101228,yahoo
2022-03-01,-0.003365,yahoo
2022-04-01,-0.126912,yahoo
2022-05-01,0.072566,yahoo
2022-06-01,-0.107529,yahoo
2022-07-01,0.18346,yahoo
2022-08-01,-0.048795,yahoo
2022-09-01,-0.086764,yahoo
2022-10-01,0.16736,yahoo
2022-11-01,0.068713,yahoo
2022-12-01,-0.03187,yahoo
2023-01-01,0.07177,yahoo
2023-02-01,0.036964,yahoo
2023-03-01,0.001894,yahoo
2023-04-01,-0.019938,yahoo
2023-05-01,-0.006314,yahoo
2023-06-01,0.153547,yahoo
2023-07-01,-0.001377,yahoo
2023-08-01,0.066493,yahoo
2023-09-01,-0.084614,yahoo
2023-10-01,-0.047709,yahoo
2023-11-01,0.177159,yahoo
2023-12-01,0.082738,yahoo
2024-01-01,0.032583,yahoo
2024-02-01,0.143626,yahoo
2024-03-01,0.039636,yahoo
2024-04-01,-0.017167,yahoo
2024-05-01,-0.002893,yahoo
2024-06-01,-0.023751,yahoo
2024-07-01,0.10524,yahoo
2024-08-01,-0.089143,yahoo
2024-09-01,0.073374,yahoo
2024-10-01,-0.022005,yahoo
2024-11-01,0.085104,yahoo
2024-12-01,-0.131612,yahoo
2025-01-01,0.036922,yahoo
2025-02-01,-0.096162,yahoo
2025-03-01,-0.056027,yahoo
2025-04-01,-0.057478,yahoo
2025-05-01,0.082328,yahoo
2025-06-01,0.018863,yahoo
2025-07-01,0.017432,yahoo
2025-08-01,-0.061444,yahoo
2025-09-01,0.040161,yahoo
2025-10-01,-0.076132,yahoo
2025-11-01,0.052535,yahoo
2025-12-01,-0.013941,yahoo
2026-01-01,0.08672,yahoo
2026-02-01,0.093507,yahoo
2026-03-01,-0.148927,yahoo
2026-04-01,-0.003245,yahoo
2026-05-01,-0.10293,yahoo
2026-06-01,0.144472,yahoo
2026-07-01,-0.060251,yahoo
