date,monthly_return,source
2016-07-01,0.027184,yahoo
2016-08-01,-0.04499,yahoo
2016-09-01,0.022043,yahoo
2016-10-01,0.005792,yahoo
2016-11-01,0.168607,yahoo
2016-12-01,0.017825,yahoo
2017-01-01,0.020707,yahoo
2017-02-01,-0.009185,yahoo
2017-03-01,-0.065499,yahoo
2017-04-01,-0.022673,yahoo
2017-05-01,-0.047736,yahoo
2017-06-01,0.070274,yahoo
2017-07-01,-0.007332,yahoo
2017-08-01,0.090177,yahoo
2017-09-01,0.123268,yahoo
2017-10-01,-0.042222,yahoo
2017-11-01,0.044647,yahoo
2017-12-01,0.034551,yahoo
2018-01-01,0.050878,yahoo
2018-02-01,-0.018704,yahoo
2018-03-01,-0.011976,yahoo
2018-04-01,0.00239,yahoo
2018-05-01,0.090863,yahoo
2018-06-01,-0.051132,yahoo
2018-07-01,-0.013575,yahoo
2018-08-01,0.007089,yahoo
2018-09-01,-0.01499,yahoo
2018-10-01,-0.070035,yahoo
2018-11-01,-0.038423,yahoo
2018-12-01,-0.125235,yahoo
2019-01-01,0.150473,yahoo
2019-02-01,0.005886,yahoo
2019-03-01,-0.059255,yahoo
2019-04-01,-0.067233,yahoo
2019-05-01,-0.098857,yahoo
2019-06-01,0.073643,yahoo
2019-07-01,0.119899,yahoo
2019-08-01,0.055387,yahoo
2019-09-01,0.024158,yahoo
2019-10-01,0.062449,yahoo
2019-11-01,-0.016502,yahoo
2019-12-01,0.010033,yahoo
2020-01-01,-0.075784,yahoo
2020-02-01,-0.106458,yahoo
2020-03-01,-0.043654,yahoo
2020-04-01,0.096389,yahoo
2020-05-01,0.183445,yahoo
2020-06-01,0.005599,yahoo
2020-07-01,0.075287,yahoo
2020-08-01,0.08609,yahoo
2020-09-01,-0.100754,yahoo
2020-10-01,-0.036715,yahoo
2020-11-01,0.111221,yahoo
2020-12-01,0.010127,yahoo
2021-01-01,-0.014563,yahoo
2021-02-01,0.090673,yahoo
2021-03-01,0.144345,yahoo
2021-04-01,0.015708,yahoo
2021-05-01,0.004862,yahoo
2021-06-01,-0.050076,yahoo
2021-07-01,0.033753,yahoo
2021-08-01,0.053131,yahoo
2021-09-01,-0.057384,yahoo
2021-10-01,0.179225,yahoo
2021-11-01,-0.03058,yahoo
2021-12-01,0.069261,yahoo
2022-01-01,-0.058023,yahoo
2022-02-01,0.053963,yahoo
2022-03-01,-0.010546,yahoo
2022-04-01,-0.149111,yahoo
2022-05-01,0.010126,yahoo
2022-06-01,-0.087554,yahoo
2022-07-01,0.163841,yahoo
2022-08-01,-0.050472,yahoo
2022-09-01,-0.101138,yahoo
2022-10-01,0.093658,yahoo
2022-11-01,0.07494,yahoo
2022-12-01,-0.051824,yahoo
2023-01-01,0.084251,yahoo
2023-02-01,-0.043692,yahoo
2023-03-01,-0.029482,yahoo
2023-04-01,-0.000969,yahoo
2023-05-01,-0.047464,yahoo
2023-06-01,0.084207,yahoo
2023-07-01,0.126554,yahoo
2023-08-01,-0.078749,yahoo
2023-09-01,0.003406,yahoo
2023-10-01,-0.08832,yahoo
2023-11-01,0.077966,yahoo
2023-12-01,0.078102,yahoo
2024-01-01,0.006208,yahoo
2024-02-01,0.02652,yahoo
2024-03-01,-0.03422,yahoo
2024-04-01,-0.18409,yahoo
2024-05-01,-0.011195,yahoo
2024-06-01,-0.004666,yahoo
2024-07-01,0.082187,yahoo
2024-08-01,0.000289,yahoo
2024-09-01,-0.005023,yahoo
2024-10-01,0.048105,yahoo
2024-11-01,0.047005,yahoo
2024-12-01,-0.097562,yahoo
2025-01-01,0.003281,yahoo
2025-02-01,-0.05858,yahoo
2025-03-01,-0.082139,yahoo
2025-04-01,-0.117404,yahoo
2025-05-01,0.063333,yahoo
2025-06-01,0.03421,yahoo
2025-07-01,0.003134,yahoo
2025-08-01,0.006526,yahoo
2025-09-01,-0.074626,yahoo
2025-10-01,0.258553,yahoo
2025-11-01,0.030203,yahoo
2025-12-01,0.117153,yahoo
2026-01-01,0.04312,yahoo
2026-02-01,0.151391,yahoo
2026-03-01,-0.092155,yahoo
2026-04-01,0.187022,yahoo
2026-05-01,0.098994,yahoo
2026-06-01,0.047028,yahoo
2026-07-01,-0.029575,yahoo
