date,monthly_return,source
2019-09-01,-0.369115,yahoo
2019-10-01,-0.134328,yahoo
2019-11-01,-0.137931,yahoo
2019-12-01,-0.236,yahoo
2020-01-01,0.23822,yahoo
2020-02-01,-0.093023,yahoo
2020-03-01,-0.300699,yahoo
2020-04-01,0.29,yahoo
2020-05-01,-0.108527,yahoo
2020-06-01,-0.197101,yahoo
2020-07-01,0.220217,yahoo
2020-08-01,0.005917,yahoo
2020-09-01,-0.294118,yahoo
2020-10-01,0.533333,yahoo
2020-11-01,0.711957,yahoo
2020-12-01,2.015873,yahoo
2021-01-01,0.410526,yahoo
2021-02-01,0.727612,yahoo
2021-03-01,0.095032,yahoo
2021-04-01,0.055227,yahoo
2021-05-01,-0.204673,yahoo
2021-06-01,-0.074031,yahoo
2021-07-01,0.063452,yahoo
2021-08-01,0.405728,yahoo
2021-09-01,-0.278438,yahoo
2021-10-01,0.204706,yahoo
2021-11-01,0.494141,yahoo
2021-12-01,-0.339869,yahoo
2022-01-01,-0.275248,yahoo
2022-02-01,0.030055,yahoo
2022-03-01,-0.005305,yahoo
2022-04-01,-0.232,yahoo
2022-05-01,-0.302083,yahoo
2022-06-01,-0.442786,yahoo
2022-07-01,0.303571,yahoo
2022-08-01,-0.109589,yahoo
2022-09-01,-0.192308,yahoo
2022-10-01,-0.086667,yahoo
2022-11-01,-0.392075,yahoo
2022-12-01,-0.245283,yahoo
2023-01-01,1.240909,yahoo
2023-02-01,-0.036511,yahoo
2023-03-01,0.021053,yahoo
2023-04-01,0.195876,yahoo
2023-05-01,0.034483,yahoo
2023-06-01,0.225,yahoo
2023-07-01,0.272109,yahoo
2023-08-01,-0.272727,yahoo
2023-09-01,-0.213235,yahoo
2023-10-01,-0.018692,yahoo
2023-11-01,0.361905,yahoo
2023-12-01,1.034965,yahoo
2024-01-01,-0.199313,yahoo
2024-02-01,0.223176,yahoo
2024-03-01,-0.217544,yahoo
2024-04-01,-0.197309,yahoo
2024-05-01,0.251397,yahoo
2024-06-01,0.147321,yahoo
2024-07-01,0.007782,yahoo
2024-08-01,-0.166023,yahoo
2024-09-01,-0.023148,yahoo
2024-10-01,-0.087678,yahoo
2024-11-01,0.116883,yahoo
2024-12-01,-0.306977,yahoo
2025-01-01,-0.026846,yahoo
2025-02-01,-0.2,yahoo
2025-03-01,-0.32069,yahoo
2025-04-01,0.267767,yahoo
2025-05-01,-0.078078,yahoo
2025-06-01,-0.087948,yahoo
2025-07-01,0.5,yahoo
2025-08-01,0.063492,yahoo
2025-09-01,1.104478,yahoo
2025-10-01,0.407801,yahoo
2025-11-01,-0.123426,yahoo
2025-12-01,-0.324713,yahoo
2026-01-01,-0.004255,yahoo
2026-02-01,-0.059829,yahoo
2026-03-01,-0.113636,yahoo
2026-04-01,0.553846,yahoo
2026-05-01,0.874587,yahoo
2026-06-01,0.010563,yahoo
2026-07-01,-0.162021,yahoo
