date,monthly_return,source
2016-07-01,-0.016778,yahoo
2016-08-01,0.017064,yahoo
2016-09-01,-0.005444,yahoo
2016-10-01,-0.039214,yahoo
2016-11-01,0.017442,yahoo
2016-12-01,0.125714,yahoo
2017-01-01,0.020203,yahoo
2017-02-01,0.010051,yahoo
2017-03-01,0.004828,yahoo
2017-04-01,9.8e-05,yahoo
2017-05-01,0.004902,yahoo
2017-06-01,0.02439,yahoo
2017-07-01,-0.009524,yahoo
2017-08-01,-0.033654,yahoo
2017-09-01,0.014925,yahoo
2017-10-01,-0.029412,yahoo
2017-11-01,-0.010101,yahoo
2017-12-01,0.010204,yahoo
2018-01-01,0.030303,yahoo
2018-02-01,0.0,yahoo
2018-03-01,-0.012255,yahoo
2018-04-01,0.066998,yahoo
2018-05-01,-0.004651,yahoo
2018-06-01,-0.051402,yahoo
2018-07-01,0.008374,yahoo
2018-08-01,-0.057157,yahoo
2018-09-01,-0.036269,yahoo
2018-10-01,-0.107527,yahoo
2018-11-01,-0.036145,yahoo
2018-12-01,-0.15,yahoo
2019-01-01,0.169118,yahoo
2019-02-01,0.031447,yahoo
2019-03-01,-0.030488,yahoo
2019-04-01,0.006038,yahoo
2019-05-01,-0.093773,yahoo
2019-06-01,-0.020419,yahoo
2019-07-01,-0.021127,yahoo
2019-08-01,-0.036115,yahoo
2019-09-01,0.044932,yahoo
2019-10-01,-0.028571,yahoo
2019-11-01,0.025735,yahoo
2019-12-01,-0.02509,yahoo
2020-01-01,0.025,yahoo
2020-02-01,-0.002869,yahoo
2020-03-01,-0.172662,yahoo
2020-04-01,0.076174,yahoo
2020-05-01,-0.062702,yahoo
2020-06-01,0.055172,yahoo
2020-07-01,0.14134,yahoo
2020-08-01,-0.012169,yahoo
2020-09-01,-0.065072,yahoo
2020-10-01,0.038599,yahoo
2020-11-01,0.014179,yahoo
2020-12-01,0.065489,yahoo
2021-01-01,-0.012431,yahoo
2021-02-01,0.090909,yahoo
2021-03-01,0.076923,yahoo
2021-04-01,-0.047619,yahoo
2021-05-01,0.0375,yahoo
2021-06-01,-0.01506,yahoo
2021-07-01,-0.029358,yahoo
2021-08-01,-0.017013,yahoo
2021-09-01,0.009615,yahoo
2021-10-01,-0.072381,yahoo
2021-11-01,0.451061,yahoo
2021-12-01,0.007547,yahoo
2022-01-01,-0.827715,yahoo
2022-02-01,0.211957,yahoo
2022-03-01,-0.042601,yahoo
2022-04-01,0.059016,yahoo
2022-05-01,0.078284,yahoo
2022-06-01,-0.11813,yahoo
2022-07-01,-0.139535,yahoo
2022-08-01,0.032432,yahoo
2022-09-01,-0.075916,yahoo
2022-10-01,-0.011331,yahoo
2022-11-01,0.088825,yahoo
2022-12-01,0.065789,yahoo
2023-01-01,0.349136,yahoo
2023-02-01,0.068814,yahoo
2023-03-01,-0.241438,yahoo
2023-04-01,-0.027088,yahoo
2023-05-01,0.009281,yahoo
2023-06-01,-0.022989,yahoo
2023-07-01,0.082353,yahoo
2023-08-01,0.119565,yahoo
2023-09-01,-0.126214,yahoo
2023-10-01,-0.08,yahoo
2023-11-01,-0.114976,yahoo
2023-12-01,0.310044,yahoo
2024-01-01,-0.008333,yahoo
2024-02-01,-0.126471,yahoo
2024-03-01,0.108706,yahoo
2024-04-01,0.21692,yahoo
2024-05-01,0.033868,yahoo
2024-06-01,0.048276,yahoo
2024-07-01,0.184211,yahoo
2024-08-01,0.148056,yahoo
2024-09-01,-0.213404,yahoo
2024-10-01,0.168871,yahoo
2024-11-01,-0.012632,yahoo
2024-12-01,-0.067164,yahoo
2025-01-01,0.046571,yahoo
2025-02-01,-0.099099,yahoo
2025-03-01,0.090909,yahoo
2025-04-01,-0.111111,yahoo
2025-05-01,0.015625,yahoo
2025-06-01,-0.049231,yahoo
2025-07-01,0.132686,yahoo
2025-08-01,-0.022857,yahoo
2025-09-01,0.111111,yahoo
2025-10-01,-0.088421,yahoo
2025-11-01,-0.11403,yahoo
2025-12-01,0.058977,yahoo
2026-01-01,0.415385,yahoo
2026-02-01,0.043696,yahoo
2026-03-01,0.036242,yahoo
2026-04-01,0.110553,yahoo
2026-05-01,-0.0181,yahoo
2026-06-01,-0.063779,yahoo
2026-07-01,0.220713,yahoo
