date,monthly_return,source
2016-07-01,0.041865,yahoo
2016-08-01,0.117412,yahoo
2016-09-01,0.054578,yahoo
2016-10-01,-0.035308,yahoo
2016-11-01,-0.046879,yahoo
2016-12-01,-0.086533,yahoo
2017-01-01,0.09761,yahoo
2017-02-01,0.050367,yahoo
2017-03-01,0.057443,yahoo
2017-04-01,0.059754,yahoo
2017-05-01,0.061511,yahoo
2017-06-01,0.005669,yahoo
2017-07-01,0.131524,yahoo
2017-08-01,0.036716,yahoo
2017-09-01,0.012992,yahoo
2017-10-01,-0.007027,yahoo
2017-11-01,0.0023,yahoo
2017-12-01,0.034598,yahoo
2018-01-01,0.126941,yahoo
2018-02-01,-0.040121,yahoo
2018-03-01,-0.031073,yahoo
2018-04-01,-0.04265,yahoo
2018-05-01,0.046591,yahoo
2018-06-01,-0.032006,yahoo
2018-07-01,-0.063108,yahoo
2018-08-01,-0.091903,yahoo
2018-09-01,-0.036891,yahoo
2018-10-01,-0.145432,yahoo
2018-11-01,0.043145,yahoo
2018-12-01,-0.138327,yahoo
2019-01-01,0.167733,yahoo
2019-02-01,0.069651,yahoo
2019-03-01,0.005551,yahoo
2019-04-01,0.035032,yahoo
2019-05-01,-0.173128,yahoo
2019-06-01,0.0903,yahoo
2019-07-01,-0.039363,yahoo
2019-08-01,0.003553,yahoo
2019-09-01,-0.024546,yahoo
2019-10-01,0.086862,yahoo
2019-11-01,0.0374,yahoo
2019-12-01,0.044635,yahoo
2020-01-01,-0.01212,yahoo
2020-02-01,0.01622,yahoo
2020-03-01,-0.073665,yahoo
2020-04-01,0.067815,yahoo
2020-05-01,0.088333,yahoo
2020-06-01,0.177343,yahoo
2020-07-01,0.082015,yahoo
2020-08-01,0.049388,yahoo
2020-09-01,-0.03057,yahoo
2020-10-01,0.053535,yahoo
2020-11-01,0.050258,yahoo
2020-12-01,0.017895,yahoo
2021-01-01,0.130225,yahoo
2021-02-01,0.034566,yahoo
2021-03-01,-0.149683,yahoo
2021-04-01,-0.015848,yahoo
2021-05-01,-0.063082,yahoo
2021-06-01,-0.008807,yahoo
2021-07-01,-0.27687,yahoo
2021-08-01,0.0109,yahoo
2021-09-01,-0.072339,yahoo
2021-10-01,0.008876,yahoo
2021-11-01,-0.077294,yahoo
2021-12-01,-0.171623,yahoo
2022-01-01,0.025212,yahoo
2022-02-01,-0.105587,yahoo
2022-03-01,-0.147938,yahoo
2022-04-01,-0.008418,yahoo
2022-05-01,0.030421,yahoo
2022-06-01,0.124614,yahoo
2022-07-01,-0.134615,yahoo
2022-08-01,0.056085,yahoo
2022-09-01,-0.177021,yahoo
2022-10-01,-0.220779,yahoo
2022-11-01,0.479687,yahoo
2022-12-01,0.063006,yahoo
2023-01-01,0.121523,yahoo
2023-02-01,-0.138175,yahoo
2023-03-01,0.068517,yahoo
2023-04-01,-0.103559,yahoo
2023-05-01,-0.107654,yahoo
2023-06-01,0.079359,yahoo
2023-07-01,0.18678,yahoo
2023-08-01,-0.10169,yahoo
2023-09-01,-0.046674,yahoo
2023-10-01,-0.048228,yahoo
2023-11-01,0.077159,yahoo
2023-12-01,-0.037776,yahoo
2024-01-01,-0.135556,yahoo
2024-02-01,0.086547,yahoo
2024-03-01,0.035095,yahoo
2024-04-01,0.061714,yahoo
2024-05-01,0.047722,yahoo
2024-06-01,-0.074658,yahoo
2024-07-01,-0.019245,yahoo
2024-08-01,-0.030566,yahoo
2024-09-01,0.324251,yahoo
2024-10-01,-0.053498,yahoo
2024-11-01,-0.043478,yahoo
2024-12-01,-0.050649,yahoo
2025-01-01,0.069767,yahoo
2025-02-01,0.084719,yahoo
2025-03-01,0.028883,yahoo
2025-04-01,-0.080493,yahoo
2025-05-01,0.019938,yahoo
2025-06-01,0.048564,yahoo
2025-07-01,0.032333,yahoo
2025-08-01,0.077314,yahoo
2025-09-01,0.100314,yahoo
2025-10-01,-0.049036,yahoo
2025-11-01,-0.059574,yahoo
2025-12-01,-0.093692,yahoo
2026-01-01,0.03906,yahoo
2026-02-01,-0.122103,yahoo
2026-03-01,-0.084675,yahoo
2026-04-01,0.011959,yahoo
2026-05-01,-0.070907,yahoo
2026-06-01,-0.084549,yahoo
2026-07-01,0.07356,yahoo
