date,monthly_return,source
2016-07-01,0.038111,yahoo
2016-08-01,0.073424,yahoo
2016-09-01,-0.014734,yahoo
2016-10-01,-0.026198,yahoo
2016-11-01,0.160856,yahoo
2016-12-01,-0.010525,yahoo
2017-01-01,0.002342,yahoo
2017-02-01,0.070003,yahoo
2017-03-01,0.012466,yahoo
2017-04-01,0.005572,yahoo
2017-05-01,0.002413,yahoo
2017-06-01,-0.027461,yahoo
2017-07-01,0.049413,yahoo
2017-08-01,0.073644,yahoo
2017-09-01,0.07144,yahoo
2017-10-01,0.05802,yahoo
2017-11-01,0.037181,yahoo
2017-12-01,-0.019723,yahoo
2018-01-01,0.125168,yahoo
2018-02-01,-0.020266,yahoo
2018-03-01,0.032853,yahoo
2018-04-01,-0.030134,yahoo
2018-05-01,-0.038039,yahoo
2018-06-01,-0.03941,yahoo
2018-07-01,0.141207,yahoo
2018-08-01,-0.014792,yahoo
2018-09-01,0.041228,yahoo
2018-10-01,-0.121151,yahoo
2018-11-01,-0.038733,yahoo
2018-12-01,-0.058062,yahoo
2019-01-01,0.137616,yahoo
2019-02-01,0.076707,yahoo
2019-03-01,-0.03165,yahoo
2019-04-01,0.055037,yahoo
2019-05-01,0.11092,yahoo
2019-06-01,0.010364,yahoo
2019-07-01,0.097658,yahoo
2019-08-01,0.018353,yahoo
2019-09-01,-0.013103,yahoo
2019-10-01,-0.011168,yahoo
2019-11-01,-0.025302,yahoo
2019-12-01,-0.016013,yahoo
2020-01-01,0.118563,yahoo
2020-02-01,-0.106628,yahoo
2020-03-01,-0.089061,yahoo
2020-04-01,0.075394,yahoo
2020-05-01,0.029685,yahoo
2020-06-01,-0.149311,yahoo
2020-07-01,-0.007898,yahoo
2020-08-01,0.073724,yahoo
2020-09-01,-0.060308,yahoo
2020-10-01,-0.051401,yahoo
2020-11-01,0.19167,yahoo
2020-12-01,-0.01547,yahoo
2021-01-01,-0.092636,yahoo
2021-02-01,0.060638,yahoo
2021-03-01,0.114177,yahoo
2021-04-01,0.032317,yahoo
2021-05-01,0.042202,yahoo
2021-06-01,-0.008759,yahoo
2021-07-01,0.048994,yahoo
2021-08-01,0.027653,yahoo
2021-09-01,-0.054804,yahoo
2021-10-01,0.046767,yahoo
2021-11-01,-0.093086,yahoo
2021-12-01,0.019897,yahoo
2022-01-01,-0.018524,yahoo
2022-02-01,0.205552,yahoo
2022-03-01,-0.015219,yahoo
2022-04-01,-0.065239,yahoo
2022-05-01,0.0372,yahoo
2022-06-01,0.003321,yahoo
2022-07-01,-0.007158,yahoo
2022-08-01,-0.049089,yahoo
2022-09-01,-0.089224,yahoo
2022-10-01,0.185921,yahoo
2022-11-01,-0.078671,yahoo
2022-12-01,-0.083098,yahoo
2023-01-01,0.031747,yahoo
2023-02-01,-0.016898,yahoo
2023-03-01,-0.070789,yahoo
2023-04-01,-0.005554,yahoo
2023-05-01,-0.09854,yahoo
2023-06-01,0.112835,yahoo
2023-07-01,-0.032078,yahoo
2023-08-01,-0.060162,yahoo
2023-09-01,-0.022292,yahoo
2023-10-01,0.030381,yahoo
2023-11-01,0.063542,yahoo
2023-12-01,0.103821,yahoo
2024-01-01,-0.010445,yahoo
2024-02-01,0.015546,yahoo
2024-03-01,0.006803,yahoo
2024-04-01,0.004458,yahoo
2024-05-01,0.050362,yahoo
2024-06-01,-0.001112,yahoo
2024-07-01,0.010286,yahoo
2024-08-01,0.043105,yahoo
2024-09-01,0.00507,yahoo
2024-10-01,0.040358,yahoo
2024-11-01,-0.00493,yahoo
2024-12-01,-0.146071,yahoo
2025-01-01,0.008227,yahoo
2025-02-01,-0.027829,yahoo
2025-03-01,0.015526,yahoo
2025-04-01,0.051168,yahoo
2025-05-01,0.110535,yahoo
2025-06-01,0.026602,yahoo
2025-07-01,0.095599,yahoo
2025-08-01,0.010188,yahoo
2025-09-01,0.100101,yahoo
2025-10-01,-0.053404,yahoo
2025-11-01,-0.036008,yahoo
2025-12-01,0.053393,yahoo
2026-01-01,0.167865,yahoo
2026-02-01,0.063264,yahoo
2026-03-01,-0.05319,yahoo
2026-04-01,-0.071273,yahoo
2026-05-01,-0.016752,yahoo
2026-06-01,-0.078019,yahoo
2026-07-01,-0.002478,yahoo
