date,monthly_return,source
2016-06-01,0.096405,yahoo
2016-07-01,-0.007207,yahoo
2016-08-01,0.016334,yahoo
2016-09-01,0.003571,yahoo
2016-11-01,-0.022064,yahoo
2016-12-01,0.060408,yahoo
2017-01-01,0.088195,yahoo
2017-02-01,-0.029328,yahoo
2017-03-01,0.09909,yahoo
2017-04-01,0.012415,yahoo
2017-05-01,0.064526,yahoo
2017-06-01,0.027976,yahoo
2017-07-01,0.053895,yahoo
2017-08-01,-0.03038,yahoo
2017-09-01,-0.018016,yahoo
2017-11-01,0.004786,yahoo
2017-12-01,0.003705,yahoo
2018-01-01,0.035328,yahoo
2018-02-01,0.025719,yahoo
2018-03-01,0.067527,yahoo
2018-04-01,0.041163,yahoo
2018-05-01,-0.00134,yahoo
2018-06-01,-0.016551,yahoo
2018-07-01,0.051626,yahoo
2018-08-01,-0.008218,yahoo
2018-09-01,-0.059093,yahoo
2018-11-01,-0.065353,yahoo
2018-12-01,0.007191,yahoo
2019-01-01,0.127277,yahoo
2019-02-01,-0.015724,yahoo
2019-03-01,0.112492,yahoo
2019-04-01,0.053849,yahoo
2019-05-01,0.038229,yahoo
2019-06-01,0.207802,yahoo
2019-07-01,0.049502,yahoo
2019-08-01,0.050906,yahoo
2019-09-01,-0.04844,yahoo
2019-11-01,-0.011792,yahoo
2019-12-01,0.127765,yahoo
2020-01-01,0.011097,yahoo
2020-02-01,-0.03318,yahoo
2020-03-01,-0.015839,yahoo
2020-04-01,0.076985,yahoo
2020-05-01,0.040847,yahoo
2020-06-01,0.015075,yahoo
2020-07-01,0.037247,yahoo
2020-08-01,0.008636,yahoo
2020-09-01,-0.067373,yahoo
2020-11-01,-0.020778,yahoo
2020-12-01,0.111276,yahoo
2021-01-01,-0.035746,yahoo
2021-02-01,0.107299,yahoo
2021-03-01,-0.230609,yahoo
2021-04-01,0.023514,yahoo
2021-05-01,0.052284,yahoo
2021-06-01,-0.060226,yahoo
2021-07-01,0.062216,yahoo
2021-08-01,-0.0636,yahoo
2021-09-01,-0.04698,yahoo
2021-11-01,-0.084225,yahoo
2021-12-01,0.065826,yahoo
2022-01-01,0.041847,yahoo
2022-02-01,-0.089474,yahoo
2022-03-01,0.204138,yahoo
2022-04-01,-0.064932,yahoo
2022-05-01,0.031073,yahoo
2022-06-01,0.047956,yahoo
2022-07-01,0.013003,yahoo
2022-08-01,-0.058504,yahoo
2022-09-01,-0.008128,yahoo
2022-11-01,0.09014,yahoo
2022-12-01,-0.134821,yahoo
2023-01-01,0.037836,yahoo
2023-02-01,0.003511,yahoo
2023-03-01,0.122982,yahoo
2023-04-01,0.024443,yahoo
2023-05-01,-0.02152,yahoo
2023-06-01,0.011475,yahoo
2023-07-01,-0.033562,yahoo
2023-08-01,0.006848,yahoo
2023-09-01,0.005587,yahoo
2023-11-01,0.075604,yahoo
2023-12-01,0.04132,yahoo
2024-01-01,-0.035799,yahoo
2024-02-01,-0.007381,yahoo
2024-03-01,-0.00338,yahoo
2024-04-01,0.035722,yahoo
2024-05-01,0.025977,yahoo
2024-06-01,0.007447,yahoo
2024-07-01,0.082365,yahoo
2024-08-01,-0.002927,yahoo
2024-09-01,0.028865,yahoo
2024-11-01,0.071802,yahoo
2024-12-01,0.001331,yahoo
2025-01-01,0.06646,yahoo
2025-02-01,-0.015787,yahoo
2025-03-01,-0.018573,yahoo
2025-04-01,-0.030108,yahoo
2025-05-01,-0.056763,yahoo
2025-06-01,-0.12929,yahoo
2025-07-01,-0.009935,yahoo
2025-08-01,-0.071117,yahoo
2025-09-01,0.113903,yahoo
2025-11-01,-0.060932,yahoo
2025-12-01,0.004939,yahoo
2026-01-01,-0.092717,yahoo
2026-02-01,0.090864,yahoo
2026-03-01,0.077878,yahoo
2026-04-01,-0.055288,yahoo
2026-05-01,-0.095323,yahoo
2026-06-01,0.091399,yahoo
2026-07-01,0.007409,yahoo
