date,monthly_return,source
2016-07-01,0.009911,yahoo
2016-08-01,-0.006847,yahoo
2016-09-01,-0.007239,yahoo
2016-10-01,-0.050695,yahoo
2016-11-01,-0.109851,yahoo
2016-12-01,-0.02438,yahoo
2017-01-01,0.067247,yahoo
2017-02-01,0.064325,yahoo
2017-03-01,-0.004326,yahoo
2017-04-01,0.031405,yahoo
2017-05-01,0.014322,yahoo
2017-06-01,0.053038,yahoo
2017-07-01,-0.053859,yahoo
2017-08-01,-0.039895,yahoo
2017-09-01,-0.035351,yahoo
2017-10-01,0.035361,yahoo
2017-11-01,0.019995,yahoo
2017-12-01,-0.016803,yahoo
2018-01-01,0.063653,yahoo
2018-02-01,-0.069857,yahoo
2018-03-01,0.004131,yahoo
2018-04-01,-0.001122,yahoo
2018-05-01,0.07725,yahoo
2018-06-01,-0.008225,yahoo
2018-07-01,0.053966,yahoo
2018-08-01,0.068492,yahoo
2018-09-01,0.02033,yahoo
2018-10-01,-0.086917,yahoo
2018-11-01,0.085838,yahoo
2018-12-01,-0.067364,yahoo
2019-01-01,-0.028254,yahoo
2019-02-01,0.023871,yahoo
2019-03-01,0.006409,yahoo
2019-04-01,-0.024923,yahoo
2019-05-01,0.04245,yahoo
2019-06-01,0.051955,yahoo
2019-07-01,0.046719,yahoo
2019-08-01,0.058368,yahoo
2019-09-01,0.006766,yahoo
2019-10-01,0.002578,yahoo
2019-11-01,0.022865,yahoo
2019-12-01,0.018494,yahoo
2020-01-01,0.017541,yahoo
2020-02-01,-0.127945,yahoo
2020-03-01,-0.104202,yahoo
2020-04-01,0.082613,yahoo
2020-05-01,0.009731,yahoo
2020-06-01,-0.069791,yahoo
2020-07-01,0.052127,yahoo
2020-08-01,0.11391,yahoo
2020-09-01,-0.033033,yahoo
2020-10-01,-0.032236,yahoo
2020-11-01,0.130556,yahoo
2020-12-01,0.030255,yahoo
2021-01-01,-0.049599,yahoo
2021-02-01,0.05066,yahoo
2021-03-01,0.009917,yahoo
2021-04-01,0.108271,yahoo
2021-05-01,-0.033074,yahoo
2021-06-01,-0.019433,yahoo
2021-07-01,0.057843,yahoo
2021-08-01,0.016526,yahoo
2021-09-01,-0.060908,yahoo
2021-10-01,-0.043797,yahoo
2021-11-01,-0.109795,yahoo
2021-12-01,-0.030459,yahoo
2022-01-01,0.000387,yahoo
2022-02-01,0.014494,yahoo
2022-03-01,0.056767,yahoo
2022-04-01,-0.059396,yahoo
2022-05-01,-0.040341,yahoo
2022-06-01,-0.103844,yahoo
2022-07-01,0.030863,yahoo
2022-08-01,-0.049719,yahoo
2022-09-01,-0.081551,yahoo
2022-10-01,0.08161,yahoo
2022-11-01,-0.095031,yahoo
2022-12-01,-0.0167,yahoo
2023-01-01,0.076814,yahoo
2023-02-01,-0.010634,yahoo
2023-03-01,-0.026329,yahoo
2023-04-01,0.128132,yahoo
2023-05-01,-0.090049,yahoo
2023-06-01,0.064524,yahoo
2023-07-01,-0.003859,yahoo
2023-08-01,-0.071331,yahoo
2023-09-01,-0.038528,yahoo
2023-10-01,-0.099541,yahoo
2023-11-01,0.123441,yahoo
2023-12-01,0.039233,yahoo
2024-01-01,0.062637,yahoo
2024-02-01,-0.04775,yahoo
2024-03-01,0.045465,yahoo
2024-04-01,-0.079289,yahoo
2024-05-01,0.014083,yahoo
2024-06-01,-0.03269,yahoo
2024-07-01,0.020455,yahoo
2024-08-01,0.102839,yahoo
2024-09-01,0.016369,yahoo
2024-10-01,-0.008664,yahoo
2024-11-01,-0.030364,yahoo
2024-12-01,-0.076959,yahoo
2025-01-01,0.136955,yahoo
2025-02-01,0.013213,yahoo
2025-03-01,-0.023473,yahoo
2025-04-01,-0.056755,yahoo
2025-05-01,-0.021,yahoo
2025-06-01,0.050494,yahoo
2025-07-01,0.035219,yahoo
2025-08-01,0.02848,yahoo
2025-09-01,0.026183,yahoo
2025-10-01,-0.047669,yahoo
2025-11-01,0.161301,yahoo
2025-12-01,-0.088009,yahoo
2026-01-01,0.07183,yahoo
2026-02-01,-0.051476,yahoo
2026-03-01,-0.112738,yahoo
2026-04-01,-0.065551,yahoo
2026-05-01,-0.088428,yahoo
2026-06-01,0.059884,yahoo
2026-07-01,0.080915,yahoo
