date,monthly_return,source
2016-07-01,-0.043478,yahoo
2016-08-01,-0.030303,yahoo
2016-09-01,0.25,yahoo
2016-10-01,0.0,yahoo
2016-11-01,0.05,yahoo
2016-12-01,0.011905,yahoo
2017-01-01,0.176471,yahoo
2017-02-01,0.07,yahoo
2017-03-01,-0.014953,yahoo
2017-04-01,-0.02277,yahoo
2017-05-01,0.067961,yahoo
2017-06-01,0.087273,yahoo
2017-07-01,-0.145485,yahoo
2017-08-01,0.056751,yahoo
2017-09-01,-0.101852,yahoo
2017-10-01,-0.092783,yahoo
2017-11-01,-0.011364,yahoo
2017-12-01,-0.011494,yahoo
2018-01-01,0.158139,yahoo
2018-02-01,-0.140562,yahoo
2018-03-01,-0.051402,yahoo
2018-04-01,-0.100985,yahoo
2018-05-01,-0.079452,yahoo
2018-06-01,0.026786,yahoo
2018-07-01,-0.043478,yahoo
2018-08-01,-0.181818,yahoo
2018-09-01,-0.074074,yahoo
2018-10-01,-0.16,yahoo
2018-11-01,0.109524,yahoo
2018-12-01,-0.103004,yahoo
2019-01-01,0.057416,yahoo
2019-02-01,0.0181,yahoo
2019-03-01,-0.022222,yahoo
2019-04-01,-0.018182,yahoo
2019-05-01,0.111111,yahoo
2019-06-01,-0.083333,yahoo
2019-07-01,0.159091,yahoo
2019-08-01,0.086275,yahoo
2019-09-01,-0.043321,yahoo
2019-10-01,-0.09434,yahoo
2019-11-01,0.145833,yahoo
2019-12-01,0.036364,yahoo
2020-01-01,0.049123,yahoo
2020-02-01,-0.0301,yahoo
2020-03-01,-0.137931,yahoo
2020-04-01,0.14,yahoo
2020-05-01,0.017544,yahoo
2020-06-01,0.37931,yahoo
2020-07-01,-0.125,yahoo
2020-08-01,0.0,yahoo
2020-09-01,-0.128571,yahoo
2020-10-01,0.04918,yahoo
2020-11-01,0.140625,yahoo
2020-12-01,0.068493,yahoo
2021-01-01,0.366667,yahoo
2021-02-01,0.043152,yahoo
2021-03-01,0.345324,yahoo
2021-04-01,-0.004011,yahoo
2021-05-01,0.006711,yahoo
2021-06-01,-0.02,yahoo
2021-07-01,0.054422,yahoo
2021-08-01,-0.012903,yahoo
2021-09-01,-0.006536,yahoo
2021-10-01,-0.013158,yahoo
2021-11-01,-0.013333,yahoo
2021-12-01,-0.033784,yahoo
2022-01-01,0.006993,yahoo
2022-02-01,0.006944,yahoo
2022-03-01,0.068966,yahoo
2022-04-01,-0.100645,yahoo
2022-05-01,-0.045911,yahoo
2022-06-01,0.541353,yahoo
2022-07-01,0.073171,yahoo
2022-08-01,0.477273,yahoo
2022-09-01,-0.009231,yahoo
2022-10-01,0.111801,yahoo
2022-11-01,0.061453,yahoo
2022-12-01,0.11579,yahoo
2023-01-01,0.132075,yahoo
2023-02-01,0.083333,yahoo
2023-03-01,-0.153846,yahoo
2023-04-01,0.068182,yahoo
2023-05-01,-0.019149,yahoo
2023-06-01,-0.096312,yahoo
2023-07-01,-0.135382,yahoo
2023-08-01,-0.050527,yahoo
2023-09-01,-0.064328,yahoo
2023-10-01,-0.046875,yahoo
2023-11-01,-0.147541,yahoo
2023-12-01,0.192308,yahoo
2024-01-01,-0.116129,yahoo
2024-02-01,-0.153285,yahoo
2024-03-01,0.060345,yahoo
2024-04-01,0.113821,yahoo
2024-05-01,-0.047445,yahoo
2024-06-01,0.131801,yahoo
2024-07-01,0.103588,yahoo
2024-08-01,0.205522,yahoo
2024-09-01,-0.083969,yahoo
2024-10-01,0.027778,yahoo
2024-11-01,-0.027027,yahoo
2024-12-01,0.082778,yahoo
2025-01-01,-0.009749,yahoo
2025-02-01,-0.067357,yahoo
2025-03-01,0.026667,yahoo
2025-04-01,-0.024892,yahoo
2025-05-01,0.012764,yahoo
2025-06-01,0.041096,yahoo
2025-07-01,0.013158,yahoo
2025-08-01,-0.016104,yahoo
2025-09-01,-0.020591,yahoo
2025-10-01,0.024798,yahoo
2025-11-01,0.0,yahoo
2025-12-01,-0.013677,yahoo
2026-01-01,0.058667,yahoo
2026-02-01,0.213602,yahoo
2026-03-01,-0.008717,yahoo
2026-04-01,0.10134,yahoo
2026-05-01,0.060837,yahoo
2026-06-01,0.110394,yahoo
2026-07-01,0.528405,yahoo
