date,monthly_return,source
2016-07-01,0.055469,yahoo
2016-08-01,-0.096817,yahoo
2016-09-01,-0.021417,yahoo
2016-10-01,0.035006,yahoo
2016-11-01,0.183785,yahoo
2016-12-01,0.009478,yahoo
2017-01-01,0.036429,yahoo
2017-02-01,-0.059451,yahoo
2017-03-01,0.010651,yahoo
2017-04-01,0.008889,yahoo
2017-05-01,0.017757,yahoo
2017-06-01,-0.006783,yahoo
2017-07-01,0.017297,yahoo
2017-08-01,-0.063772,yahoo
2017-09-01,-0.027171,yahoo
2017-10-01,0.051496,yahoo
2017-11-01,-0.039013,yahoo
2017-12-01,0.060703,yahoo
2018-01-01,0.032257,yahoo
2018-02-01,-0.106237,yahoo
2018-03-01,0.016525,yahoo
2018-04-01,-0.060444,yahoo
2018-05-01,0.144273,yahoo
2018-06-01,0.002064,yahoo
2018-07-01,-0.107061,yahoo
2018-08-01,-0.00351,yahoo
2018-09-01,-0.08439,yahoo
2018-10-01,-0.058642,yahoo
2018-11-01,0.113323,yahoo
2018-12-01,-0.098694,yahoo
2019-01-01,0.027986,yahoo
2019-02-01,0.062939,yahoo
2019-03-01,0.071246,yahoo
2019-04-01,0.102992,yahoo
2019-05-01,-0.051374,yahoo
2019-06-01,0.093159,yahoo
2019-07-01,0.076659,yahoo
2019-08-01,0.024299,yahoo
2019-09-01,0.080112,yahoo
2019-10-01,-0.044473,yahoo
2019-11-01,0.024779,yahoo
2019-12-01,0.041878,yahoo
2020-01-01,-0.056644,yahoo
2020-02-01,-0.13749,yahoo
2020-03-01,-0.168329,yahoo
2020-04-01,0.005285,yahoo
2020-05-01,0.009778,yahoo
2020-06-01,0.075381,yahoo
2020-07-01,0.002953,yahoo
2020-08-01,-0.020803,yahoo
2020-09-01,0.160152,yahoo
2020-10-01,0.131671,yahoo
2020-11-01,-0.002703,yahoo
2020-12-01,0.069043,yahoo
2021-01-01,0.012114,yahoo
2021-02-01,0.172089,yahoo
2021-03-01,-0.003117,yahoo
2021-04-01,0.051516,yahoo
2021-05-01,0.02982,yahoo
2021-06-01,-0.032559,yahoo
2021-07-01,0.03266,yahoo
2021-08-01,0.049408,yahoo
2021-09-01,-0.10379,yahoo
2021-10-01,0.149731,yahoo
2021-11-01,0.027161,yahoo
2021-12-01,0.09172,yahoo
2022-01-01,-0.11668,yahoo
2022-02-01,-0.024979,yahoo
2022-03-01,0.01447,yahoo
2022-04-01,-0.079685,yahoo
2022-05-01,-0.041895,yahoo
2022-06-01,-0.118275,yahoo
2022-07-01,0.176581,yahoo
2022-08-01,-0.012412,yahoo
2022-09-01,-0.073682,yahoo
2022-10-01,0.043125,yahoo
2022-11-01,0.090779,yahoo
2022-12-01,-0.077794,yahoo
2023-01-01,0.064118,yahoo
2023-02-01,0.000639,yahoo
2023-03-01,-0.013366,yahoo
2023-04-01,0.022926,yahoo
2023-05-01,0.095925,yahoo
2023-06-01,0.159909,yahoo
2023-07-01,-0.032988,yahoo
2023-08-01,-0.000112,yahoo
2023-09-01,-0.080487,yahoo
2023-10-01,-0.003752,yahoo
2023-11-01,0.136084,yahoo
2023-12-01,0.073872,yahoo
2024-01-01,0.019062,yahoo
2024-02-01,0.136285,yahoo
2024-03-01,0.062713,yahoo
2024-04-01,-0.043766,yahoo
2024-05-01,-0.025534,yahoo
2024-06-01,-0.05293,yahoo
2024-07-01,0.095146,yahoo
2024-08-01,-0.099756,yahoo
2024-09-01,0.007657,yahoo
2024-10-01,0.100492,yahoo
2024-11-01,0.012932,yahoo
2024-12-01,-0.139167,yahoo
2025-01-01,0.053475,yahoo
2025-02-01,-0.112071,yahoo
2025-03-01,-0.01037,yahoo
2025-04-01,0.095894,yahoo
2025-05-01,0.044983,yahoo
2025-06-01,0.002575,yahoo
2025-07-01,0.047217,yahoo
2025-08-01,0.072224,yahoo
2025-09-01,0.022518,yahoo
2025-10-01,-0.027258,yahoo
2025-11-01,0.016539,yahoo
2025-12-01,-0.000931,yahoo
2026-01-01,0.04704,yahoo
2026-02-01,0.037764,yahoo
2026-03-01,-0.129905,yahoo
2026-04-01,0.051624,yahoo
2026-05-01,-0.060462,yahoo
2026-06-01,-0.008493,yahoo
2026-07-01,0.002115,yahoo
