date,monthly_return,source
2016-07-01,-0.018271,yahoo
2016-08-01,-0.023781,yahoo
2016-09-01,-0.043274,yahoo
2016-10-01,0.045706,yahoo
2016-11-01,-0.033122,yahoo
2016-12-01,0.057719,yahoo
2017-01-01,0.052647,yahoo
2017-02-01,0.052543,yahoo
2017-03-01,-0.046716,yahoo
2017-04-01,0.005041,yahoo
2017-05-01,0.050989,yahoo
2017-06-01,-0.012858,yahoo
2017-07-01,-0.127568,yahoo
2017-08-01,-0.024165,yahoo
2017-09-01,0.000315,yahoo
2017-10-01,0.012614,yahoo
2017-11-01,0.056213,yahoo
2017-12-01,0.052779,yahoo
2018-01-01,-0.014984,yahoo
2018-02-01,-0.105061,yahoo
2018-03-01,-0.010008,yahoo
2018-04-01,-0.099647,yahoo
2018-05-01,-0.006594,yahoo
2018-06-01,0.018837,yahoo
2018-07-01,0.03328,yahoo
2018-08-01,-0.002727,yahoo
2018-09-01,0.030588,yahoo
2018-10-01,0.078428,yahoo
2018-11-01,-0.15698,yahoo
2018-12-01,-0.099216,yahoo
2019-01-01,-0.00081,yahoo
2019-02-01,0.062006,yahoo
2019-03-01,0.095783,yahoo
2019-04-01,-0.053979,yahoo
2019-05-01,-0.097,yahoo
2019-06-01,-0.034855,yahoo
2019-07-01,-0.005913,yahoo
2019-08-01,-0.070746,yahoo
2019-09-01,-0.064929,yahoo
2019-10-01,0.09511,yahoo
2019-11-01,0.109623,yahoo
2019-12-01,0.004225,yahoo
2020-01-01,-0.047686,yahoo
2020-02-01,-0.150642,yahoo
2020-03-01,-0.04211,yahoo
2020-04-01,0.014999,yahoo
2020-05-01,-0.005096,yahoo
2020-06-01,0.005122,yahoo
2020-07-01,0.048408,yahoo
2020-08-01,0.06294,yahoo
2020-09-01,-0.116598,yahoo
2020-10-01,-0.066253,yahoo
2020-11-01,0.103936,yahoo
2020-12-01,0.029375,yahoo
2021-01-01,0.001951,yahoo
2021-02-01,0.061344,yahoo
2021-03-01,0.173395,yahoo
2021-04-01,-0.066654,yahoo
2021-05-01,0.030785,yahoo
2021-06-01,-0.031288,yahoo
2021-07-01,0.00755,yahoo
2021-08-01,0.045587,yahoo
2021-09-01,-0.093769,yahoo
2021-10-01,-0.030975,yahoo
2021-11-01,-0.033326,yahoo
2021-12-01,0.111398,yahoo
2022-01-01,0.073644,yahoo
2022-02-01,0.008058,yahoo
2022-03-01,0.018717,yahoo
2022-04-01,0.063541,yahoo
2022-05-01,-0.026633,yahoo
2022-06-01,-0.227769,yahoo
2022-07-01,0.050036,yahoo
2022-08-01,0.028728,yahoo
2022-09-01,-0.105053,yahoo
2022-10-01,0.145864,yahoo
2022-11-01,0.0067,yahoo
2022-12-01,-0.018678,yahoo
2023-01-01,-0.014658,yahoo
2023-02-01,0.030861,yahoo
2023-03-01,-0.038983,yahoo
2023-04-01,0.064769,yahoo
2023-05-01,-0.065039,yahoo
2023-06-01,0.019811,yahoo
2023-07-01,0.002649,yahoo
2023-08-01,-0.02642,yahoo
2023-09-01,-0.049073,yahoo
2023-10-01,-0.044709,yahoo
2023-11-01,0.046552,yahoo
2023-12-01,-0.040438,yahoo
2024-01-01,-0.005454,yahoo
2024-02-01,0.019691,yahoo
2024-03-01,0.066243,yahoo
2024-04-01,0.004356,yahoo
2024-05-01,0.055695,yahoo
2024-06-01,-0.015135,yahoo
2024-07-01,0.07596,yahoo
2024-08-01,0.097123,yahoo
2024-09-01,-0.050772,yahoo
2024-10-01,0.067006,yahoo
2024-11-01,0.060228,yahoo
2024-12-01,-0.094389,yahoo
2025-01-01,-0.001147,yahoo
2025-02-01,0.069309,yahoo
2025-03-01,0.074664,yahoo
2025-04-01,-0.014495,yahoo
2025-05-01,0.024683,yahoo
2025-06-01,-0.032668,yahoo
2025-07-01,0.056456,yahoo
2025-08-01,0.085082,yahoo
2025-09-01,-0.017111,yahoo
2025-10-01,-0.146533,yahoo
2025-11-01,0.046648,yahoo
2025-12-01,-0.022877,yahoo
2026-01-01,0.075095,yahoo
2026-02-01,0.113728,yahoo
2026-03-01,-0.044177,yahoo
2026-04-01,0.100924,yahoo
2026-05-01,-0.042257,yahoo
2026-06-01,0.034061,yahoo
2026-07-01,0.014454,yahoo
