date,monthly_return,source
2016-07-01,0.232949,yahoo
2016-08-01,0.055319,yahoo
2016-09-01,0.070161,yahoo
2016-10-01,-0.018086,yahoo
2016-11-01,0.100537,yahoo
2016-12-01,-0.032775,yahoo
2017-01-01,0.072098,yahoo
2017-02-01,0.049092,yahoo
2017-03-01,-0.021795,yahoo
2017-04-01,-0.015727,yahoo
2017-05-01,0.147803,yahoo
2017-06-01,-0.041763,yahoo
2017-07-01,-0.058111,yahoo
2017-08-01,0.151028,yahoo
2017-09-01,-0.000558,yahoo
2017-10-01,0.031844,yahoo
2017-11-01,0.209529,yahoo
2017-12-01,-0.038944,yahoo
2018-01-01,0.086633,yahoo
2018-02-01,0.006858,yahoo
2018-03-01,-0.106003,yahoo
2018-04-01,-0.044762,yahoo
2018-05-01,0.073779,yahoo
2018-06-01,-0.004643,yahoo
2018-07-01,-0.006063,yahoo
2018-08-01,-0.029564,yahoo
2018-09-01,-0.066731,yahoo
2018-10-01,-0.149741,yahoo
2018-11-01,-0.018281,yahoo
2018-12-01,0.004966,yahoo
2019-01-01,0.144534,yahoo
2019-02-01,0.076632,yahoo
2019-03-01,-0.003008,yahoo
2019-04-01,0.257919,yahoo
2019-05-01,-0.108713,yahoo
2019-06-01,0.070404,yahoo
2019-07-01,0.100126,yahoo
2019-08-01,-0.087205,yahoo
2019-09-01,0.041719,yahoo
2019-10-01,-0.023228,yahoo
2019-11-01,0.081181,yahoo
2019-12-01,0.007205,yahoo
2020-01-01,-0.094879,yahoo
2020-02-01,-0.113977,yahoo
2020-03-01,0.062441,yahoo
2020-04-01,0.181617,yahoo
2020-05-01,0.219895,yahoo
2020-06-01,0.074801,yahoo
2020-07-01,0.040217,yahoo
2020-08-01,0.06334,yahoo
2020-09-01,0.023724,yahoo
2020-10-01,-0.055164,yahoo
2020-11-01,0.234071,yahoo
2020-12-01,0.027004,yahoo
2021-01-01,0.082457,yahoo
2021-02-01,-0.061796,yahoo
2021-03-01,0.014499,yahoo
2021-04-01,-0.07697,yahoo
2021-05-01,0.068348,yahoo
2021-06-01,0.207661,yahoo
2021-07-01,0.037374,yahoo
2021-08-01,0.011238,yahoo
2021-09-01,-0.014381,yahoo
2021-10-01,0.135798,yahoo
2021-11-01,0.038978,yahoo
2021-12-01,0.22931,yahoo
2022-01-01,-0.183907,yahoo
2022-02-01,-0.042997,yahoo
2022-03-01,0.049466,yahoo
2022-04-01,-0.190071,yahoo
2022-05-01,0.018423,yahoo
2022-06-01,-0.264074,yahoo
2022-07-01,0.279118,yahoo
2022-08-01,-0.159124,yahoo
2022-09-01,-0.083511,yahoo
2022-10-01,-0.075274,yahoo
2022-11-01,0.172379,yahoo
2022-12-01,-0.203783,yahoo
2023-01-01,0.164957,yahoo
2023-02-01,0.04635,yahoo
2023-03-01,-0.040975,yahoo
2023-04-01,-0.088222,yahoo
2023-05-01,0.48151,yahoo
2023-06-01,0.022055,yahoo
2023-07-01,0.089495,yahoo
2023-08-01,-0.105635,yahoo
2023-09-01,-0.07073,yahoo
2023-10-01,-0.127656,yahoo
2023-11-01,0.18022,yahoo
2023-12-01,0.082182,yahoo
2024-01-01,0.122534,yahoo
2024-02-01,0.058493,yahoo
2024-03-01,-0.010885,yahoo
2024-04-01,-0.070118,yahoo
2024-05-01,0.043999,yahoo
2024-06-01,0.015841,yahoo
2024-07-01,-0.041774,yahoo
2024-08-01,0.13825,yahoo
2024-09-01,-0.05404,yahoo
2024-10-01,0.110788,yahoo
2024-11-01,0.157034,yahoo
2024-12-01,0.191606,yahoo
2025-01-01,0.02182,yahoo
2025-02-01,-0.186426,yahoo
2025-03-01,-0.329449,yahoo
2025-04-01,-0.051973,yahoo
2025-05-01,0.03118,yahoo
2025-06-01,0.285928,yahoo
2025-07-01,0.038372,yahoo
2025-08-01,-0.217743,yahoo
2025-09-01,0.337204,yahoo
2025-10-01,0.115023,yahoo
2025-11-01,-0.046298,yahoo
2025-12-01,-0.049441,yahoo
2026-01-01,-0.071311,yahoo
2026-02-01,0.035099,yahoo
2026-03-01,0.212511,yahoo
2026-04-01,0.66734,yahoo
2026-05-01,0.241296,yahoo
2026-06-01,0.453122,yahoo
2026-07-01,-0.208399,yahoo
