date,monthly_return,source
2016-07-01,-0.001454,yahoo
2016-08-01,0.200146,yahoo
2016-09-01,0.078229,yahoo
2016-10-01,-0.034871,yahoo
2016-11-01,0.138112,yahoo
2016-12-01,0.122376,yahoo
2017-01-01,0.099909,yahoo
2017-02-01,-0.027789,yahoo
2017-03-01,0.232935,yahoo
2017-04-01,-0.042561,yahoo
2017-05-01,0.112035,yahoo
2017-06-01,-0.029574,yahoo
2017-07-01,-0.058272,yahoo
2017-08-01,0.136913,yahoo
2017-09-01,0.230216,yahoo
2017-10-01,0.126621,yahoo
2017-11-01,-0.043331,yahoo
2017-12-01,-0.02996,yahoo
2018-01-01,0.06323,yahoo
2018-02-01,0.116423,yahoo
2018-03-01,0.068224,yahoo
2018-04-01,-0.118143,yahoo
2018-05-01,0.252501,yahoo
2018-06-01,-0.089425,yahoo
2018-07-01,0.006674,yahoo
2018-08-01,-0.005115,yahoo
2018-09-01,-0.138804,yahoo
2018-10-01,-0.16604,yahoo
2018-11-01,0.022269,yahoo
2018-12-01,-0.177127,yahoo
2019-01-01,0.204538,yahoo
2019-02-01,0.069597,yahoo
2019-03-01,0.011008,yahoo
2019-04-01,0.017663,yahoo
2019-05-01,-0.224679,yahoo
2019-06-01,0.183379,yahoo
2019-07-01,0.163255,yahoo
2019-08-01,0.008465,yahoo
2019-09-01,-0.053457,yahoo
2019-10-01,0.109685,yahoo
2019-11-01,-0.000841,yahoo
2019-12-01,0.131972,yahoo
2020-01-01,-0.01283,yahoo
2020-02-01,-0.009983,yahoo
2020-03-01,-0.199772,yahoo
2020-04-01,0.138611,yahoo
2020-05-01,0.000418,yahoo
2020-06-01,0.07535,yahoo
2020-07-01,-0.028338,yahoo
2020-08-01,-0.090891,yahoo
2020-09-01,0.031861,yahoo
2020-10-01,0.071976,yahoo
2020-11-01,0.273143,yahoo
2020-12-01,0.173038,yahoo
2021-01-01,0.041101,yahoo
2021-02-01,0.169414,yahoo
2021-03-01,-0.036272,yahoo
2021-04-01,-0.02426,yahoo
2021-05-01,-0.022424,yahoo
2021-06-01,0.009983,yahoo
2021-07-01,-0.087079,yahoo
2021-08-01,-0.050013,yahoo
2021-09-01,-0.036906,yahoo
2021-10-01,-0.026486,yahoo
2021-11-01,0.21563,yahoo
2021-12-01,0.108929,yahoo
2022-01-01,-0.116801,yahoo
2022-02-01,0.080102,yahoo
2022-03-01,-0.123453,yahoo
2022-04-01,-0.124535,yahoo
2022-05-01,0.082857,yahoo
2022-06-01,-0.251354,yahoo
2022-07-01,0.11903,yahoo
2022-08-01,-0.086162,yahoo
2022-09-01,-0.113745,yahoo
2022-10-01,0.07984,yahoo
2022-11-01,0.065619,yahoo
2022-12-01,-0.133044,yahoo
2023-01-01,0.206483,yahoo
2023-02-01,-0.041128,yahoo
2023-03-01,0.043584,yahoo
2023-04-01,0.066622,yahoo
2023-05-01,0.059664,yahoo
2023-06-01,-0.074633,yahoo
2023-07-01,0.131199,yahoo
2023-08-01,-0.020311,yahoo
2023-09-01,-0.027309,yahoo
2023-10-01,-0.017051,yahoo
2023-11-01,0.138328,yahoo
2023-12-01,0.121124,yahoo
2024-01-01,0.004804,yahoo
2024-02-01,0.056676,yahoo
2024-03-01,0.301071,yahoo
2024-04-01,-0.041819,yahoo
2024-05-01,0.106586,yahoo
2024-06-01,0.05224,yahoo
2024-07-01,-0.165057,yahoo
2024-08-01,-0.123657,yahoo
2024-09-01,0.077618,yahoo
2024-10-01,-0.039148,yahoo
2024-11-01,-0.01706,yahoo
2024-12-01,-0.140786,yahoo
2025-01-01,0.084125,yahoo
2025-02-01,0.026195,yahoo
2025-03-01,-0.071985,yahoo
2025-04-01,-0.114398,yahoo
2025-05-01,0.22755,yahoo
2025-06-01,0.304785,yahoo
2025-07-01,-0.114483,yahoo
2025-08-01,0.090434,yahoo
2025-09-01,0.405932,yahoo
2025-10-01,0.337377,yahoo
2025-11-01,0.056799,yahoo
2025-12-01,0.20691,yahoo
2026-01-01,0.453628,yahoo
2026-02-01,-0.00605,yahoo
2026-03-01,-0.180736,yahoo
2026-04-01,0.530784,yahoo
2026-05-01,0.877562,yahoo
2026-06-01,0.188764,yahoo
2026-07-01,-0.14829,yahoo
