date,monthly_return,source
2016-07-01,0.069277,yahoo
2016-08-01,-0.157512,yahoo
2016-09-01,0.050432,yahoo
2016-10-01,0.031034,yahoo
2016-11-01,0.024183,yahoo
2016-12-01,0.068324,yahoo
2017-01-01,0.105102,yahoo
2017-02-01,0.078723,yahoo
2017-03-01,0.000592,yahoo
2017-04-01,0.063079,yahoo
2017-05-01,-0.073429,yahoo
2017-06-01,0.086452,yahoo
2017-07-01,0.014367,yahoo
2017-08-01,0.079717,yahoo
2017-09-01,-0.090986,yahoo
2017-10-01,0.031452,yahoo
2017-11-01,-0.02852,yahoo
2017-12-01,-0.016802,yahoo
2018-01-01,0.140657,yahoo
2018-02-01,-0.06322,yahoo
2018-03-01,-0.069069,yahoo
2018-04-01,0.009439,yahoo
2018-05-01,-0.021133,yahoo
2018-06-01,-0.097249,yahoo
2018-07-01,0.058836,yahoo
2018-08-01,0.071557,yahoo
2018-09-01,0.071255,yahoo
2018-10-01,-0.232631,yahoo
2018-11-01,0.164511,yahoo
2018-12-01,-0.174006,yahoo
2019-01-01,0.213258,yahoo
2019-02-01,0.07972,yahoo
2019-03-01,-0.010265,yahoo
2019-04-01,0.026019,yahoo
2019-05-01,-0.029793,yahoo
2019-06-01,-0.01974,yahoo
2019-07-01,-0.078128,yahoo
2019-08-01,0.026497,yahoo
2019-09-01,0.020099,yahoo
2019-10-01,-0.019509,yahoo
2019-11-01,0.056738,yahoo
2019-12-01,0.088926,yahoo
2020-01-01,-0.078069,yahoo
2020-02-01,-0.308078,yahoo
2020-03-01,-0.705851,yahoo
2020-04-01,0.49635,yahoo
2020-05-01,-0.045122,yahoo
2020-06-01,0.04917,yahoo
2020-07-01,-0.169811,yahoo
2020-08-01,0.254399,yahoo
2020-09-01,0.0,yahoo
2020-10-01,-0.028054,yahoo
2020-11-01,0.375226,yahoo
2020-12-01,0.111937,yahoo
2021-01-01,-0.10932,yahoo
2021-02-01,0.305077,yahoo
2021-03-01,-0.066644,yahoo
2021-04-01,0.125408,yahoo
2021-05-01,0.027375,yahoo
2021-06-01,-0.078056,yahoo
2021-07-01,-0.182931,yahoo
2021-08-01,0.075322,yahoo
2021-09-01,0.033669,yahoo
2021-10-01,-0.037065,yahoo
2021-11-01,-0.241446,yahoo
2021-12-01,0.063045,yahoo
2022-01-01,0.004339,yahoo
2022-02-01,-0.06433,yahoo
2022-03-01,0.122627,yahoo
2022-04-01,-0.084552,yahoo
2022-05-01,-0.200699,yahoo
2022-06-01,-0.305434,yahoo
2022-07-01,0.092626,yahoo
2022-08-01,0.076543,yahoo
2022-09-01,-0.131498,yahoo
2022-10-01,0.486796,yahoo
2022-11-01,-0.026643,yahoo
2022-12-01,-0.255474,yahoo
2023-01-01,0.242647,yahoo
2023-02-01,-0.025641,yahoo
2023-03-01,-0.092443,yahoo
2023-04-01,-0.007435,yahoo
2023-05-01,0.11236,yahoo
2023-06-01,0.465993,yahoo
2023-07-01,0.01378,yahoo
2023-08-01,-0.249207,yahoo
2023-09-01,-0.005432,yahoo
2023-10-01,-0.174757,yahoo
2023-11-01,0.122794,yahoo
2023-12-01,0.312377,yahoo
2024-01-01,-0.111777,yahoo
2024-02-01,0.089326,yahoo
2024-03-01,0.079422,yahoo
2024-04-01,-0.096034,yahoo
2024-05-01,-0.122622,yahoo
2024-06-01,0.131928,yahoo
2024-07-01,-0.019159,yahoo
2024-08-01,-0.0293,yahoo
2024-09-01,0.146451,yahoo
2024-10-01,0.235495,yahoo
2024-11-01,0.061168,yahoo
2024-12-01,-0.043139,yahoo
2025-01-01,0.101827,yahoo
2025-02-01,-0.198589,yahoo
2025-03-01,-0.165493,yahoo
2025-04-01,-0.154536,yahoo
2025-05-01,0.10106,yahoo
2025-06-01,0.149009,yahoo
2025-07-01,0.260355,yahoo
2025-08-01,-0.028169,yahoo
2025-09-01,-0.008454,yahoo
2025-10-01,-0.089728,yahoo
2025-11-01,-0.176628,yahoo
2025-12-01,0.209101,yahoo
2026-01-01,-0.016129,yahoo
2026-02-01,0.128871,yahoo
2026-03-01,-0.245664,yahoo
2026-04-01,-0.027808,yahoo
2026-05-01,0.008801,yahoo
2026-06-01,0.151036,yahoo
2026-07-01,-0.078636,yahoo
