date,monthly_return,source
2016-07-01,0.055974,yahoo
2016-08-01,0.118247,yahoo
2016-09-01,0.009116,yahoo
2016-10-01,0.005019,yahoo
2016-11-01,0.065914,yahoo
2016-12-01,0.049845,yahoo
2017-01-01,0.013208,yahoo
2017-02-01,0.057342,yahoo
2017-03-01,0.023326,yahoo
2017-04-01,0.019212,yahoo
2017-05-01,-0.074441,yahoo
2017-06-01,0.046945,yahoo
2017-07-01,0.046818,yahoo
2017-08-01,-0.13937,yahoo
2017-09-01,0.084172,yahoo
2017-10-01,0.069114,yahoo
2017-11-01,0.013182,yahoo
2017-12-01,0.140542,yahoo
2018-01-01,-0.018306,yahoo
2018-02-01,-0.067144,yahoo
2018-03-01,0.016931,yahoo
2018-04-01,-0.05677,yahoo
2018-05-01,-0.023095,yahoo
2018-06-01,0.022129,yahoo
2018-07-01,0.044389,yahoo
2018-08-01,0.036612,yahoo
2018-09-01,-0.000863,yahoo
2018-10-01,-0.116847,yahoo
2018-11-01,-0.018423,yahoo
2018-12-01,-0.008803,yahoo
2019-01-01,0.086217,yahoo
2019-02-01,0.047208,yahoo
2019-03-01,-0.023866,yahoo
2019-04-01,0.101343,yahoo
2019-05-01,-0.139294,yahoo
2019-06-01,0.1249,yahoo
2019-07-01,0.002477,yahoo
2019-08-01,-0.040237,yahoo
2019-09-01,0.075757,yahoo
2019-10-01,0.072132,yahoo
2019-11-01,0.057522,yahoo
2019-12-01,-0.018031,yahoo
2020-01-01,0.036969,yahoo
2020-02-01,-0.139524,yahoo
2020-03-01,-0.070406,yahoo
2020-04-01,0.191308,yahoo
2020-05-01,0.17053,yahoo
2020-06-01,0.007221,yahoo
2020-07-01,0.020663,yahoo
2020-08-01,-0.036874,yahoo
2020-09-01,0.028581,yahoo
2020-10-01,0.008393,yahoo
2020-11-01,0.053663,yahoo
2020-12-01,-0.014033,yahoo
2021-01-01,-0.109281,yahoo
2021-02-01,0.074976,yahoo
2021-03-01,0.032587,yahoo
2021-04-01,0.064073,yahoo
2021-05-01,0.048626,yahoo
2021-06-01,-0.009834,yahoo
2021-07-01,0.030158,yahoo
2021-08-01,0.055145,yahoo
2021-09-01,-0.001886,yahoo
2021-10-01,0.067437,yahoo
2021-11-01,-7.9e-05,yahoo
2021-12-01,0.004249,yahoo
2022-01-01,-0.089043,yahoo
2022-02-01,-0.026017,yahoo
2022-03-01,0.002605,yahoo
2022-04-01,-0.050159,yahoo
2022-05-01,0.010153,yahoo
2022-06-01,-0.070865,yahoo
2022-07-01,0.141029,yahoo
2022-08-01,-0.016538,yahoo
2022-09-01,-0.06559,yahoo
2022-10-01,0.059971,yahoo
2022-11-01,0.051067,yahoo
2022-12-01,0.005201,yahoo
2023-01-01,0.023473,yahoo
2023-02-01,-0.097246,yahoo
2023-03-01,0.011929,yahoo
2023-04-01,-0.02677,yahoo
2023-05-01,0.007489,yahoo
2023-06-01,0.138806,yahoo
2023-07-01,0.013821,yahoo
2023-08-01,-0.029689,yahoo
2023-09-01,-0.085893,yahoo
2023-10-01,-0.047408,yahoo
2023-11-01,0.107014,yahoo
2023-12-01,0.122461,yahoo
2024-01-01,-0.047093,yahoo
2024-02-01,0.055339,yahoo
2024-03-01,0.033465,yahoo
2024-04-01,-0.059554,yahoo
2024-05-01,-0.090902,yahoo
2024-06-01,-0.011844,yahoo
2024-07-01,0.079288,yahoo
2024-08-01,0.024887,yahoo
2024-09-01,0.023659,yahoo
2024-10-01,-0.056125,yahoo
2024-11-01,0.052846,yahoo
2024-12-01,-0.198283,yahoo
2025-01-01,0.052476,yahoo
2025-02-01,-0.045091,yahoo
2025-03-01,-0.040753,yahoo
2025-04-01,-0.060232,yahoo
2025-05-01,0.118268,yahoo
2025-06-01,0.011227,yahoo
2025-07-01,-0.000746,yahoo
2025-08-01,0.050791,yahoo
2025-09-01,0.008263,yahoo
2025-10-01,0.022031,yahoo
2025-11-01,0.024617,yahoo
2025-12-01,0.011655,yahoo
2026-01-01,0.141829,yahoo
2026-02-01,0.068881,yahoo
2026-03-01,-0.093307,yahoo
2026-04-01,0.084154,yahoo
2026-05-01,-0.003883,yahoo
2026-06-01,0.049977,yahoo
2026-07-01,-0.038516,yahoo
