date,monthly_return,source
2016-07-01,0.137255,yahoo
2016-08-01,-0.260057,yahoo
2016-09-01,0.087379,yahoo
2016-10-01,-0.107143,yahoo
2016-11-01,-0.084,yahoo
2016-12-01,-0.004367,yahoo
2017-01-01,0.166667,yahoo
2017-02-01,-0.005639,yahoo
2017-03-01,-0.079395,yahoo
2017-04-01,-0.141684,yahoo
2017-05-01,-0.059809,yahoo
2017-06-01,0.160305,yahoo
2017-07-01,-0.019737,yahoo
2017-08-01,-0.024608,yahoo
2017-09-01,-0.055046,yahoo
2017-10-01,-0.012136,yahoo
2017-11-01,-0.054054,yahoo
2017-12-01,0.020779,yahoo
2018-01-01,-0.053435,yahoo
2018-02-01,0.064516,yahoo
2018-03-01,0.093434,yahoo
2018-04-01,0.103926,yahoo
2018-05-01,0.012552,yahoo
2018-06-01,-0.080579,yahoo
2018-07-01,-0.031461,yahoo
2018-08-01,-0.148492,yahoo
2018-09-01,0.010899,yahoo
2018-10-01,0.086253,yahoo
2018-11-01,-0.08933,yahoo
2018-12-01,0.076294,yahoo
2019-01-01,-0.01519,yahoo
2019-02-01,0.020566,yahoo
2019-03-01,0.050378,yahoo
2019-04-01,-0.040767,yahoo
2019-05-01,0.0125,yahoo
2019-06-01,0.459259,yahoo
2019-07-01,0.043993,yahoo
2019-08-01,0.205835,yahoo
2019-09-01,-0.18414,yahoo
2019-10-01,0.199341,yahoo
2019-11-01,-0.043956,yahoo
2019-12-01,0.287356,yahoo
2020-01-01,0.017857,yahoo
2020-02-01,-0.125,yahoo
2020-03-01,-0.075188,yahoo
2020-04-01,0.51626,yahoo
2020-05-01,-0.145666,yahoo
2020-06-01,-0.039749,yahoo
2020-07-01,-0.006536,yahoo
2020-08-01,0.161184,yahoo
2020-09-01,0.122757,yahoo
2020-10-01,-0.12868,yahoo
2020-11-01,-0.03861,yahoo
2020-12-01,-0.029116,yahoo
2021-01-01,-0.056877,yahoo
2021-02-01,-0.08443,yahoo
2021-03-01,0.049102,yahoo
2021-04-01,0.026256,yahoo
2021-05-01,0.141268,yahoo
2021-06-01,-0.219298,yahoo
2021-07-01,-0.02372,yahoo
2021-08-01,-0.075448,yahoo
2021-09-01,-0.048409,yahoo
2021-10-01,0.0625,yahoo
2021-11-01,-0.076607,yahoo
2021-12-01,0.016296,yahoo
2022-01-01,-0.037901,yahoo
2022-02-01,0.057576,yahoo
2022-03-01,0.10745,yahoo
2022-04-01,-0.195343,yahoo
2022-05-01,-0.101286,yahoo
2022-06-01,-0.139535,yahoo
2022-07-01,0.014553,yahoo
2022-08-01,-0.092213,yahoo
2022-09-01,0.058691,yahoo
2022-10-01,-0.012793,yahoo
2022-11-01,0.24622,yahoo
2022-12-01,0.036395,yahoo
2023-01-01,0.055184,yahoo
2023-02-01,-0.114105,yahoo
2023-03-01,0.112701,yahoo
2023-04-01,-0.125402,yahoo
2023-05-01,-0.053309,yahoo
2023-06-01,-0.225243,yahoo
2023-07-01,0.130326,yahoo
2023-08-01,-0.086475,yahoo
2023-09-01,-0.067961,yahoo
2023-10-01,-0.083333,yahoo
2023-11-01,0.193182,yahoo
2023-12-01,-0.109524,yahoo
2024-01-01,-0.315508,yahoo
2024-02-01,-0.03125,yahoo
2024-03-01,0.209677,yahoo
2024-04-01,-0.033333,yahoo
2024-05-01,0.355172,yahoo
2024-06-01,-0.119593,yahoo
2024-07-01,0.381503,yahoo
2024-08-01,-0.110879,yahoo
2024-09-01,-0.035294,yahoo
2024-10-01,-0.156098,yahoo
2024-11-01,0.057803,yahoo
2024-12-01,-0.090164,yahoo
2025-01-01,-0.06006,yahoo
2025-02-01,-0.041534,yahoo
2025-03-01,-0.026667,yahoo
2025-04-01,0.44863,yahoo
2025-05-01,-0.153664,yahoo
2025-06-01,0.142458,yahoo
2025-07-01,0.268949,yahoo
2025-08-01,0.317919,yahoo
2025-09-01,0.28655,yahoo
2025-10-01,-0.057955,yahoo
2025-11-01,0.229192,yahoo
2025-12-01,-0.085378,yahoo
2026-01-01,-0.063305,yahoo
2026-02-01,0.525773,yahoo
2026-03-01,-0.325826,yahoo
2026-04-01,-0.10245,yahoo
2026-05-01,0.063275,yahoo
2026-06-01,-0.303384,yahoo
2026-07-01,-0.008375,yahoo
