date,monthly_return,source
2016-07-01,0.005435,yahoo
2016-08-01,0.038559,yahoo
2016-09-01,-0.086572,yahoo
2016-10-01,-0.046914,yahoo
2016-11-01,-0.002192,yahoo
2016-12-01,0.015179,yahoo
2017-01-01,0.040724,yahoo
2017-02-01,0.080529,yahoo
2017-03-01,-0.025018,yahoo
2017-04-01,-0.005742,yahoo
2017-05-01,-0.043674,yahoo
2017-06-01,0.113418,yahoo
2017-07-01,0.000847,yahoo
2017-08-01,-0.105673,yahoo
2017-09-01,-0.018178,yahoo
2017-10-01,0.060559,yahoo
2017-11-01,0.098745,yahoo
2017-12-01,0.035253,yahoo
2018-01-01,0.090648,yahoo
2018-02-01,-0.017444,yahoo
2018-03-01,-0.008802,yahoo
2018-04-01,0.02935,yahoo
2018-05-01,0.049861,yahoo
2018-06-01,0.109749,yahoo
2018-07-01,-0.034764,yahoo
2018-08-01,0.068782,yahoo
2018-09-01,0.030657,yahoo
2018-10-01,-0.114259,yahoo
2018-11-01,0.001066,yahoo
2018-12-01,-0.013046,yahoo
2019-01-01,0.104397,yahoo
2019-02-01,0.04702,yahoo
2019-03-01,-0.01773,yahoo
2019-04-01,0.042988,yahoo
2019-05-01,-0.121712,yahoo
2019-06-01,0.088281,yahoo
2019-07-01,0.024777,yahoo
2019-08-01,-0.017784,yahoo
2019-09-01,0.111479,yahoo
2019-10-01,-0.046529,yahoo
2019-11-01,0.043998,yahoo
2019-12-01,0.083645,yahoo
2020-01-01,-0.049452,yahoo
2020-02-01,-0.071859,yahoo
2020-03-01,-0.07429,yahoo
2020-04-01,0.053662,yahoo
2020-05-01,0.130764,yahoo
2020-06-01,-0.005376,yahoo
2020-07-01,-0.004488,yahoo
2020-08-01,0.146296,yahoo
2020-09-01,0.121995,yahoo
2020-10-01,-0.043492,yahoo
2020-11-01,0.121752,yahoo
2020-12-01,0.05026,yahoo
2021-01-01,-0.055701,yahoo
2021-02-01,0.008908,yahoo
2021-03-01,-0.014023,yahoo
2021-04-01,-0.002032,yahoo
2021-05-01,0.028955,yahoo
2021-06-01,0.132127,yahoo
2021-07-01,0.084277,yahoo
2021-08-01,-0.016536,yahoo
2021-09-01,-0.118429,yahoo
2021-10-01,0.151897,yahoo
2021-11-01,0.011656,yahoo
2021-12-01,-0.015186,yahoo
2022-01-01,-0.111598,yahoo
2022-02-01,-0.077801,yahoo
2022-03-01,-0.014573,yahoo
2022-04-01,-0.073276,yahoo
2022-05-01,-0.046913,yahoo
2022-06-01,-0.140093,yahoo
2022-07-01,0.124462,yahoo
2022-08-01,-0.073703,yahoo
2022-09-01,-0.219164,yahoo
2022-10-01,0.115014,yahoo
2022-11-01,0.183535,yahoo
2022-12-01,0.066734,yahoo
2023-01-01,0.088198,yahoo
2023-02-01,-0.06707,yahoo
2023-03-01,0.03241,yahoo
2023-04-01,0.033268,yahoo
2023-05-01,-0.16935,yahoo
2023-06-01,0.048546,yahoo
2023-07-01,0.000181,yahoo
2023-08-01,-0.07863,yahoo
2023-09-01,-0.059876,yahoo
2023-10-01,0.074775,yahoo
2023-11-01,0.072978,yahoo
2023-12-01,-0.015417,yahoo
2024-01-01,-0.064843,yahoo
2024-02-01,0.023638,yahoo
2024-03-01,-0.095737,yahoo
2024-04-01,-0.018302,yahoo
2024-05-01,0.030241,yahoo
2024-06-01,-0.207049,yahoo
2024-07-01,-0.006767,yahoo
2024-08-01,0.113011,yahoo
2024-09-01,0.06097,yahoo
2024-10-01,-0.127489,yahoo
2024-11-01,0.021263,yahoo
2024-12-01,-0.039355,yahoo
2025-01-01,0.016255,yahoo
2025-02-01,0.0329,yahoo
2025-03-01,-0.200806,yahoo
2025-04-01,-0.111531,yahoo
2025-05-01,0.074291,yahoo
2025-06-01,0.172471,yahoo
2025-07-01,0.05138,yahoo
2025-08-01,0.035882,yahoo
2025-09-01,-0.098746,yahoo
2025-10-01,-0.073713,yahoo
2025-11-01,0.000619,yahoo
2025-12-01,-0.014235,yahoo
2026-01-01,-0.029823,yahoo
2026-02-01,0.005986,yahoo
2026-03-01,-0.150531,yahoo
2026-04-01,-0.160167,yahoo
2026-05-01,0.042155,yahoo
2026-06-01,-0.112048,yahoo
2026-07-01,0.058953,yahoo
