date,monthly_return,source
2016-07-01,0.08561,yahoo
2016-08-01,-0.095638,yahoo
2016-09-01,0.019377,yahoo
2016-10-01,-0.012134,yahoo
2016-11-01,0.273081,yahoo
2016-12-01,-0.042933,yahoo
2017-01-01,-0.024026,yahoo
2017-02-01,0.077122,yahoo
2017-03-01,-0.045549,yahoo
2017-04-01,0.026959,yahoo
2017-05-01,-0.052666,yahoo
2017-06-01,-0.003959,yahoo
2017-07-01,-0.003456,yahoo
2017-08-01,-0.04439,yahoo
2017-09-01,0.016875,yahoo
2017-10-01,0.031941,yahoo
2017-11-01,-0.005706,yahoo
2017-12-01,0.105739,yahoo
2018-01-01,0.053161,yahoo
2018-02-01,-0.023297,yahoo
2018-03-01,-0.065902,yahoo
2018-04-01,0.008676,yahoo
2018-05-01,0.041707,yahoo
2018-06-01,-0.026328,yahoo
2018-07-01,0.07088,yahoo
2018-08-01,-0.066189,yahoo
2018-09-01,0.0152,yahoo
2018-10-01,-0.068243,yahoo
2018-11-01,0.02182,yahoo
2018-12-01,-0.142361,yahoo
2019-01-01,0.182011,yahoo
2019-02-01,-0.010941,yahoo
2019-03-01,-0.036652,yahoo
2019-04-01,-0.021937,yahoo
2019-05-01,-0.158928,yahoo
2019-06-01,0.147917,yahoo
2019-07-01,-0.013067,yahoo
2019-08-01,-0.099301,yahoo
2019-09-01,0.039404,yahoo
2019-10-01,0.057749,yahoo
2019-11-01,0.046611,yahoo
2019-12-01,-0.001419,yahoo
2020-01-01,-0.156183,yahoo
2020-02-01,-0.12929,yahoo
2020-03-01,-0.1289,yahoo
2020-04-01,0.143531,yahoo
2020-05-01,0.025977,yahoo
2020-06-01,-0.020114,yahoo
2020-07-01,0.01304,yahoo
2020-08-01,0.083671,yahoo
2020-09-01,-0.013198,yahoo
2020-10-01,0.064646,yahoo
2020-11-01,0.124372,yahoo
2020-12-01,-0.009497,yahoo
2021-01-01,-0.08385,yahoo
2021-02-01,0.227581,yahoo
2021-03-01,0.341859,yahoo
2021-04-01,0.024791,yahoo
2021-05-01,0.246535,yahoo
2021-06-01,-0.064463,yahoo
2021-07-01,0.084332,yahoo
2021-08-01,0.130167,yahoo
2021-09-01,-0.162215,yahoo
2021-10-01,0.133618,yahoo
2021-11-01,-0.048276,yahoo
2021-12-01,0.074252,yahoo
2022-01-01,-0.111695,yahoo
2022-02-01,0.298028,yahoo
2022-03-01,0.129388,yahoo
2022-04-01,0.041238,yahoo
2022-05-01,-0.144205,yahoo
2022-06-01,-0.211762,yahoo
2022-07-01,0.300642,yahoo
2022-08-01,-0.02106,yahoo
2022-09-01,-0.195201,yahoo
2022-10-01,0.227965,yahoo
2022-11-01,0.141346,yahoo
2022-12-01,-0.120974,yahoo
2023-01-01,0.2823,yahoo
2023-02-01,-0.009348,yahoo
2023-03-01,-0.077461,yahoo
2023-04-01,-0.04072,yahoo
2023-05-01,-0.108787,yahoo
2023-06-01,0.241708,yahoo
2023-07-01,0.049457,yahoo
2023-08-01,5.8e-05,yahoo
2023-09-01,-0.091517,yahoo
2023-10-01,-0.054749,yahoo
2023-11-01,0.150078,yahoo
2023-12-01,0.023945,yahoo
2024-01-01,0.074063,yahoo
2024-02-01,0.028727,yahoo
2024-03-01,0.029121,yahoo
2024-04-01,-0.148408,yahoo
2024-05-01,0.001899,yahoo
2024-06-01,-0.063784,yahoo
2024-07-01,0.030744,yahoo
2024-08-01,-0.067694,yahoo
2024-09-01,-0.010335,yahoo
2024-10-01,-0.056539,yahoo
2024-11-01,0.090595,yahoo
2024-12-01,-0.245523,yahoo
2025-01-01,0.10042,yahoo
2025-02-01,0.070389,yahoo
2025-03-01,-0.124609,yahoo
2025-04-01,-0.00806,yahoo
2025-05-01,-0.083857,yahoo
2025-06-01,0.184528,yahoo
2025-07-01,0.104447,yahoo
2025-08-01,0.039561,yahoo
2025-09-01,-0.089424,yahoo
2025-10-01,0.107953,yahoo
2025-11-01,0.062912,yahoo
2025-12-01,0.022697,yahoo
2026-01-01,0.089571,yahoo
2026-02-01,-0.004727,yahoo
2026-03-01,-0.043985,yahoo
2026-04-01,0.332288,yahoo
2026-05-01,0.109681,yahoo
2026-06-01,-0.109,yahoo
2026-07-01,0.020741,yahoo
