date,monthly_return,source
2016-07-01,-0.042318,yahoo
2016-08-01,-0.010674,yahoo
2016-09-01,-0.027822,yahoo
2016-10-01,-0.071268,yahoo
2016-11-01,0.047275,yahoo
2016-12-01,0.046395,yahoo
2017-01-01,0.113241,yahoo
2017-02-01,0.041426,yahoo
2017-03-01,0.088844,yahoo
2017-04-01,0.002074,yahoo
2017-05-01,0.081056,yahoo
2017-06-01,0.056183,yahoo
2017-07-01,0.082896,yahoo
2017-08-01,0.042296,yahoo
2017-09-01,0.049304,yahoo
2017-10-01,0.149342,yahoo
2017-11-01,0.059009,yahoo
2017-12-01,0.00956,yahoo
2018-01-01,-0.094079,yahoo
2018-02-01,-0.105407,yahoo
2018-03-01,-0.015184,yahoo
2018-04-01,0.107143,yahoo
2018-05-01,-0.03531,yahoo
2018-06-01,-0.006751,yahoo
2018-07-01,-0.071009,yahoo
2018-08-01,-0.032971,yahoo
2018-09-01,-0.074069,yahoo
2018-10-01,-0.093804,yahoo
2018-11-01,0.094224,yahoo
2018-12-01,-0.00531,yahoo
2019-01-01,0.09151,yahoo
2019-02-01,-0.015038,yahoo
2019-03-01,0.056107,yahoo
2019-04-01,0.139313,yahoo
2019-05-01,0.015572,yahoo
2019-06-01,0.052687,yahoo
2019-07-01,-0.007747,yahoo
2019-08-01,0.076211,yahoo
2019-09-01,0.032884,yahoo
2019-10-01,-0.021725,yahoo
2019-11-01,0.042705,yahoo
2019-12-01,0.004357,yahoo
2020-01-01,0.002248,yahoo
2020-02-01,-0.039243,yahoo
2020-03-01,-0.299432,yahoo
2020-04-01,0.206643,yahoo
2020-05-01,0.039229,yahoo
2020-06-01,0.011528,yahoo
2020-07-01,0.20603,yahoo
2020-08-01,0.060606,yahoo
2020-09-01,-0.020445,yahoo
2020-10-01,-0.031846,yahoo
2020-11-01,0.011153,yahoo
2020-12-01,0.020685,yahoo
2021-01-01,0.089861,yahoo
2021-02-01,0.012225,yahoo
2021-03-01,0.046678,yahoo
2021-04-01,0.065204,yahoo
2021-05-01,-0.02608,yahoo
2021-06-01,0.017611,yahoo
2021-07-01,0.050128,yahoo
2021-08-01,-0.008168,yahoo
2021-09-01,-0.074491,yahoo
2021-10-01,0.021009,yahoo
2021-11-01,0.067529,yahoo
2021-12-01,0.130811,yahoo
2022-01-01,-0.098437,yahoo
2022-02-01,-0.069226,yahoo
2022-03-01,-0.099057,yahoo
2022-04-01,-0.020384,yahoo
2022-05-01,0.017003,yahoo
2022-06-01,-0.100319,yahoo
2022-07-01,0.09714,yahoo
2022-08-01,-0.057599,yahoo
2022-09-01,-0.036951,yahoo
2022-10-01,0.062871,yahoo
2022-11-01,0.094687,yahoo
2022-12-01,-0.005697,yahoo
2023-01-01,0.142528,yahoo
2023-02-01,-0.018288,yahoo
2023-03-01,0.077039,yahoo
2023-04-01,0.048062,yahoo
2023-05-01,-0.048935,yahoo
2023-06-01,0.143386,yahoo
2023-07-01,-0.006957,yahoo
2023-08-01,0.011241,yahoo
2023-09-01,-0.064922,yahoo
2023-10-01,-0.092345,yahoo
2023-11-01,0.137229,yahoo
2023-12-01,0.137288,yahoo
2024-01-01,0.010691,yahoo
2024-02-01,0.077775,yahoo
2024-03-01,0.06221,yahoo
2024-04-01,-0.081619,yahoo
2024-05-01,0.032516,yahoo
2024-06-01,-0.012,yahoo
2024-07-01,0.134271,yahoo
2024-08-01,0.065638,yahoo
2024-09-01,0.069702,yahoo
2024-10-01,-0.067163,yahoo
2024-11-01,0.009043,yahoo
2024-12-01,-0.114414,yahoo
2025-01-01,-0.019895,yahoo
2025-02-01,-0.096131,yahoo
2025-03-01,-0.000164,yahoo
2025-04-01,-0.016377,yahoo
2025-05-01,-0.001378,yahoo
2025-06-01,0.037905,yahoo
2025-07-01,0.022182,yahoo
2025-08-01,0.075258,yahoo
2025-09-01,-0.010223,yahoo
2025-10-01,-0.102536,yahoo
2025-11-01,0.041115,yahoo
2025-12-01,-0.028575,yahoo
2026-01-01,0.047027,yahoo
2026-02-01,-0.015446,yahoo
2026-03-01,-0.123435,yahoo
2026-04-01,-0.041573,yahoo
2026-05-01,-0.033419,yahoo
2026-06-01,0.116073,yahoo
2026-07-01,-0.049022,yahoo
