date,monthly_return,source
2016-07-01,0.000313,yahoo
2016-08-01,-0.031279,yahoo
2016-09-01,-0.012431,yahoo
2016-10-01,0.015531,yahoo
2016-11-01,-0.053445,yahoo
2016-12-01,0.033503,yahoo
2017-01-01,0.01843,yahoo
2017-02-01,0.078526,yahoo
2017-03-01,-0.005843,yahoo
2017-04-01,0.010398,yahoo
2017-05-01,0.019836,yahoo
2017-06-01,-0.029394,yahoo
2017-07-01,0.019888,yahoo
2017-08-01,0.03974,yahoo
2017-09-01,-0.032538,yahoo
2017-10-01,-0.151564,yahoo
2017-11-01,-0.061104,yahoo
2017-12-01,-0.173488,yahoo
2018-01-01,-0.053536,yahoo
2018-02-01,-0.031581,yahoo
2018-03-01,0.069117,yahoo
2018-04-01,0.049397,yahoo
2018-05-01,-0.060087,yahoo
2018-06-01,-0.017771,yahoo
2018-07-01,0.012218,yahoo
2018-08-01,0.071959,yahoo
2018-09-01,-0.003681,yahoo
2018-10-01,0.017388,yahoo
2018-11-01,-0.436445,yahoo
2018-12-01,-0.099697,yahoo
2019-01-01,-0.452632,yahoo
2019-02-01,0.31,yahoo
2019-03-01,0.045214,yahoo
2019-04-01,0.265169,yahoo
2019-05-01,-0.240675,yahoo
2019-06-01,0.340351,yahoo
2019-07-01,-0.208988,yahoo
2019-08-01,-0.423607,yahoo
2019-09-01,-0.043062,yahoo
2019-10-01,-0.383,yahoo
2019-11-01,0.209076,yahoo
2019-12-01,0.457105,yahoo
2020-01-01,0.399264,yahoo
2020-02-01,0.019066,yahoo
2020-03-01,-0.42,yahoo
2020-04-01,0.183537,yahoo
2020-05-01,0.114662,yahoo
2020-06-01,-0.252108,yahoo
2020-07-01,0.054115,yahoo
2020-08-01,-0.009626,yahoo
2020-09-01,0.014039,yahoo
2020-10-01,0.018104,yahoo
2020-11-01,0.328452,yahoo
2020-12-01,-0.018898,yahoo
2021-01-01,-0.082665,yahoo
2021-02-01,-0.08049,yahoo
2021-03-01,0.114177,yahoo
2021-04-01,-0.033305,yahoo
2021-05-01,-0.10424,yahoo
2021-06-01,0.002959,yahoo
2021-07-01,-0.135693,yahoo
2021-08-01,0.043231,yahoo
2021-09-01,0.046892,yahoo
2021-10-01,0.208333,yahoo
2021-11-01,0.024138,yahoo
2021-12-01,0.021886,yahoo
2022-01-01,0.053542,yahoo
2022-02-01,-0.111024,yahoo
2022-03-01,0.050132,yahoo
2022-04-01,0.059464,yahoo
2022-05-01,-0.035573,yahoo
2022-06-01,-0.181967,yahoo
2022-07-01,0.088176,yahoo
2022-08-01,0.135359,yahoo
2022-09-01,0.013788,yahoo
2022-10-01,0.1944,yahoo
2022-11-01,0.051574,yahoo
2022-12-01,0.035669,yahoo
2023-01-01,-0.02214,yahoo
2023-02-01,-0.01761,yahoo
2023-03-01,0.035211,yahoo
2023-04-01,0.058132,yahoo
2023-05-01,-0.009936,yahoo
2023-06-01,0.020071,yahoo
2023-07-01,0.019097,yahoo
2023-08-01,-0.07439,yahoo
2023-09-01,-0.010429,yahoo
2023-10-01,0.010539,yahoo
2023-11-01,0.053374,yahoo
2023-12-01,0.050087,yahoo
2024-01-01,-0.064337,yahoo
2024-02-01,-0.01067,yahoo
2024-03-01,0.004194,yahoo
2024-04-01,0.020883,yahoo
2024-05-01,0.083577,yahoo
2024-06-01,-0.058253,yahoo
2024-07-01,0.045246,yahoo
2024-08-01,0.079452,yahoo
2024-09-01,0.003553,yahoo
2024-10-01,0.022762,yahoo
2024-11-01,0.069733,yahoo
2024-12-01,-0.067036,yahoo
2025-01-01,-0.22448,yahoo
2025-02-01,0.044089,yahoo
2025-03-01,0.051408,yahoo
2025-04-01,-0.038417,yahoo
2025-05-01,0.021792,yahoo
2025-06-01,-0.174171,yahoo
2025-07-01,0.005739,yahoo
2025-08-01,0.089872,yahoo
2025-09-01,-0.013089,yahoo
2025-10-01,0.058355,yahoo
2025-11-01,0.010025,yahoo
2025-12-01,-0.003102,yahoo
2026-01-01,-0.040448,yahoo
2026-02-01,0.232166,yahoo
2026-03-01,-0.075263,yahoo
2026-04-01,-0.054069,yahoo
2026-05-01,-0.016847,yahoo
2026-06-01,0.029376,yahoo
2026-07-01,0.076694,yahoo
