date,monthly_return,source
2016-07-01,0.056826,yahoo
2016-08-01,0.073036,yahoo
2016-09-01,0.024484,yahoo
2016-10-01,-0.022146,yahoo
2016-11-01,0.131813,yahoo
2016-12-01,0.007702,yahoo
2017-01-01,0.050929,yahoo
2017-02-01,0.052403,yahoo
2017-03-01,0.035391,yahoo
2017-04-01,0.002994,yahoo
2017-05-01,-0.020709,yahoo
2017-06-01,0.014924,yahoo
2017-07-01,0.038543,yahoo
2017-08-01,-0.030666,yahoo
2017-09-01,0.087824,yahoo
2017-10-01,0.043366,yahoo
2017-11-01,0.026724,yahoo
2017-12-01,0.064483,yahoo
2018-01-01,0.009219,yahoo
2018-02-01,-0.113941,yahoo
2018-03-01,-0.041688,yahoo
2018-04-01,-0.037479,yahoo
2018-05-01,0.038148,yahoo
2018-06-01,-0.088063,yahoo
2018-07-01,0.084697,yahoo
2018-08-01,0.038746,yahoo
2018-09-01,0.047437,yahoo
2018-10-01,-0.17561,yahoo
2018-11-01,0.134604,yahoo
2018-12-01,-0.133109,yahoo
2019-01-01,0.105069,yahoo
2019-02-01,0.068867,yahoo
2019-03-01,-0.025772,yahoo
2019-04-01,0.055122,yahoo
2019-05-01,-0.158825,yahoo
2019-06-01,0.116137,yahoo
2019-07-01,0.029822,yahoo
2019-08-01,-0.053176,yahoo
2019-09-01,0.089522,yahoo
2019-10-01,0.015946,yahoo
2019-11-01,0.083383,yahoo
2019-12-01,0.035364,yahoo
2020-01-01,-0.049218,yahoo
2020-02-01,-0.055803,yahoo
2020-03-01,-0.297884,yahoo
2020-04-01,0.218839,yahoo
2020-05-01,0.138186,yahoo
2020-06-01,0.018336,yahoo
2020-07-01,-0.023736,yahoo
2020-08-01,0.151408,yahoo
2020-09-01,-0.017815,yahoo
2020-10-01,0.029752,yahoo
2020-11-01,0.282684,yahoo
2020-12-01,0.01927,yahoo
2021-01-01,-0.028633,yahoo
2021-02-01,0.084464,yahoo
2021-03-01,0.099212,yahoo
2021-04-01,-0.005136,yahoo
2021-05-01,-0.018036,yahoo
2021-06-01,-0.003375,yahoo
2021-07-01,0.01602,yahoo
2021-08-01,-0.049226,yahoo
2021-09-01,-0.057471,yahoo
2021-10-01,0.06069,yahoo
2021-11-01,0.018443,yahoo
2021-12-01,0.053168,yahoo
2022-01-01,-0.025493,yahoo
2022-02-01,-0.043934,yahoo
2022-03-01,-0.042613,yahoo
2022-04-01,-0.045602,yahoo
2022-05-01,0.004985,yahoo
2022-06-01,-0.095969,yahoo
2022-07-01,0.174924,yahoo
2022-08-01,-0.08333,yahoo
2022-09-01,-0.085623,yahoo
2022-10-01,0.199373,yahoo
2022-11-01,0.028628,yahoo
2022-12-01,-0.026561,yahoo
2023-01-01,0.120275,yahoo
2023-02-01,0.079294,yahoo
2023-03-01,-0.044735,yahoo
2023-04-01,-0.033412,yahoo
2023-05-01,-0.013667,yahoo
2023-06-01,0.217201,yahoo
2023-07-01,0.0512,yahoo
2023-08-01,0.016804,yahoo
2023-09-01,-0.065675,yahoo
2023-10-01,-0.052911,yahoo
2023-11-01,0.174216,yahoo
2023-12-01,0.06353,yahoo
2024-01-01,0.008248,yahoo
2024-02-01,0.152745,yahoo
2024-03-01,0.037987,yahoo
2024-04-01,-0.019576,yahoo
2024-05-01,-0.024573,yahoo
2024-06-01,-0.048371,yahoo
2024-07-01,0.109428,yahoo
2024-08-01,0.06957,yahoo
2024-09-01,0.052682,yahoo
2024-10-01,0.003561,yahoo
2024-11-01,0.108553,yahoo
2024-12-01,-0.095134,yahoo
2025-01-01,0.111661,yahoo
2025-02-01,-0.054508,yahoo
2025-03-01,-0.090739,yahoo
2025-04-01,-0.00459,yahoo
2025-05-01,0.098569,yahoo
2025-06-01,0.050805,yahoo
2025-07-01,0.047862,yahoo
2025-08-01,0.037505,yahoo
2025-09-01,-0.00158,yahoo
2025-10-01,0.019363,yahoo
2025-11-01,0.114993,yahoo
2025-12-01,0.02003,yahoo
2026-01-01,0.064713,yahoo
2026-02-01,0.078368,yahoo
2026-03-01,-0.112904,yahoo
2026-04-01,0.015839,yahoo
2026-05-01,-0.071243,yahoo
2026-06-01,0.158046,yahoo
2026-07-01,-0.027941,yahoo
