date,monthly_return,source
2016-07-01,-0.014353,yahoo
2016-08-01,-0.003291,yahoo
2016-09-01,-0.027119,yahoo
2016-10-01,-0.008023,yahoo
2016-11-01,-0.084612,yahoo
2016-12-01,0.036362,yahoo
2017-01-01,0.050716,yahoo
2017-02-01,0.137522,yahoo
2017-03-01,0.032465,yahoo
2017-04-01,-0.018246,yahoo
2017-05-01,0.080837,yahoo
2017-06-01,-0.019616,yahoo
2017-07-01,-0.006301,yahoo
2017-08-01,0.001885,yahoo
2017-09-01,-0.050629,yahoo
2017-10-01,-0.057382,yahoo
2017-11-01,-0.018062,yahoo
2017-12-01,0.028224,yahoo
2018-01-01,0.014955,yahoo
2018-02-01,-0.034319,yahoo
2018-03-01,-0.040077,yahoo
2018-04-01,-0.17505,yahoo
2018-05-01,-0.03,yahoo
2018-06-01,0.015087,yahoo
2018-07-01,0.068863,yahoo
2018-08-01,-0.097451,yahoo
2018-09-01,0.046861,yahoo
2018-10-01,0.080083,yahoo
2018-11-01,-0.017486,yahoo
2018-12-01,-0.228476,yahoo
2019-01-01,0.149191,yahoo
2019-02-01,0.133212,yahoo
2019-03-01,0.016678,yahoo
2019-04-01,-0.020704,yahoo
2019-05-01,-0.108942,yahoo
2019-06-01,0.018151,yahoo
2019-07-01,0.064689,yahoo
2019-08-01,-0.137783,yahoo
2019-09-01,0.053267,yahoo
2019-10-01,0.072567,yahoo
2019-11-01,0.018296,yahoo
2019-12-01,0.026046,yahoo
2020-01-01,-0.028088,yahoo
2020-02-01,-0.010036,yahoo
2020-03-01,-0.108831,yahoo
2020-04-01,0.022478,yahoo
2020-05-01,-0.016622,yahoo
2020-06-01,-0.044984,yahoo
2020-07-01,0.096346,yahoo
2020-08-01,0.038797,yahoo
2020-09-01,-0.060158,yahoo
2020-10-01,-0.05294,yahoo
2020-11-01,0.066601,yahoo
2020-12-01,0.092937,yahoo
2021-01-01,-0.037927,yahoo
2021-02-01,0.054865,yahoo
2021-03-01,0.056177,yahoo
2021-04-01,0.070543,yahoo
2021-05-01,0.015053,yahoo
2021-06-01,0.027792,yahoo
2021-07-01,0.009888,yahoo
2021-08-01,0.029074,yahoo
2021-09-01,-0.079709,yahoo
2021-10-01,-0.002637,yahoo
2021-11-01,-0.090967,yahoo
2021-12-01,0.105422,yahoo
2022-01-01,0.082632,yahoo
2022-02-01,-0.017307,yahoo
2022-03-01,-0.070545,yahoo
2022-04-01,0.064509,yahoo
2022-05-01,0.0625,yahoo
2022-06-01,-0.070682,yahoo
2022-07-01,-0.016103,yahoo
2022-08-01,-0.017087,yahoo
2022-09-01,-0.130694,yahoo
2022-10-01,0.106493,yahoo
2022-11-01,0.085139,yahoo
2022-12-01,0.015451,yahoo
2023-01-01,0.029938,yahoo
2023-02-01,-0.066577,yahoo
2023-03-01,-0.000514,yahoo
2023-04-01,0.027969,yahoo
2023-05-01,-0.09963,yahoo
2023-06-01,0.084546,yahoo
2023-07-01,0.021512,yahoo
2023-08-01,-0.036703,yahoo
2023-09-01,-0.036227,yahoo
2023-10-01,-0.036941,yahoo
2023-11-01,0.047106,yahoo
2023-12-01,0.007712,yahoo
2024-01-01,-0.034333,yahoo
2024-02-01,-0.009796,yahoo
2024-03-01,0.018453,yahoo
2024-04-01,0.036237,yahoo
2024-05-01,0.067832,yahoo
2024-06-01,-0.000493,yahoo
2024-07-01,0.136485,yahoo
2024-08-01,0.070597,yahoo
2024-09-01,-0.01533,yahoo
2024-10-01,0.093081,yahoo
2024-11-01,0.002713,yahoo
2024-12-01,-0.095521,yahoo
2025-01-01,0.081845,yahoo
2025-02-01,0.192627,yahoo
2025-03-01,0.022218,yahoo
2025-04-01,0.079569,yahoo
2025-05-01,0.053863,yahoo
2025-06-01,0.008528,yahoo
2025-07-01,-0.09927,yahoo
2025-08-01,0.018775,yahoo
2025-09-01,-0.029498,yahoo
2025-10-01,-0.110173,yahoo
2025-11-01,0.091111,yahoo
2025-12-01,0.018542,yahoo
2026-01-01,0.118703,yahoo
2026-02-01,0.041184,yahoo
2026-03-01,-0.115024,yahoo
2026-04-01,-0.001633,yahoo
2026-05-01,0.074574,yahoo
2026-06-01,0.019901,yahoo
2026-07-01,-0.00503,yahoo
