date,monthly_return,source
2016-07-01,0.005377,yahoo
2016-08-01,0.011174,yahoo
2016-09-01,-0.0238,yahoo
2016-10-01,-0.098974,yahoo
2016-11-01,0.030066,yahoo
2016-12-01,-0.012196,yahoo
2017-01-01,0.055403,yahoo
2017-02-01,0.024198,yahoo
2017-03-01,0.025871,yahoo
2017-04-01,0.045299,yahoo
2017-05-01,-0.031682,yahoo
2017-06-01,0.033847,yahoo
2017-07-01,-0.042834,yahoo
2017-08-01,-0.008836,yahoo
2017-09-01,0.041603,yahoo
2017-10-01,0.069759,yahoo
2017-11-01,0.005248,yahoo
2017-12-01,-0.000257,yahoo
2018-01-01,0.01635,yahoo
2018-02-01,-0.052977,yahoo
2018-03-01,-0.007471,yahoo
2018-04-01,-0.051254,yahoo
2018-05-01,-0.046845,yahoo
2018-06-01,0.027844,yahoo
2018-07-01,0.066808,yahoo
2018-08-01,-0.001084,yahoo
2018-09-01,-0.012756,yahoo
2018-10-01,-0.03702,yahoo
2018-11-01,0.040346,yahoo
2018-12-01,-0.064941,yahoo
2019-01-01,0.0314,yahoo
2019-02-01,0.061931,yahoo
2019-03-01,0.008038,yahoo
2019-04-01,0.041021,yahoo
2019-05-01,-0.109362,yahoo
2019-06-01,0.115241,yahoo
2019-07-01,0.005826,yahoo
2019-08-01,-0.056223,yahoo
2019-09-01,0.069681,yahoo
2019-10-01,0.055776,yahoo
2019-11-01,0.029731,yahoo
2019-12-01,0.036091,yahoo
2020-01-01,-0.102255,yahoo
2020-02-01,-0.128421,yahoo
2020-03-01,-0.199617,yahoo
2020-04-01,0.086483,yahoo
2020-05-01,0.119344,yahoo
2020-06-01,0.043179,yahoo
2020-07-01,0.014992,yahoo
2020-08-01,0.118439,yahoo
2020-09-01,0.013953,yahoo
2020-10-01,0.062582,yahoo
2020-11-01,0.131437,yahoo
2020-12-01,-0.017374,yahoo
2021-01-01,-0.065941,yahoo
2021-02-01,0.000817,yahoo
2021-03-01,0.114523,yahoo
2021-04-01,0.139625,yahoo
2021-05-01,0.049521,yahoo
2021-06-01,-0.055364,yahoo
2021-07-01,-0.036815,yahoo
2021-08-01,-0.024278,yahoo
2021-09-01,-0.103667,yahoo
2021-10-01,0.122789,yahoo
2021-11-01,-0.039858,yahoo
2021-12-01,0.118506,yahoo
2022-01-01,-0.094178,yahoo
2022-02-01,-0.145647,yahoo
2022-03-01,-0.017834,yahoo
2022-04-01,-0.023499,yahoo
2022-05-01,-0.01172,yahoo
2022-06-01,-0.096055,yahoo
2022-07-01,0.13075,yahoo
2022-08-01,-0.017867,yahoo
2022-09-01,-0.128288,yahoo
2022-10-01,0.031529,yahoo
2022-11-01,0.18427,yahoo
2022-12-01,-0.070108,yahoo
2023-01-01,0.036583,yahoo
2023-02-01,0.013196,yahoo
2023-03-01,0.01151,yahoo
2023-04-01,0.050007,yahoo
2023-05-01,-0.063953,yahoo
2023-06-01,0.129561,yahoo
2023-07-01,-0.02967,yahoo
2023-08-01,-0.014871,yahoo
2023-09-01,-0.084368,yahoo
2023-10-01,-0.05416,yahoo
2023-11-01,0.156553,yahoo
2023-12-01,0.053243,yahoo
2024-01-01,-0.056904,yahoo
2024-02-01,0.003971,yahoo
2024-03-01,0.023305,yahoo
2024-04-01,-0.109731,yahoo
2024-05-01,0.018682,yahoo
2024-06-01,-0.042006,yahoo
2024-07-01,0.008658,yahoo
2024-08-01,0.021657,yahoo
2024-09-01,0.021044,yahoo
2024-10-01,-0.060018,yahoo
2024-11-01,-0.001124,yahoo
2024-12-01,-0.039559,yahoo
2025-01-01,-0.034073,yahoo
2025-02-01,-0.018721,yahoo
2025-03-01,-0.034181,yahoo
2025-04-01,-0.004481,yahoo
2025-05-01,0.017821,yahoo
2025-06-01,0.026625,yahoo
2025-07-01,-0.072527,yahoo
2025-08-01,0.054313,yahoo
2025-09-01,-0.055021,yahoo
2025-10-01,-0.070022,yahoo
2025-11-01,0.023427,yahoo
2025-12-01,0.02419,yahoo
2026-01-01,0.128538,yahoo
2026-02-01,0.066073,yahoo
2026-03-01,-0.13296,yahoo
2026-04-01,0.015157,yahoo
2026-05-01,0.04129,yahoo
2026-06-01,0.073553,yahoo
2026-07-01,-0.054662,yahoo
