date,monthly_return,source
2016-07-01,-0.041341,yahoo
2016-08-01,0.031423,yahoo
2016-09-01,0.026769,yahoo
2016-10-01,0.007449,yahoo
2016-11-01,0.023783,yahoo
2016-12-01,0.040082,yahoo
2017-01-01,-0.055433,yahoo
2017-02-01,-0.042024,yahoo
2017-03-01,0.013173,yahoo
2017-04-01,0.004292,yahoo
2017-05-01,-0.043363,yahoo
2017-06-01,0.086454,yahoo
2017-07-01,0.012819,yahoo
2017-08-01,0.000716,yahoo
2017-09-01,0.093068,yahoo
2017-10-01,-0.005785,yahoo
2017-11-01,0.071146,yahoo
2017-12-01,0.036798,yahoo
2018-01-01,0.012358,yahoo
2018-02-01,-0.11748,yahoo
2018-03-01,0.061414,yahoo
2018-04-01,0.160446,yahoo
2018-05-01,0.046537,yahoo
2018-06-01,-0.035883,yahoo
2018-07-01,0.09821,yahoo
2018-08-01,-0.03916,yahoo
2018-09-01,-0.048857,yahoo
2018-10-01,-0.087828,yahoo
2018-11-01,-0.090449,yahoo
2018-12-01,-0.078807,yahoo
2019-01-01,0.107487,yahoo
2019-02-01,0.009957,yahoo
2019-03-01,-0.01235,yahoo
2019-04-01,-0.009457,yahoo
2019-05-01,-0.142887,yahoo
2019-06-01,0.157673,yahoo
2019-07-01,0.096429,yahoo
2019-08-01,-0.038319,yahoo
2019-09-01,0.038224,yahoo
2019-10-01,0.14082,yahoo
2019-11-01,-0.017976,yahoo
2019-12-01,-0.028853,yahoo
2020-01-01,-0.179876,yahoo
2020-02-01,-0.180694,yahoo
2020-03-01,-0.283329,yahoo
2020-04-01,0.36384,yahoo
2020-05-01,0.069564,yahoo
2020-06-01,-0.081268,yahoo
2020-07-01,-0.137413,yahoo
2020-08-01,-0.05724,yahoo
2020-09-01,-0.113391,yahoo
2020-10-01,-0.099923,yahoo
2020-11-01,0.298328,yahoo
2020-12-01,0.154506,yahoo
2021-01-01,-0.030598,yahoo
2021-02-01,0.224926,yahoo
2021-03-01,-0.018182,yahoo
2021-04-01,-0.007726,yahoo
2021-05-01,0.04091,yahoo
2021-06-01,0.018998,yahoo
2021-07-01,-0.144372,yahoo
2021-08-01,-0.031867,yahoo
2021-09-01,-0.014911,yahoo
2021-10-01,0.067828,yahoo
2021-11-01,-0.07502,yahoo
2021-12-01,0.047564,yahoo
2022-01-01,0.170163,yahoo
2022-02-01,-0.006487,yahoo
2022-03-01,0.025522,yahoo
2022-04-01,0.004283,yahoo
2022-05-01,0.161941,yahoo
2022-06-01,-0.186688,yahoo
2022-07-01,0.085498,yahoo
2022-08-01,0.005169,yahoo
2022-09-01,-0.097697,yahoo
2022-10-01,0.291997,yahoo
2022-11-01,0.039793,yahoo
2022-12-01,-0.040207,yahoo
2023-01-01,-0.036607,yahoo
2023-02-01,0.022838,yahoo
2023-03-01,-0.011505,yahoo
2023-04-01,-0.023476,yahoo
2023-05-01,-0.074646,yahoo
2023-06-01,0.041153,yahoo
2023-07-01,0.169532,yahoo
2023-08-01,0.023398,yahoo
2023-09-01,0.05247,yahoo
2023-10-01,-0.050603,yahoo
2023-11-01,0.12992,yahoo
2023-12-01,0.032974,yahoo
2024-01-01,0.083897,yahoo
2024-02-01,-0.012473,yahoo
2024-03-01,0.146165,yahoo
2024-04-01,-0.12324,yahoo
2024-05-01,-0.007681,yahoo
2024-06-01,-0.006615,yahoo
2024-07-01,0.030531,yahoo
2024-08-01,-0.035538,yahoo
2024-09-01,-0.063146,yahoo
2024-10-01,-0.07326,yahoo
2024-11-01,0.099819,yahoo
2024-12-01,-0.149649,yahoo
2025-01-01,0.034583,yahoo
2025-02-01,0.10028,yahoo
2025-03-01,-0.047883,yahoo
2025-04-01,-0.157272,yahoo
2025-05-01,0.090525,yahoo
2025-06-01,0.051287,yahoo
2025-07-01,0.035876,yahoo
2025-08-01,0.080919,yahoo
2025-09-01,0.018266,yahoo
2025-10-01,0.000882,yahoo
2025-11-01,0.006023,yahoo
2025-12-01,-0.057827,yahoo
2026-01-01,0.112523,yahoo
2026-02-01,0.075021,yahoo
2026-03-01,0.180457,yahoo
2026-04-01,-0.016632,yahoo
2026-05-01,-0.018253,yahoo
2026-06-01,-0.038833,yahoo
2026-07-01,0.255664,yahoo
