date,monthly_return,source
2016-07-01,0.057211,yahoo
2016-08-01,0.073999,yahoo
2016-09-01,0.038435,yahoo
2016-10-01,0.070639,yahoo
2016-11-01,0.026771,yahoo
2016-12-01,-0.050092,yahoo
2017-01-01,0.136157,yahoo
2017-02-01,0.025109,yahoo
2017-03-01,-0.024865,yahoo
2017-04-01,0.028544,yahoo
2017-05-01,0.06531,yahoo
2017-06-01,-0.042723,yahoo
2017-07-01,0.00127,yahoo
2017-08-01,0.014677,yahoo
2017-09-01,0.005,yahoo
2017-10-01,0.180704,yahoo
2017-11-01,-0.041685,yahoo
2017-12-01,-0.045697,yahoo
2018-01-01,0.195985,yahoo
2018-02-01,0.01486,yahoo
2018-03-01,0.057619,yahoo
2018-04-01,0.055634,yahoo
2018-05-01,0.047237,yahoo
2018-06-01,0.087778,yahoo
2018-07-01,-0.020254,yahoo
2018-08-01,0.087368,yahoo
2018-09-01,0.062538,yahoo
2018-10-01,-0.223938,yahoo
2018-11-01,0.049508,yahoo
2018-12-01,-0.041508,yahoo
2019-01-01,0.022799,yahoo
2019-02-01,0.094705,yahoo
2019-03-01,-0.006895,yahoo
2019-04-01,-0.018551,yahoo
2019-05-01,-0.070852,yahoo
2019-06-01,0.067809,yahoo
2019-07-01,-0.244875,yahoo
2019-08-01,-0.034081,yahoo
2019-09-01,0.041393,yahoo
2019-10-01,-0.018627,yahoo
2019-11-01,0.144821,yahoo
2019-12-01,-0.022324,yahoo
2020-01-01,0.109895,yahoo
2020-02-01,-0.091073,yahoo
2020-03-01,-0.189808,yahoo
2020-04-01,0.131351,yahoo
2020-05-01,0.10296,yahoo
2020-06-01,0.01846,yahoo
2020-07-01,0.099884,yahoo
2020-08-01,0.068373,yahoo
2020-09-01,-0.095066,yahoo
2020-10-01,0.014023,yahoo
2020-11-01,0.285765,yahoo
2020-12-01,0.10904,yahoo
2021-01-01,0.111195,yahoo
2021-02-01,0.030321,yahoo
2021-03-01,0.005185,yahoo
2021-04-01,-0.048747,yahoo
2021-05-01,0.024439,yahoo
2021-06-01,0.053079,yahoo
2021-07-01,-0.04113,yahoo
2021-08-01,-0.027981,yahoo
2021-09-01,-0.090156,yahoo
2021-10-01,0.06311,yahoo
2021-11-01,-0.139537,yahoo
2021-12-01,0.105585,yahoo
2022-01-01,-0.040363,yahoo
2022-02-01,-0.042835,yahoo
2022-03-01,-0.031991,yahoo
2022-04-01,0.060249,yahoo
2022-05-01,0.020313,yahoo
2022-06-01,-0.087445,yahoo
2022-07-01,0.160241,yahoo
2022-08-01,-0.068812,yahoo
2022-09-01,-0.089564,yahoo
2022-10-01,0.126482,yahoo
2022-11-01,0.079606,yahoo
2022-12-01,-0.056363,yahoo
2023-01-01,0.123625,yahoo
2023-02-01,-0.070804,yahoo
2023-03-01,0.023139,yahoo
2023-04-01,-0.019028,yahoo
2023-05-01,0.068447,yahoo
2023-06-01,0.05878,yahoo
2023-07-01,0.024666,yahoo
2023-08-01,0.009327,yahoo
2023-09-01,-0.037304,yahoo
2023-10-01,-0.008893,yahoo
2023-11-01,0.120638,yahoo
2023-12-01,0.111845,yahoo
2024-01-01,0.032522,yahoo
2024-02-01,0.013064,yahoo
2024-03-01,0.032403,yahoo
2024-04-01,-0.060866,yahoo
2024-05-01,-0.006763,yahoo
2024-06-01,0.03081,yahoo
2024-07-01,-0.021027,yahoo
2024-08-01,0.006972,yahoo
2024-09-01,0.008767,yahoo
2024-10-01,0.02585,yahoo
2024-11-01,0.07948,yahoo
2024-12-01,-0.080926,yahoo
2025-01-01,0.052265,yahoo
2025-02-01,-0.154279,yahoo
2025-03-01,-0.053047,yahoo
2025-04-01,0.000129,yahoo
2025-05-01,0.086146,yahoo
2025-06-01,0.023883,yahoo
2025-07-01,0.246431,yahoo
2025-08-01,-0.006098,yahoo
2025-09-01,-0.049087,yahoo
2025-10-01,-0.022067,yahoo
2025-11-01,-0.1164,yahoo
2025-12-01,-0.006954,yahoo
2026-01-01,-0.103783,yahoo
2026-02-01,0.002946,yahoo
2026-03-01,-0.090044,yahoo
2026-04-01,-0.043442,yahoo
2026-05-01,0.017828,yahoo
2026-06-01,-0.181071,yahoo
2026-07-01,0.09471,yahoo
