date,monthly_return,source
2024-04-01,-0.098946,yahoo
2024-05-01,0.220522,yahoo
2024-06-01,0.177913,yahoo
2024-07-01,-0.047582,yahoo
2024-08-01,-0.013476,yahoo
2024-09-01,0.098118,yahoo
2024-10-01,0.80977,yahoo
2024-11-01,0.179296,yahoo
2024-12-01,0.161703,yahoo
2025-01-01,0.220937,yahoo
2025-02-01,-0.189276,yahoo
2025-03-01,-0.351589,yahoo
2025-04-01,0.111249,yahoo
2025-05-01,-0.036201,yahoo
2025-06-01,0.340187,yahoo
2025-07-01,0.066547,yahoo
2025-08-01,0.401582,yahoo
2025-09-01,0.021814,yahoo
2025-10-01,-0.091482,yahoo
2025-11-01,0.035989,yahoo
2025-12-01,0.061902,yahoo
2026-01-01,-0.215774,yahoo
2026-02-01,-0.191158,yahoo
2026-03-01,-0.076538,yahoo
2026-04-01,0.093427,yahoo
2026-05-01,0.195409,yahoo
2026-06-01,-0.01375,yahoo
2026-07-01,0.12536,yahoo
