date,monthly_return,source
2016-07-01,0.09451,yahoo
2016-08-01,0.056377,yahoo
2016-09-01,-0.023934,yahoo
2016-10-01,-0.030057,yahoo
2016-11-01,0.066361,yahoo
2016-12-01,-0.136603,yahoo
2017-01-01,-0.020926,yahoo
2017-02-01,-0.102906,yahoo
2017-03-01,0.028867,yahoo
2017-04-01,-0.011027,yahoo
2017-05-01,-0.160059,yahoo
2017-06-01,0.088496,yahoo
2017-07-01,0.025068,yahoo
2017-08-01,0.161798,yahoo
2017-09-01,0.004551,yahoo
2017-10-01,0.012912,yahoo
2017-11-01,0.063961,yahoo
2017-12-01,0.089753,yahoo
2018-01-01,0.102421,yahoo
2018-02-01,-0.074097,yahoo
2018-03-01,0.056311,yahoo
2018-04-01,-0.017442,yahoo
2018-05-01,0.225125,yahoo
2018-06-01,-0.065834,yahoo
2018-07-01,0.073656,yahoo
2018-08-01,-0.016076,yahoo
2018-09-01,0.03569,yahoo
2018-10-01,-0.057724,yahoo
2018-11-01,-0.140498,yahoo
2018-12-01,-0.071275,yahoo
2019-01-01,0.122559,yahoo
2019-02-01,0.077751,yahoo
2019-03-01,0.036031,yahoo
2019-04-01,0.014652,yahoo
2019-05-01,-0.201018,yahoo
2019-06-01,0.080472,yahoo
2019-07-01,-0.082402,yahoo
2019-08-01,-0.152451,yahoo
2019-09-01,0.080711,yahoo
2019-10-01,0.00618,yahoo
2019-11-01,0.117427,yahoo
2019-12-01,0.092044,yahoo
2020-01-01,-0.031735,yahoo
2020-02-01,-0.070396,yahoo
2020-03-01,-0.3666,yahoo
2020-04-01,0.103995,yahoo
2020-05-01,0.023448,yahoo
2020-06-01,-0.039597,yahoo
2020-07-01,-0.016823,yahoo
2020-08-01,-0.034642,yahoo
2020-09-01,-0.012495,yahoo
2020-10-01,-0.016478,yahoo
2020-11-01,0.282723,yahoo
2020-12-01,0.209796,yahoo
2021-01-01,-0.02593,yahoo
2021-02-01,0.158634,yahoo
2021-03-01,0.05193,yahoo
2021-04-01,0.082251,yahoo
2021-05-01,-0.069097,yahoo
2021-06-01,-0.050532,yahoo
2021-07-01,-0.036415,yahoo
2021-08-01,0.022992,yahoo
2021-09-01,-0.04383,yahoo
2021-10-01,0.145263,yahoo
2021-11-01,-0.087521,yahoo
2021-12-01,0.024302,yahoo
2022-01-01,-0.067474,yahoo
2022-02-01,0.191267,yahoo
2022-03-01,-0.140866,yahoo
2022-04-01,-0.080219,yahoo
2022-05-01,-0.031148,yahoo
2022-06-01,-0.113166,yahoo
2022-07-01,0.100167,yahoo
2022-08-01,-0.074014,yahoo
2022-09-01,-0.070076,yahoo
2022-10-01,0.091369,yahoo
2022-11-01,0.220412,yahoo
2022-12-01,-0.065859,yahoo
2023-01-01,0.172045,yahoo
2023-02-01,-0.0457,yahoo
2023-03-01,-0.012861,yahoo
2023-04-01,-0.016114,yahoo
2023-05-01,-0.073874,yahoo
2023-06-01,0.159816,yahoo
2023-07-01,0.065126,yahoo
2023-08-01,-0.111932,yahoo
2023-09-01,-0.00463,yahoo
2023-10-01,-0.030666,yahoo
2023-11-01,0.149738,yahoo
2023-12-01,0.114546,yahoo
2024-01-01,-0.003675,yahoo
2024-02-01,0.294077,yahoo
2024-03-01,0.009897,yahoo
2024-04-01,-0.128462,yahoo
2024-05-01,0.142019,yahoo
2024-06-01,-0.063249,yahoo
2024-07-01,0.003028,yahoo
2024-08-01,-0.02466,yahoo
2024-09-01,0.132021,yahoo
2024-10-01,0.020942,yahoo
2024-11-01,0.1691,yahoo
2024-12-01,-0.001815,yahoo
2025-01-01,0.081046,yahoo
2025-02-01,0.085863,yahoo
2025-03-01,-0.185882,yahoo
2025-04-01,0.019072,yahoo
2025-05-01,0.23054,yahoo
2025-06-01,-0.00914,yahoo
2025-07-01,0.089215,yahoo
2025-08-01,-0.006092,yahoo
2025-09-01,0.056006,yahoo
2025-10-01,0.019454,yahoo
2025-11-01,0.149127,yahoo
2025-12-01,-0.037351,yahoo
2026-01-01,-0.000566,yahoo
2026-02-01,0.026004,yahoo
2026-03-01,-0.051324,yahoo
2026-04-01,0.042589,yahoo
2026-05-01,0.014666,yahoo
2026-06-01,0.103078,yahoo
2026-07-01,-0.052216,yahoo
