date,monthly_return,source
2016-07-01,0.089356,yahoo
2016-08-01,-0.031794,yahoo
2016-09-01,-0.02849,yahoo
2016-10-01,-0.077481,yahoo
2016-11-01,0.02861,yahoo
2016-12-01,0.009271,yahoo
2017-01-01,0.088477,yahoo
2017-02-01,0.066479,yahoo
2017-03-01,-0.000833,yahoo
2017-04-01,-0.055301,yahoo
2017-05-01,0.045742,yahoo
2017-06-01,0.095218,yahoo
2017-07-01,-0.009631,yahoo
2017-08-01,0.005965,yahoo
2017-09-01,-0.007992,yahoo
2017-10-01,0.093815,yahoo
2017-11-01,0.014493,yahoo
2017-12-01,-0.008314,yahoo
2018-01-01,0.190105,yahoo
2018-02-01,-0.054767,yahoo
2018-03-01,0.033589,yahoo
2018-04-01,-0.038895,yahoo
2018-05-01,0.086327,yahoo
2018-06-01,0.00749,yahoo
2018-07-01,0.02124,yahoo
2018-08-01,0.053224,yahoo
2018-09-01,0.035275,yahoo
2018-10-01,-0.081672,yahoo
2018-11-01,0.055419,yahoo
2018-12-01,0.018606,yahoo
2019-01-01,-0.164222,yahoo
2019-02-01,0.076285,yahoo
2019-03-01,0.015035,yahoo
2019-04-01,0.005194,yahoo
2019-05-01,0.091953,yahoo
2019-06-01,0.069313,yahoo
2019-07-01,0.054659,yahoo
2019-08-01,0.082362,yahoo
2019-09-01,-0.030079,yahoo
2019-10-01,0.094812,yahoo
2019-11-01,0.011358,yahoo
2019-12-01,0.035896,yahoo
2020-01-01,0.025811,yahoo
2020-02-01,-6.3e-05,yahoo
2020-03-01,-0.073415,yahoo
2020-04-01,0.054518,yahoo
2020-05-01,0.035411,yahoo
2020-06-01,0.193881,yahoo
2020-07-01,0.05474,yahoo
2020-08-01,-0.107303,yahoo
2020-09-01,-0.05172,yahoo
2020-10-01,0.119641,yahoo
2020-11-01,0.092008,yahoo
2020-12-01,0.014122,yahoo
2021-01-01,-0.051703,yahoo
2021-02-01,-0.043608,yahoo
2021-03-01,0.006432,yahoo
2021-04-01,-0.031182,yahoo
2021-05-01,0.095122,yahoo
2021-06-01,0.197571,yahoo
2021-07-01,0.102547,yahoo
2021-08-01,0.068911,yahoo
2021-09-01,-0.092865,yahoo
2021-10-01,-0.002428,yahoo
2021-11-01,-0.030657,yahoo
2021-12-01,0.022091,yahoo
2022-01-01,-0.122389,yahoo
2022-02-01,0.079396,yahoo
2022-03-01,-0.017183,yahoo
2022-04-01,-0.175415,yahoo
2022-05-01,0.017453,yahoo
2022-06-01,0.030325,yahoo
2022-07-01,0.147355,yahoo
2022-08-01,-0.085648,yahoo
2022-09-01,-0.007366,yahoo
2022-10-01,0.024691,yahoo
2022-11-01,0.029103,yahoo
2022-12-01,-0.095873,yahoo
2023-01-01,0.097247,yahoo
2023-02-01,-0.067303,yahoo
2023-03-01,0.028122,yahoo
2023-04-01,0.100324,yahoo
2023-05-01,-0.125208,yahoo
2023-06-01,0.036577,yahoo
2023-07-01,0.01762,yahoo
2023-08-01,-0.282258,yahoo
2023-09-01,-0.073438,yahoo
2023-10-01,-0.044972,yahoo
2023-11-01,0.11691,yahoo
2023-12-01,0.090598,yahoo
2024-01-01,0.105685,yahoo
2024-02-01,-0.086646,yahoo
2024-03-01,0.139938,yahoo
2024-04-01,0.080594,yahoo
2024-05-01,-0.035796,yahoo
2024-06-01,-0.072263,yahoo
2024-07-01,0.114042,yahoo
2024-08-01,0.14898,yahoo
2024-09-01,-0.003673,yahoo
2024-10-01,-0.006759,yahoo
2024-11-01,0.027014,yahoo
2024-12-01,-0.08164,yahoo
2025-01-01,0.032752,yahoo
2025-02-01,-0.011263,yahoo
2025-03-01,-0.04141,yahoo
2025-04-01,0.056913,yahoo
2025-05-01,0.034659,yahoo
2025-06-01,0.053965,yahoo
2025-07-01,0.054031,yahoo
2025-08-01,0.009451,yahoo
2025-09-01,-0.002841,yahoo
2025-10-01,-0.098089,yahoo
2025-11-01,0.036252,yahoo
2025-12-01,-0.058476,yahoo
2026-01-01,0.072404,yahoo
2026-02-01,-0.007936,yahoo
2026-03-01,-0.124015,yahoo
2026-04-01,-0.047532,yahoo
2026-05-01,-0.108695,yahoo
2026-06-01,0.022616,yahoo
2026-07-01,-0.010109,yahoo
