date,monthly_return,source
2020-07-01,-0.113285,yahoo
2020-08-01,-0.038792,yahoo
2020-09-01,0.016675,yahoo
2020-10-01,-0.127644,yahoo
2020-11-01,0.160763,yahoo
2020-12-01,0.174883,yahoo
2021-01-01,-0.060739,yahoo
2021-02-01,-0.00936,yahoo
2021-03-01,-0.063346,yahoo
2021-04-01,0.008712,yahoo
2021-05-01,-0.088182,yahoo
2021-06-01,0.021685,yahoo
2021-07-01,-0.068065,yahoo
2021-08-01,0.01178,yahoo
2021-09-01,-0.064942,yahoo
2021-10-01,0.093802,yahoo
2021-11-01,0.006071,yahoo
2021-12-01,0.002012,yahoo
2022-01-01,0.004015,yahoo
2022-02-01,-0.018745,yahoo
2022-03-01,-0.007641,yahoo
2022-04-01,0.092916,yahoo
2022-05-01,-0.033819,yahoo
2022-06-01,0.021877,yahoo
2022-07-01,0.034491,yahoo
2022-08-01,-0.03863,yahoo
2022-09-01,-0.038986,yahoo
2022-10-01,0.05326,yahoo
2022-11-01,0.038989,yahoo
2022-12-01,-0.101205,yahoo
2023-01-01,-0.00835,yahoo
2023-02-01,-0.085226,yahoo
2023-03-01,0.005021,yahoo
2023-04-01,-0.024424,yahoo
2023-05-01,-0.068563,yahoo
2023-06-01,-0.061087,yahoo
2023-07-01,0.02082,yahoo
2023-08-01,-0.049713,yahoo
2023-09-01,-0.089873,yahoo
2023-10-01,-0.009948,yahoo
2023-11-01,0.007443,yahoo
2023-12-01,0.03768,yahoo
2024-01-01,0.01068,yahoo
2024-02-01,0.068686,yahoo
2024-03-01,0.000989,yahoo
2024-04-01,-0.087916,yahoo
2024-05-01,-0.010469,yahoo
2024-06-01,-0.037942,yahoo
2024-07-01,0.068259,yahoo
2024-08-01,0.030529,yahoo
2024-09-01,-0.025491,yahoo
2024-10-01,-0.045599,yahoo
2024-11-01,-0.012593,yahoo
2024-12-01,-0.043136,yahoo
2025-01-01,0.237946,yahoo
2025-02-01,0.065231,yahoo
2025-03-01,-0.074614,yahoo
2025-04-01,0.054288,yahoo
2025-05-01,0.001828,yahoo
2025-06-01,0.095803,yahoo
2025-07-01,0.021371,yahoo
2025-08-01,-0.022283,yahoo
2025-09-01,-0.019455,yahoo
2025-10-01,0.064059,yahoo
2025-11-01,0.066063,yahoo
2025-12-01,-0.034483,yahoo
2026-01-01,0.078675,yahoo
2026-02-01,0.108685,yahoo
2026-03-01,0.038087,yahoo
2026-04-01,0.044194,yahoo
2026-05-01,0.113196,yahoo
2026-06-01,0.00556,yahoo
2026-07-01,-0.009542,yahoo
