date,monthly_return,source
2016-07-01,0.049732,yahoo
2016-08-01,-0.011333,yahoo
2016-09-01,-0.045382,yahoo
2016-10-01,0.005906,yahoo
2016-11-01,0.054012,yahoo
2016-12-01,0.017638,yahoo
2017-01-01,0.000456,yahoo
2017-02-01,0.026261,yahoo
2017-03-01,-0.003021,yahoo
2017-04-01,0.060422,yahoo
2017-05-01,0.019245,yahoo
2017-06-01,0.006844,yahoo
2017-07-01,-0.02899,yahoo
2017-08-01,0.009699,yahoo
2017-09-01,-0.030404,yahoo
2017-10-01,0.031702,yahoo
2017-11-01,0.014112,yahoo
2017-12-01,0.050391,yahoo
2018-01-01,0.081837,yahoo
2018-02-01,-0.023694,yahoo
2018-03-01,-0.066202,yahoo
2018-04-01,-0.045064,yahoo
2018-05-01,0.038868,yahoo
2018-06-01,0.001682,yahoo
2018-07-01,0.085659,yahoo
2018-08-01,-0.029763,yahoo
2018-09-01,0.061579,yahoo
2018-10-01,-0.11158,yahoo
2018-11-01,-0.019081,yahoo
2018-12-01,-0.126067,yahoo
2019-01-01,0.108847,yahoo
2019-02-01,0.064369,yahoo
2019-03-01,0.025623,yahoo
2019-04-01,0.106447,yahoo
2019-05-01,-0.114368,yahoo
2019-06-01,0.030879,yahoo
2019-07-01,0.026114,yahoo
2019-08-01,-0.02515,yahoo
2019-09-01,0.048219,yahoo
2019-10-01,0.051714,yahoo
2019-11-01,0.033152,yahoo
2019-12-01,0.009573,yahoo
2020-01-01,0.002938,yahoo
2020-02-01,-0.130559,yahoo
2020-03-01,-0.277663,yahoo
2020-04-01,0.091732,yahoo
2020-05-01,-0.004475,yahoo
2020-06-01,-0.044947,yahoo
2020-07-01,-0.080169,yahoo
2020-08-01,0.076217,yahoo
2020-09-01,-0.056721,yahoo
2020-10-01,-0.055961,yahoo
2020-11-01,0.320324,yahoo
2020-12-01,-0.002928,yahoo
2021-01-01,-0.066844,yahoo
2021-02-01,0.078825,yahoo
2021-03-01,0.073344,yahoo
2021-04-01,0.077262,yahoo
2021-05-01,0.065714,yahoo
2021-06-01,-0.038327,yahoo
2021-07-01,0.019224,yahoo
2021-08-01,-0.025187,yahoo
2021-09-01,0.014158,yahoo
2021-10-01,0.033737,yahoo
2021-11-01,-0.089354,yahoo
2021-12-01,0.06352,yahoo
2022-01-01,0.04799,yahoo
2022-02-01,0.138707,yahoo
2022-03-01,-0.035346,yahoo
2022-04-01,-0.04199,yahoo
2022-05-01,0.002213,yahoo
2022-06-01,0.010408,yahoo
2022-07-01,-0.030174,yahoo
2022-08-01,-0.03712,yahoo
2022-09-01,-0.087911,yahoo
2022-10-01,0.158319,yahoo
2022-11-01,0.041131,yahoo
2022-12-01,0.022285,yahoo
2023-01-01,-0.010602,yahoo
2023-02-01,-0.017626,yahoo
2023-03-01,-0.001631,yahoo
2023-04-01,0.020116,yahoo
2023-05-01,-0.077678,yahoo
2023-06-01,0.063165,yahoo
2023-07-01,-0.102389,yahoo
2023-08-01,-0.021494,yahoo
2023-09-01,-0.163529,yahoo
2023-10-01,0.130888,yahoo
2023-11-01,0.001106,yahoo
2023-12-01,0.032646,yahoo
2024-01-01,0.082957,yahoo
2024-02-01,-0.015913,yahoo
2024-03-01,0.087655,yahoo
2024-04-01,0.04091,yahoo
2024-05-01,0.061958,yahoo
2024-06-01,-0.068825,yahoo
2024-07-01,0.170336,yahoo
2024-08-01,0.049791,yahoo
2024-09-01,-0.017675,yahoo
2024-10-01,-0.001403,yahoo
2024-11-01,0.006943,yahoo
2024-12-01,-0.050152,yahoo
2025-01-01,0.114328,yahoo
2025-02-01,0.03133,yahoo
2025-03-01,-0.003985,yahoo
2025-04-01,-0.047788,yahoo
2025-05-01,0.082058,yahoo
2025-06-01,0.0699,yahoo
2025-07-01,0.079099,yahoo
2025-08-01,0.006537,yahoo
2025-09-01,0.055044,yahoo
2025-10-01,0.066754,yahoo
2025-11-01,-0.020112,yahoo
2025-12-01,0.048539,yahoo
2026-01-01,0.095583,yahoo
2026-02-01,0.008411,yahoo
2026-03-01,-0.047972,yahoo
2026-04-01,-0.087247,yahoo
2026-05-01,0.02039,yahoo
2026-06-01,0.05605,yahoo
2026-07-01,0.102409,yahoo
