date,monthly_return,source
2016-06-01,-0.021383,yahoo
2016-07-01,0.101167,yahoo
2016-08-01,-0.014678,yahoo
2016-09-01,0.014069,yahoo
2016-10-01,-0.015234,yahoo
2016-11-01,-0.030387,yahoo
2016-12-01,0.001425,yahoo
2017-01-01,0.13229,yahoo
2017-02-01,-0.077889,yahoo
2017-03-01,-0.029973,yahoo
2017-04-01,0.044944,yahoo
2017-05-01,0.030914,yahoo
2017-06-01,0.01043,yahoo
2017-07-01,0.036129,yahoo
2017-08-01,0.003736,yahoo
2017-09-01,0.012407,yahoo
2017-10-01,0.036765,yahoo
2017-11-01,0.030733,yahoo
2017-12-01,0.022936,yahoo
2018-01-01,0.040359,yahoo
2018-02-01,-0.073276,yahoo
2018-03-01,0.022093,yahoo
2018-04-01,0.052332,yahoo
2018-05-01,0.059459,yahoo
2018-06-01,-0.038776,yahoo
2018-07-01,-0.038217,yahoo
2018-08-01,-0.032009,yahoo
2018-09-01,-0.037628,yahoo
2018-10-01,-0.125592,yahoo
2018-11-01,0.02168,yahoo
2018-12-01,-0.011141,yahoo
2019-01-01,0.125268,yahoo
2019-02-01,0.064601,yahoo
2019-03-01,0.04232,yahoo
2019-04-01,0.052632,yahoo
2019-05-01,-0.075714,yahoo
2019-06-01,0.067123,yahoo
2019-07-01,-0.041175,yahoo
2019-08-01,-0.085024,yahoo
2019-09-01,0.023349,yahoo
2019-10-01,-0.117539,yahoo
2019-11-01,0.044137,yahoo
2019-12-01,0.008004,yahoo
2020-01-01,-0.043672,yahoo
2020-02-01,-0.084847,yahoo
2020-03-01,-0.216331,yahoo
2020-04-01,0.002171,yahoo
2020-05-01,0.010108,yahoo
2020-06-01,-0.009292,yahoo
2020-07-01,0.050144,yahoo
2020-08-01,0.039505,yahoo
2020-09-01,-0.038334,yahoo
2020-10-01,-0.028522,yahoo
2020-11-01,0.032543,yahoo
2020-12-01,-0.033231,yahoo
2021-01-01,0.062367,yahoo
2021-02-01,0.096398,yahoo
2021-03-01,-0.076361,yahoo
2021-04-01,0.146245,yahoo
2021-05-01,0.02931,yahoo
2021-06-01,0.125628,yahoo
2021-07-01,0.004464,yahoo
2021-08-01,-0.046914,yahoo
2021-09-01,0.109586,yahoo
2021-10-01,-0.002568,yahoo
2021-11-01,-0.019897,yahoo
2021-12-01,-0.004538,yahoo
2022-01-01,0.22001,yahoo
2022-02-01,0.150639,yahoo
2022-03-01,-0.012989,yahoo
2022-04-01,0.095584,yahoo
2022-05-01,0.211949,yahoo
2022-06-01,-0.206051,yahoo
2022-07-01,0.156209,yahoo
2022-08-01,0.097173,yahoo
2022-09-01,-0.079632,yahoo
2022-10-01,0.180923,yahoo
2022-11-01,-0.045628,yahoo
2022-12-01,0.066658,yahoo
2023-01-01,0.002341,yahoo
2023-02-01,-0.132166,yahoo
2023-03-01,-0.033903,yahoo
2023-04-01,0.046233,yahoo
2023-05-01,-0.078397,yahoo
2023-06-01,-0.04766,yahoo
2023-07-01,0.030027,yahoo
2023-08-01,-0.025471,yahoo
2023-09-01,-0.004381,yahoo
2023-10-01,-0.123672,yahoo
2023-11-01,0.088658,yahoo
2023-12-01,0.07937,yahoo
2024-01-01,-0.098438,yahoo
2024-02-01,-0.020922,yahoo
2024-03-01,0.061603,yahoo
2024-04-01,-0.032395,yahoo
2024-05-01,0.068097,yahoo
2024-06-01,-0.015673,yahoo
2024-07-01,-0.025815,yahoo
2024-08-01,0.019359,yahoo
2024-09-01,-0.03845,yahoo
2024-10-01,-0.01198,yahoo
2024-11-01,0.06505,yahoo
2024-12-01,-0.002923,yahoo
2025-01-01,0.021293,yahoo
2025-02-01,-0.011784,yahoo
2025-03-01,0.034857,yahoo
2025-04-01,-0.027183,yahoo
2025-05-01,0.007137,yahoo
2025-06-01,0.005428,yahoo
2025-07-01,-0.005849,yahoo
2025-08-01,0.120833,yahoo
2025-09-01,0.069448,yahoo
2025-10-01,-0.094639,yahoo
2025-11-01,0.075897,yahoo
2025-12-01,-0.114083,yahoo
2026-01-01,0.040688,yahoo
2026-02-01,0.022141,yahoo
2026-03-01,0.032904,yahoo
2026-04-01,0.013937,yahoo
2026-05-01,-0.021207,yahoo
2026-06-01,0.003745,yahoo
