date,monthly_return,source
2016-07-01,0.055582,yahoo
2016-08-01,-0.023009,yahoo
2016-09-01,-0.014946,yahoo
2016-10-01,-0.078161,yahoo
2016-11-01,-0.010973,yahoo
2016-12-01,0.03177,yahoo
2017-01-01,0.033724,yahoo
2017-02-01,0.024586,yahoo
2017-03-01,-0.030918,yahoo
2017-04-01,0.013333,yahoo
2017-05-01,-0.00047,yahoo
2017-06-01,0.027268,yahoo
2017-07-01,0.007323,yahoo
2017-08-01,-0.040306,yahoo
2017-09-01,-0.04968,yahoo
2017-10-01,-0.00207,yahoo
2017-11-01,0.014004,yahoo
2017-12-01,-0.023529,yahoo
2018-01-01,-0.078051,yahoo
2018-02-01,-0.064205,yahoo
2018-03-01,0.012143,yahoo
2018-04-01,0.011998,yahoo
2018-05-01,0.048607,yahoo
2018-06-01,0.033917,yahoo
2018-07-01,0.012028,yahoo
2018-08-01,0.031334,yahoo
2018-09-01,-0.058146,yahoo
2018-10-01,-0.060623,yahoo
2018-11-01,0.035524,yahoo
2018-12-01,-0.138365,yahoo
2019-01-01,0.177837,yahoo
2019-02-01,0.022535,yahoo
2019-03-01,0.029752,yahoo
2019-04-01,-0.000535,yahoo
2019-05-01,-0.020343,yahoo
2019-06-01,0.001639,yahoo
2019-07-01,0.038734,yahoo
2019-08-01,0.029412,yahoo
2019-09-01,0.040306,yahoo
2019-10-01,0.01079,yahoo
2019-11-01,-0.005337,yahoo
2019-12-01,-0.014634,yahoo
2020-01-01,0.027228,yahoo
2020-02-01,-0.110843,yahoo
2020-03-01,-0.449865,yahoo
2020-04-01,0.118227,yahoo
2020-05-01,0.020264,yahoo
2020-06-01,0.006908,yahoo
2020-07-01,-0.017153,yahoo
2020-08-01,-0.130017,yahoo
2020-09-01,-0.091274,yahoo
2020-10-01,-0.222958,yahoo
2020-11-01,0.18608,yahoo
2020-12-01,0.264671,yahoo
2021-01-01,0.034091,yahoo
2021-02-01,0.108974,yahoo
2021-03-01,-0.009083,yahoo
2021-04-01,0.034167,yahoo
2021-05-01,-0.028203,yahoo
2021-06-01,-0.010779,yahoo
2021-07-01,-0.044426,yahoo
2021-08-01,-0.02193,yahoo
2021-09-01,-0.075336,yahoo
2021-10-01,0.010669,yahoo
2021-11-01,-0.011516,yahoo
2021-12-01,0.007767,yahoo
2022-01-01,0.045279,yahoo
2022-02-01,0.017511,yahoo
2022-03-01,0.008152,yahoo
2022-04-01,0.024259,yahoo
2022-05-01,-0.035965,yahoo
2022-06-01,-0.028207,yahoo
2022-07-01,0.014045,yahoo
2022-08-01,-0.040628,yahoo
2022-09-01,-0.122233,yahoo
2022-10-01,0.014254,yahoo
2022-11-01,0.027027,yahoo
2022-12-01,-0.043158,yahoo
2023-01-01,0.182618,yahoo
2023-02-01,0.030698,yahoo
2023-03-01,-0.093863,yahoo
2023-04-01,-0.01494,yahoo
2023-05-01,-0.055612,yahoo
2023-06-01,0.098501,yahoo
2023-07-01,-0.006823,yahoo
2023-08-01,0.069676,yahoo
2023-09-01,0.001835,yahoo
2023-10-01,-0.045788,yahoo
2023-11-01,0.092131,yahoo
2023-12-01,0.137083,yahoo
2024-01-01,0.006955,yahoo
2024-02-01,-0.039908,yahoo
2024-03-01,0.032774,yahoo
2024-04-01,-0.028638,yahoo
2024-05-01,0.009562,yahoo
2024-06-01,0.000789,yahoo
2024-07-01,0.055994,yahoo
2024-08-01,0.035848,yahoo
2024-09-01,-0.00721,yahoo
2024-10-01,-0.083515,yahoo
2024-11-01,0.055467,yahoo
2024-12-01,-0.018018,yahoo
2025-01-01,0.001529,yahoo
2025-02-01,-0.016031,yahoo
2025-03-01,-0.031032,yahoo
2025-04-01,-0.044836,yahoo
2025-05-01,-0.011735,yahoo
2025-06-01,0.023749,yahoo
2025-07-01,-0.147473,yahoo
2025-08-01,0.051506,yahoo
2025-09-01,-0.047135,yahoo
2025-10-01,-0.082444,yahoo
2025-11-01,-0.073996,yahoo
2025-12-01,0.015982,yahoo
2026-01-01,-0.031461,yahoo
2026-02-01,-0.00696,yahoo
2026-03-01,-0.03972,yahoo
2026-04-01,-0.006083,yahoo
2026-05-01,0.044064,yahoo
2026-06-01,-0.011723,yahoo
2026-07-01,-0.03796,yahoo
