date,monthly_return,source
2016-07-01,0.020635,yahoo
2016-08-01,-0.053448,yahoo
2016-09-01,-0.024849,yahoo
2016-10-01,-0.114943,yahoo
2016-11-01,0.097239,yahoo
2016-12-01,0.000261,yahoo
2017-01-01,0.130498,yahoo
2017-02-01,0.015569,yahoo
2017-03-01,0.005348,yahoo
2017-04-01,0.078952,yahoo
2017-05-01,-0.008695,yahoo
2017-06-01,0.057841,yahoo
2017-07-01,-0.039007,yahoo
2017-08-01,0.00593,yahoo
2017-09-01,0.055325,yahoo
2017-10-01,0.103648,yahoo
2017-11-01,0.010806,yahoo
2017-12-01,0.026589,yahoo
2018-01-01,0.017242,yahoo
2018-02-01,-0.037232,yahoo
2018-03-01,-0.023557,yahoo
2018-04-01,-0.062379,yahoo
2018-05-01,0.031524,yahoo
2018-06-01,0.074674,yahoo
2018-07-01,0.08136,yahoo
2018-08-01,0.033694,yahoo
2018-09-01,-0.000812,yahoo
2018-10-01,-0.13563,yahoo
2018-11-01,0.07777,yahoo
2018-12-01,-0.072182,yahoo
2019-01-01,0.071316,yahoo
2019-02-01,0.027709,yahoo
2019-03-01,-0.005748,yahoo
2019-04-01,0.056001,yahoo
2019-05-01,-0.077787,yahoo
2019-06-01,0.092597,yahoo
2019-07-01,0.119466,yahoo
2019-08-01,0.026723,yahoo
2019-09-01,0.043892,yahoo
2019-10-01,0.040828,yahoo
2019-11-01,0.018888,yahoo
2019-12-01,0.000703,yahoo
2020-01-01,-0.045498,yahoo
2020-02-01,-0.072245,yahoo
2020-03-01,-0.11075,yahoo
2020-04-01,0.16724,yahoo
2020-05-01,0.107165,yahoo
2020-06-01,-0.026943,yahoo
2020-07-01,0.12126,yahoo
2020-08-01,0.035699,yahoo
2020-09-01,0.038283,yahoo
2020-10-01,-0.012573,yahoo
2020-11-01,0.086703,yahoo
2020-12-01,-0.017014,yahoo
2021-01-01,-0.05866,yahoo
2021-02-01,-0.016566,yahoo
2021-03-01,0.084766,yahoo
2021-04-01,0.113278,yahoo
2021-05-01,0.035272,yahoo
2021-06-01,-0.039079,yahoo
2021-07-01,0.068196,yahoo
2021-08-01,0.043432,yahoo
2021-09-01,-0.078836,yahoo
2021-10-01,0.131841,yahoo
2021-11-01,0.046208,yahoo
2021-12-01,0.063157,yahoo
2022-01-01,-0.186421,yahoo
2022-02-01,-0.081603,yahoo
2022-03-01,-0.051343,yahoo
2022-04-01,0.101514,yahoo
2022-05-01,-0.025167,yahoo
2022-06-01,-0.16464,yahoo
2022-07-01,0.080523,yahoo
2022-08-01,-0.040671,yahoo
2022-09-01,-0.117837,yahoo
2022-10-01,0.099048,yahoo
2022-11-01,0.107319,yahoo
2022-12-01,-0.047556,yahoo
2023-01-01,-0.003118,yahoo
2023-02-01,-0.064415,yahoo
2023-03-01,0.015451,yahoo
2023-04-01,0.056814,yahoo
2023-05-01,-0.041088,yahoo
2023-06-01,0.165686,yahoo
2023-07-01,0.041353,yahoo
2023-08-01,-0.017288,yahoo
2023-09-01,-0.06135,yahoo
2023-10-01,-0.066026,yahoo
2023-11-01,0.170396,yahoo
2023-12-01,0.118723,yahoo
2024-01-01,-0.02411,yahoo
2024-02-01,0.09084,yahoo
2024-03-01,0.04608,yahoo
2024-04-01,-0.137391,yahoo
2024-05-01,0.013985,yahoo
2024-06-01,-0.017676,yahoo
2024-07-01,0.175485,yahoo
2024-08-01,0.052936,yahoo
2024-09-01,0.0333,yahoo
2024-10-01,-0.06,yahoo
2024-11-01,0.107673,yahoo
2024-12-01,-0.144615,yahoo
2025-01-01,0.053629,yahoo
2025-02-01,0.011475,yahoo
2025-03-01,-0.036106,yahoo
2025-04-01,0.010682,yahoo
2025-05-01,0.016689,yahoo
2025-06-01,-0.043059,yahoo
2025-07-01,-0.036347,yahoo
2025-08-01,0.105627,yahoo
2025-09-01,-0.053495,yahoo
2025-10-01,-0.003812,yahoo
2025-11-01,-0.003624,yahoo
2025-12-01,-0.057203,yahoo
2026-01-01,0.094467,yahoo
2026-02-01,0.022417,yahoo
2026-03-01,-0.115944,yahoo
2026-04-01,0.003307,yahoo
2026-05-01,-0.055253,yahoo
2026-06-01,0.133228,yahoo
2026-07-01,-0.023321,yahoo
