date,monthly_return,source
2016-07-01,-0.105915,yahoo
2016-08-01,-0.08,yahoo
2016-09-01,-0.013378,yahoo
2016-10-01,0.062712,yahoo
2016-11-01,-0.039872,yahoo
2016-12-01,0.099668,yahoo
2017-01-01,0.137462,yahoo
2017-02-01,-0.123506,yahoo
2017-03-01,0.09697,yahoo
2017-04-01,-0.022099,yahoo
2017-05-01,0.025424,yahoo
2017-06-01,-0.061984,yahoo
2017-07-01,-0.001468,yahoo
2017-08-01,0.014706,yahoo
2017-09-01,0.136232,yahoo
2017-10-01,-0.039541,yahoo
2017-11-01,0.139442,yahoo
2017-12-01,-0.039627,yahoo
2018-01-01,0.188107,yahoo
2018-02-01,-0.114402,yahoo
2018-03-01,-0.088812,yahoo
2018-04-01,-0.129114,yahoo
2018-05-01,-0.043605,yahoo
2018-06-01,-0.120061,yahoo
2018-07-01,0.018998,yahoo
2018-08-01,-0.010169,yahoo
2018-09-01,-0.150685,yahoo
2018-10-01,0.030242,yahoo
2018-11-01,0.013699,yahoo
2018-12-01,-0.073359,yahoo
2019-01-01,-0.0125,yahoo
2019-02-01,0.018987,yahoo
2019-03-01,0.111801,yahoo
2019-04-01,-0.156425,yahoo
2019-05-01,-0.103753,yahoo
2019-06-01,-0.05665,yahoo
2019-07-01,-0.143603,yahoo
2019-08-01,-0.246951,yahoo
2019-09-01,0.222672,yahoo
2019-10-01,-0.129139,yahoo
2019-11-01,-0.08365,yahoo
2019-12-01,0.053942,yahoo
2020-01-01,-0.051181,yahoo
2020-02-01,-0.041494,yahoo
2020-03-01,-0.090909,yahoo
2020-04-01,0.214286,yahoo
2020-05-01,0.098039,yahoo
2020-06-01,-0.185714,yahoo
2020-07-01,0.017544,yahoo
2020-08-01,0.241379,yahoo
2020-09-01,-0.128472,yahoo
2020-10-01,0.306773,yahoo
2020-11-01,0.112805,yahoo
2020-12-01,-0.268493,yahoo
2021-01-01,0.307116,yahoo
2021-02-01,0.08596,yahoo
2021-03-01,0.044855,yahoo
2021-04-01,0.212121,yahoo
2021-05-01,0.175,yahoo
2021-06-01,-0.088652,yahoo
2021-07-01,-0.003891,yahoo
2021-08-01,-0.160156,yahoo
2021-09-01,0.176744,yahoo
2021-10-01,0.355731,yahoo
2021-11-01,-0.068513,yahoo
2021-12-01,-0.046948,yahoo
2022-01-01,0.121511,yahoo
2022-02-01,0.020498,yahoo
2022-03-01,0.25825,yahoo
2022-04-01,0.210946,yahoo
2022-05-01,0.213748,yahoo
2022-06-01,-0.32661,yahoo
2022-07-01,0.451613,yahoo
2022-08-01,-0.013492,yahoo
2022-09-01,-0.243765,yahoo
2022-10-01,0.131915,yahoo
2022-11-01,0.093985,yahoo
2022-12-01,-0.0189,yahoo
2023-01-01,-0.108581,yahoo
2023-02-01,0.053045,yahoo
2023-03-01,-0.018657,yahoo
2023-04-01,-0.275665,yahoo
2023-05-01,0.06168,yahoo
2023-06-01,-0.081582,yahoo
2023-07-01,0.084791,yahoo
2023-08-01,-0.166253,yahoo
2023-09-01,0.03125,yahoo
2023-10-01,0.079365,yahoo
2023-11-01,-0.097594,yahoo
2023-12-01,-0.247407,yahoo
2024-01-01,-0.051181,yahoo
2024-02-01,0.06639,yahoo
2024-03-01,0.029183,yahoo
2024-04-01,-0.213611,yahoo
2024-05-01,-0.028846,yahoo
2024-06-01,0.00495,yahoo
2024-07-01,-0.002463,yahoo
2024-08-01,-0.187654,yahoo
2024-09-01,0.12462,yahoo
2024-10-01,0.083784,yahoo
2024-11-01,0.114713,yahoo
2024-12-01,-0.143177,yahoo
2025-01-01,0.088773,yahoo
2025-02-01,0.201439,yahoo
2025-03-01,0.103792,yahoo
2025-04-01,0.048825,yahoo
2025-05-01,0.082759,yahoo
2025-06-01,-0.047771,yahoo
2025-07-01,0.011706,yahoo
2025-08-01,-0.049587,yahoo
2025-09-01,0.050435,yahoo
2025-10-01,-0.049669,yahoo
2025-11-01,-0.019164,yahoo
2025-12-01,-0.001776,yahoo
2026-01-01,0.076513,yahoo
2026-02-01,-0.143802,yahoo
2026-03-01,-0.071429,yahoo
2026-04-01,-0.108108,yahoo
2026-05-01,-0.100233,yahoo
2026-06-01,-0.168394,yahoo
2026-07-01,-0.087227,yahoo
