date,monthly_return,source
2016-07-01,-0.004119,yahoo
2016-08-01,-0.024687,yahoo
2016-09-01,-0.008676,yahoo
2016-10-01,0.014083,yahoo
2016-11-01,0.08501,yahoo
2016-12-01,0.024342,yahoo
2017-01-01,0.059905,yahoo
2017-02-01,-0.065334,yahoo
2017-03-01,-0.005894,yahoo
2017-04-01,-0.006759,yahoo
2017-05-01,-0.035038,yahoo
2017-06-01,-0.02264,yahoo
2017-07-01,-0.024051,yahoo
2017-08-01,-0.042996,yahoo
2017-09-01,0.009758,yahoo
2017-10-01,0.058855,yahoo
2017-11-01,0.073837,yahoo
2017-12-01,0.028743,yahoo
2018-01-01,-0.017154,yahoo
2018-02-01,-0.070574,yahoo
2018-03-01,-0.073358,yahoo
2018-04-01,-0.015521,yahoo
2018-05-01,0.017694,yahoo
2018-06-01,0.087268,yahoo
2018-07-01,0.055189,yahoo
2018-08-01,0.042396,yahoo
2018-09-01,0.038579,yahoo
2018-10-01,-0.161547,yahoo
2018-11-01,0.079901,yahoo
2018-12-01,-0.126023,yahoo
2019-01-01,0.142474,yahoo
2019-02-01,-0.036087,yahoo
2019-03-01,-0.02175,yahoo
2019-04-01,0.075134,yahoo
2019-05-01,-0.073449,yahoo
2019-06-01,0.06234,yahoo
2019-07-01,-0.078665,yahoo
2019-08-01,-0.025752,yahoo
2019-09-01,0.052865,yahoo
2019-10-01,0.039159,yahoo
2019-11-01,-0.013586,yahoo
2019-12-01,0.055715,yahoo
2020-01-01,-0.057674,yahoo
2020-02-01,-0.093216,yahoo
2020-03-01,-0.248221,yahoo
2020-04-01,0.197298,yahoo
2020-05-01,-0.004605,yahoo
2020-06-01,0.068008,yahoo
2020-07-01,0.053137,yahoo
2020-08-01,0.016453,yahoo
2020-09-01,-0.007689,yahoo
2020-10-01,0.070686,yahoo
2020-11-01,0.116295,yahoo
2020-12-01,-0.026784,yahoo
2021-01-01,0.051712,yahoo
2021-02-01,0.128452,yahoo
2021-03-01,0.136035,yahoo
2021-04-01,0.02973,yahoo
2021-05-01,0.071633,yahoo
2021-06-01,-0.122496,yahoo
2021-07-01,-0.024392,yahoo
2021-08-01,0.031975,yahoo
2021-09-01,-0.071127,yahoo
2021-10-01,-0.027375,yahoo
2021-11-01,0.013187,yahoo
2021-12-01,0.045991,yahoo
2022-01-01,-0.033104,yahoo
2022-02-01,0.009268,yahoo
2022-03-01,-0.022362,yahoo
2022-04-01,0.034115,yahoo
2022-05-01,0.04419,yahoo
2022-06-01,-0.111998,yahoo
2022-07-01,0.137136,yahoo
2022-08-01,-0.027628,yahoo
2022-09-01,-0.075783,yahoo
2022-10-01,0.102806,yahoo
2022-11-01,0.08354,yahoo
2022-12-01,-0.050333,yahoo
2023-01-01,0.088582,yahoo
2023-02-01,-0.000201,yahoo
2023-03-01,-0.007198,yahoo
2023-04-01,0.050711,yahoo
2023-05-01,-0.040669,yahoo
2023-06-01,0.158041,yahoo
2023-07-01,-0.054651,yahoo
2023-08-01,-0.014095,yahoo
2023-09-01,-0.05041,yahoo
2023-10-01,0.011291,yahoo
2023-11-01,0.064938,yahoo
2023-12-01,0.051513,yahoo
2024-01-01,0.003774,yahoo
2024-02-01,-0.049219,yahoo
2024-03-01,0.074585,yahoo
2024-04-01,-0.095402,yahoo
2024-05-01,0.018286,yahoo
2024-06-01,-0.042036,yahoo
2024-07-01,0.098091,yahoo
2024-08-01,-0.011462,yahoo
2024-09-01,0.02104,yahoo
2024-10-01,0.139519,yahoo
2024-11-01,0.119832,yahoo
2024-12-01,-0.081717,yahoo
2025-01-01,0.046159,yahoo
2025-02-01,-0.039364,yahoo
2025-03-01,-0.012193,yahoo
2025-04-01,-0.068841,yahoo
2025-05-01,0.022115,yahoo
2025-06-01,-0.029836,yahoo
2025-07-01,0.032168,yahoo
2025-08-01,0.012609,yahoo
2025-09-01,0.065459,yahoo
2025-10-01,-0.031686,yahoo
2025-11-01,0.013411,yahoo
2025-12-01,0.01338,yahoo
2026-01-01,0.06242,yahoo
2026-02-01,0.052197,yahoo
2026-03-01,-0.05711,yahoo
2026-04-01,0.055559,yahoo
2026-05-01,-0.031794,yahoo
2026-06-01,0.084023,yahoo
2026-07-01,-0.001143,yahoo
