date,monthly_return,source
2016-07-01,-0.002424,yahoo
2016-08-01,-0.040561,yahoo
2016-09-01,-0.000585,yahoo
2016-10-01,0.005263,yahoo
2016-11-01,-0.092108,yahoo
2016-12-01,0.050619,yahoo
2017-01-01,0.004879,yahoo
2017-02-01,0.028121,yahoo
2017-03-01,-0.020464,yahoo
2017-04-01,0.000402,yahoo
2017-05-01,0.016265,yahoo
2017-06-01,-0.053942,yahoo
2017-07-01,0.001044,yahoo
2017-08-01,0.006885,yahoo
2017-09-01,0.018235,yahoo
2017-10-01,0.062271,yahoo
2017-11-01,-0.019157,yahoo
2017-12-01,-0.060742,yahoo
2018-01-01,-0.061967,yahoo
2018-02-01,-0.045444,yahoo
2018-03-01,0.037157,yahoo
2018-04-01,0.032691,yahoo
2018-05-01,-0.026453,yahoo
2018-06-01,0.031403,yahoo
2018-07-01,0.049449,yahoo
2018-08-01,-0.099177,yahoo
2018-09-01,-0.004111,yahoo
2018-10-01,0.032798,yahoo
2018-11-01,0.051077,yahoo
2018-12-01,-0.072047,yahoo
2019-01-01,0.106557,yahoo
2019-02-01,0.022428,yahoo
2019-03-01,0.040048,yahoo
2019-04-01,0.029799,yahoo
2019-05-01,0.005261,yahoo
2019-06-01,0.033271,yahoo
2019-07-01,0.016643,yahoo
2019-08-01,0.036655,yahoo
2019-09-01,0.060247,yahoo
2019-10-01,0.014408,yahoo
2019-11-01,-0.010693,yahoo
2019-12-01,0.027585,yahoo
2020-01-01,0.105181,yahoo
2020-02-01,-0.142614,yahoo
2020-03-01,-0.103048,yahoo
2020-04-01,0.047839,yahoo
2020-05-01,0.005993,yahoo
2020-06-01,-0.091467,yahoo
2020-07-01,0.053231,yahoo
2020-08-01,-0.044497,yahoo
2020-09-01,0.039095,yahoo
2020-10-01,0.059572,yahoo
2020-11-01,0.041775,yahoo
2020-12-01,0.026399,yahoo
2021-01-01,-0.04086,yahoo
2021-02-01,-0.037339,yahoo
2021-03-01,0.09591,yahoo
2021-04-01,0.064511,yahoo
2021-05-01,-0.034003,yahoo
2021-06-01,-0.053348,yahoo
2021-07-01,0.055528,yahoo
2021-08-01,0.029122,yahoo
2021-09-01,-0.057204,yahoo
2021-10-01,0.005648,yahoo
2021-11-01,-0.019576,yahoo
2021-12-01,0.122422,yahoo
2022-01-01,0.013269,yahoo
2022-02-01,-0.067923,yahoo
2022-03-01,0.1195,yahoo
2022-04-01,0.012136,yahoo
2022-05-01,0.030931,yahoo
2022-06-01,-0.057494,yahoo
2022-07-01,0.07825,yahoo
2022-08-01,0.002341,yahoo
2022-09-01,-0.117685,yahoo
2022-10-01,-0.037059,yahoo
2022-11-01,0.032987,yahoo
2022-12-01,0.055736,yahoo
2023-01-01,-0.052234,yahoo
2023-02-01,-0.068262,yahoo
2023-03-01,0.103394,yahoo
2023-04-01,0.057057,yahoo
2023-05-01,-0.051666,yahoo
2023-06-01,0.007168,yahoo
2023-07-01,0.029751,yahoo
2023-08-01,-0.063727,yahoo
2023-09-01,-0.044441,yahoo
2023-10-01,0.039864,yahoo
2023-11-01,0.054681,yahoo
2023-12-01,-0.012116,yahoo
2024-01-01,-0.008557,yahoo
2024-02-01,-0.032652,yahoo
2024-03-01,0.066766,yahoo
2024-04-01,0.024533,yahoo
2024-05-01,0.09034,yahoo
2024-06-01,-0.032069,yahoo
2024-07-01,0.076705,yahoo
2024-08-01,0.034483,yahoo
2024-09-01,0.04375,yahoo
2024-10-01,0.009426,yahoo
2024-11-01,-0.020872,yahoo
2024-12-01,-0.076405,yahoo
2025-01-01,0.019801,yahoo
2025-02-01,0.069565,yahoo
2025-03-01,0.024056,yahoo
2025-04-01,-0.000653,yahoo
2025-05-01,-0.020568,yahoo
2025-06-01,0.020333,yahoo
2025-07-01,0.028858,yahoo
2025-08-01,-0.023074,yahoo
2025-09-01,0.02676,yahoo
2025-10-01,-0.007703,yahoo
2025-11-01,-0.031051,yahoo
2025-12-01,-0.04302,yahoo
2026-01-01,0.024197,yahoo
2026-02-01,0.090359,yahoo
2026-03-01,-0.008831,yahoo
2026-04-01,0.001865,yahoo
2026-05-01,-0.048087,yahoo
2026-06-01,0.039761,yahoo
2026-07-01,0.00094,yahoo
