date,monthly_return,source
2024-04-01,-0.065277,yahoo
2024-05-01,-0.087217,yahoo
2024-06-01,-0.108864,yahoo
2024-07-01,0.113464,yahoo
2024-08-01,0.088825,yahoo
2024-09-01,0.087506,yahoo
2024-10-01,0.041021,yahoo
2024-11-01,-0.014742,yahoo
2024-12-01,-0.076213,yahoo
2025-01-01,0.121102,yahoo
2025-02-01,0.07683,yahoo
2025-03-01,-0.04652,yahoo
2025-04-01,-0.130458,yahoo
2025-05-01,0.105414,yahoo
2025-06-01,0.037625,yahoo
2025-07-01,-0.059072,yahoo
2025-08-01,0.024243,yahoo
2025-09-01,-0.001231,yahoo
2025-10-01,-0.054247,yahoo
2025-11-01,0.234936,yahoo
2025-12-01,-0.070608,yahoo
2026-01-01,-0.028647,yahoo
2026-02-01,-0.035988,yahoo
2026-03-01,-0.119946,yahoo
2026-04-01,0.031547,yahoo
2026-05-01,0.112678,yahoo
2026-06-01,0.029353,yahoo
2026-07-01,-0.011277,yahoo
