date,monthly_return
2021-08-01,0.02975984
2021-09-01,-0.04965006
2021-10-01,0.07016355
2021-11-01,-0.00803484
2021-12-01,0.04258494
2022-01-01,-0.05274126
2022-02-01,-0.02951701
2022-03-01,0.03437695
2022-04-01,-0.08776905
2022-05-01,0.00225726
2022-06-01,-0.08640688
2022-07-01,0.09208745
2022-08-01,-0.04080196
2022-09-01,-0.09615871
2022-10-01,0.08127555
2022-11-01,0.05559152
2022-12-01,-0.06193583
2023-01-01,0.06288737
2023-02-01,-0.02514269
2023-03-01,0.03313482
2023-04-01,0.01597493
2023-05-01,0.00461619
2023-06-01,0.06085914
2023-07-01,0.03273328
2023-08-01,-0.01625200
2023-09-01,-0.05078271
2023-10-01,-0.02170861
2023-11-01,0.09134381
2023-12-01,0.04143296
2024-01-01,0.01592646
2024-02-01,0.05218684
2024-03-01,0.02950327
2024-04-01,-0.04031964
2024-05-01,0.05057967
2024-06-01,0.03195096
2024-07-01,0.01210912
2024-08-01,0.02336558
2024-09-01,0.01788252
2024-10-01,-0.00892358
2024-11-01,0.05963346
2024-12-01,-0.02733378
2025-01-01,0.02685638
2025-02-01,-0.01269485
2025-03-01,-0.05855124
2025-04-01,-0.00867022
2025-05-01,0.06284495
2025-06-01,0.04828714
2025-07-01,0.02303155
2025-08-01,0.02051951
2025-09-01,0.03275716
2025-10-01,0.02383741
2025-11-01,0.00195000
2025-12-01,-0.00215109
2026-01-01,0.01473778
2026-02-01,-0.00864197
2026-03-01,-0.05196863
2026-04-01,0.10505265
2026-05-01,0.05262573
2026-06-01,-0.01283571
2026-07-01,0.01094108
