date,monthly_return,source
2023-04-01,-0.07188,yahoo
2023-05-01,-0.039653,yahoo
2023-06-01,-0.053548,yahoo
2023-07-01,0.062713,yahoo
2023-08-01,-0.126363,yahoo
2023-09-01,-0.080764,yahoo
2023-10-01,-0.085463,yahoo
2023-11-01,0.067249,yahoo
2023-12-01,0.225859,yahoo
2024-01-01,-0.226302,yahoo
2024-02-01,0.065574,yahoo
2024-03-01,0.046154,yahoo
2024-04-01,-0.079721,yahoo
2024-05-01,0.082422,yahoo
2024-06-01,-0.062937,yahoo
2024-07-01,0.115257,yahoo
2024-08-01,-0.003717,yahoo
2024-09-01,0.032836,yahoo
2024-10-01,-0.07948,yahoo
2024-11-01,-0.116954,yahoo
2024-12-01,-0.135111,yahoo
2025-01-01,-0.086331,yahoo
2025-02-01,0.040495,yahoo
2025-03-01,-0.08,yahoo
2025-04-01,-0.207991,yahoo
2025-05-01,-0.060831,yahoo
2025-06-01,0.233807,yahoo
2025-07-01,-0.079385,yahoo
2025-08-01,0.208623,yahoo
2025-09-01,-0.052934,yahoo
2025-10-01,-0.110571,yahoo
2025-11-01,0.092896,yahoo
2025-12-01,0.02875,yahoo
2026-01-01,-0.049818,yahoo
2026-02-01,0.153453,yahoo
2026-03-01,-0.160754,yahoo
2026-04-01,0.1321,yahoo
2026-05-01,0.036173,yahoo
2026-06-01,0.010135,yahoo
